Player,PlayerData
norberto-murara-neto,"{'Attacking': {'Crossing': '11', 'Finishing': '15', 'Heading accuracy': '14', 'Short passing': '36', 'Volleys': '12'}, 'Skills': {'Dribbling': '19', 'Curve': '12', 'FK Accuracy': '13', 'Long passing': '41', 'Ball control': '24'}, 'Movement': {'Acceleration': '56', 'Sprint speed': '52', 'Agility': '59', 'Reactions': '79', 'Balance': '49'}, 'Power': {'Shot power': '54', 'Jumping': '68', 'Stamina': '40', 'Strength': '61', 'Long shots': '20'}, 'Mentality': {'Aggression': '40', 'Interceptions': '15', 'Att. Position': '11', 'Vision': '42', 'Penalties': '22', 'Composure': '60'}, 'Defending': {'Defensive awareness': '17', 'Standing tackle': '14', 'Sliding tackle': '15'}, 'Goalkeeping': {'GK Diving': '80', 'GK Handling': '71', 'GK Kicking': '72', 'GK Positioning': '76', 'GK Reflexes': '83'}}"
max-aarons,"{'Attacking': {'Crossing': '65', 'Finishing': '41', 'Heading accuracy': '53', 'Short passing': '67', 'Volleys': '41'}, 'Skills': {'Dribbling': '70', 'Curve': '50', 'FK Accuracy': '32', 'Long passing': '58', 'Ball control': '72'}, 'Movement': {'Acceleration': '84', 'Sprint speed': '79', 'Agility': '84', 'Reactions': '70', 'Balance': '79'}, 'Power': {'Shot power': '49', 'Jumping': '74', 'Stamina': '84', 'Strength': '70', 'Long shots': '36'}, 'Mentality': {'Aggression': '71', 'Interceptions': '70', 'Att. Position': '69', 'Vision': '66', 'Penalties': '27', 'Composure': '75'}, 'Defending': {'Defensive awareness': '73', 'Standing tackle': '71', 'Sliding tackle': '69'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '11', 'GK Kicking': '7', 'GK Positioning': '9', 'GK Reflexes': '8'}}"
illia-zabarnyi,"{'Attacking': {'Crossing': '56', 'Finishing': '33', 'Heading accuracy': '74', 'Short passing': '72', 'Volleys': '29'}, 'Skills': {'Dribbling': '52', 'Curve': '34', 'FK Accuracy': '38', 'Long passing': '69', 'Ball control': '59'}, 'Movement': {'Acceleration': '56', 'Sprint speed': '68', 'Agility': '66', 'Reactions': '73', 'Balance': '60'}, 'Power': {'Shot power': '45', 'Jumping': '76', 'Stamina': '61', 'Strength': '75', 'Long shots': '34'}, 'Mentality': {'Aggression': '68', 'Interceptions': '74', 'Att. Position': '35', 'Vision': '32', 'Penalties': '40', 'Composure': '69'}, 'Defending': {'Defensive awareness': '76', 'Standing tackle': '75', 'Sliding tackle': '72'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '11', 'GK Kicking': '10', 'GK Positioning': '11', 'GK Reflexes': '13'}}"
lloyd-kelly,"{'Attacking': {'Crossing': '62', 'Finishing': '34', 'Heading accuracy': '74', 'Short passing': '70', 'Volleys': '35'}, 'Skills': {'Dribbling': '66', 'Curve': '44', 'FK Accuracy': '42', 'Long passing': '65', 'Ball control': '71'}, 'Movement': {'Acceleration': '64', 'Sprint speed': '75', 'Agility': '62', 'Reactions': '69', 'Balance': '60'}, 'Power': {'Shot power': '50', 'Jumping': '81', 'Stamina': '72', 'Strength': '80', 'Long shots': '41'}, 'Mentality': {'Aggression': '72', 'Interceptions': '73', 'Att. Position': '58', 'Vision': '59', 'Penalties': '45', 'Composure': '73'}, 'Defending': {'Defensive awareness': '73', 'Standing tackle': '77', 'Sliding tackle': '73'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '8', 'GK Kicking': '8', 'GK Positioning': '11', 'GK Reflexes': '12'}}"
milos-kerkez,"{'Attacking': {'Crossing': '73', 'Finishing': '53', 'Heading accuracy': '62', 'Short passing': '69', 'Volleys': '52'}, 'Skills': {'Dribbling': '73', 'Curve': '54', 'FK Accuracy': '42', 'Long passing': '59', 'Ball control': '71'}, 'Movement': {'Acceleration': '85', 'Sprint speed': '79', 'Agility': '83', 'Reactions': '69', 'Balance': '82'}, 'Power': {'Shot power': '55', 'Jumping': '70', 'Stamina': '89', 'Strength': '65', 'Long shots': '50'}, 'Mentality': {'Aggression': '79', 'Interceptions': '70', 'Att. Position': '62', 'Vision': '67', 'Penalties': '46', 'Composure': '65'}, 'Defending': {'Defensive awareness': '68', 'Standing tackle': '69', 'Sliding tackle': '72'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '13', 'GK Kicking': '10', 'GK Positioning': '13', 'GK Reflexes': '13'}}"
philip-billing,"{'Attacking': {'Crossing': '62', 'Finishing': '78', 'Heading accuracy': '77', 'Short passing': '78', 'Volleys': '73'}, 'Skills': {'Dribbling': '78', 'Curve': '74', 'FK Accuracy': '71', 'Long passing': '75', 'Ball control': '79'}, 'Movement': {'Acceleration': '53', 'Sprint speed': '63', 'Agility': '54', 'Reactions': '81', 'Balance': '49'}, 'Power': {'Shot power': '85', 'Jumping': '81', 'Stamina': '81', 'Strength': '82', 'Long shots': '78'}, 'Mentality': {'Aggression': '76', 'Interceptions': '74', 'Att. Position': '82', 'Vision': '74', 'Penalties': '58', 'Composure': '81'}, 'Defending': {'Defensive awareness': '69', 'Standing tackle': '71', 'Sliding tackle': '69'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '7', 'GK Kicking': '10', 'GK Positioning': '14', 'GK Reflexes': '13'}}"
lewis-cook,"{'Attacking': {'Crossing': '70', 'Finishing': '61', 'Heading accuracy': '50', 'Short passing': '77', 'Volleys': '57'}, 'Skills': {'Dribbling': '77', 'Curve': '71', 'FK Accuracy': '65', 'Long passing': '77', 'Ball control': '78'}, 'Movement': {'Acceleration': '66', 'Sprint speed': '54', 'Agility': '75', 'Reactions': '73', 'Balance': '83'}, 'Power': {'Shot power': '66', 'Jumping': '62', 'Stamina': '68', 'Strength': '61', 'Long shots': '65'}, 'Mentality': {'Aggression': '77', 'Interceptions': '69', 'Att. Position': '65', 'Vision': '74', 'Penalties': '61', 'Composure': '73'}, 'Defending': {'Defensive awareness': '64', 'Standing tackle': '72', 'Sliding tackle': '68'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '15', 'GK Kicking': '12', 'GK Positioning': '15', 'GK Reflexes': '13'}}"
marcus-tavernier,"{'Attacking': {'Crossing': '70', 'Finishing': '72', 'Heading accuracy': '50', 'Short passing': '72', 'Volleys': '62'}, 'Skills': {'Dribbling': '79', 'Curve': '80', 'FK Accuracy': '58', 'Long passing': '67', 'Ball control': '76'}, 'Movement': {'Acceleration': '79', 'Sprint speed': '77', 'Agility': '78', 'Reactions': '73', 'Balance': '79'}, 'Power': {'Shot power': '75', 'Jumping': '68', 'Stamina': '80', 'Strength': '60', 'Long shots': '75'}, 'Mentality': {'Aggression': '41', 'Interceptions': '59', 'Att. Position': '71', 'Vision': '72', 'Penalties': '63', 'Composure': '73'}, 'Defending': {'Defensive awareness': '56', 'Standing tackle': '65', 'Sliding tackle': '55'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '14', 'GK Kicking': '6', 'GK Positioning': '12', 'GK Reflexes': '8'}}"
justin-kluivert,"{'Attacking': {'Crossing': '77', 'Finishing': '71', 'Heading accuracy': '56', 'Short passing': '71', 'Volleys': '67'}, 'Skills': {'Dribbling': '81', 'Curve': '72', 'FK Accuracy': '58', 'Long passing': '66', 'Ball control': '77'}, 'Movement': {'Acceleration': '88', 'Sprint speed': '88', 'Agility': '86', 'Reactions': '67', 'Balance': '82'}, 'Power': {'Shot power': '79', 'Jumping': '74', 'Stamina': '67', 'Strength': '60', 'Long shots': '75'}, 'Mentality': {'Aggression': '63', 'Interceptions': '30', 'Att. Position': '72', 'Vision': '74', 'Penalties': '66', 'Composure': '71'}, 'Defending': {'Defensive awareness': '43', 'Standing tackle': '35', 'Sliding tackle': '30'}, 'Goalkeeping': {'GK Diving': '5', 'GK Handling': '6', 'GK Kicking': '14', 'GK Positioning': '7', 'GK Reflexes': '12'}}"
ryan-christie,"{'Attacking': {'Crossing': '72', 'Finishing': '71', 'Heading accuracy': '53', '+2': '75', 'Volleys': '50'}, 'Skills': {'Dribbling': '75', 'Curve': '75', 'FK Accuracy': '71', 'Long passing': '68', 'Ball control': '74'}, 'Movement': {'Acceleration': '78', 'Sprint speed': '76', 'Agility': '77', '+2': '70', 'Balance': '80'}, 'Power': {'Shot power': '76', 'Jumping': '74', '+3': '76', 'Strength': '74', 'Long shots': '70'}, 'Mentality': {'+1': '80', 'Interceptions': '63', 'Att. Position': '73', '+2': '74', 'Penalties': '74', '+3': '80'}, 'Defending': {'+1': '66', 'Standing tackle': '69', '+2': '72'}, 'Goalkeeping': {'GK Diving': '13', 'GK Handling': '9', 'GK Kicking': '12', 'GK Positioning': '7', 'GK Reflexes': '8'}}"
dominic-solanke,"{'Attacking': {'Crossing': '54', 'Finishing': '77', 'Heading accuracy': '74', 'Short passing': '73', 'Volleys': '75'}, 'Skills': {'Dribbling': '75', 'Curve': '56', 'FK Accuracy': '47', 'Long passing': '59', 'Ball control': '73'}, 'Movement': {'Acceleration': '66', 'Sprint speed': '79', 'Agility': '64', 'Reactions': '74', 'Balance': '67'}, 'Power': {'Shot power': '76', 'Jumping': '82', 'Stamina': '86', 'Strength': '80', 'Long shots': '71'}, 'Mentality': {'Aggression': '71', 'Interceptions': '22', 'Att. Position': '77', 'Vision': '71', 'Penalties': '72', 'Composure': '77'}, 'Defending': {'Defensive awareness': '21', 'Standing tackle': '25', 'Sliding tackle': '22'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '15', 'GK Kicking': '14', 'GK Positioning': '9', 'GK Reflexes': '10'}}"
kieffer-moore,"{'Attacking': {'Crossing': '58', 'Finishing': '71', 'Heading accuracy': '84', 'Short passing': '58', 'Volleys': '68'}, 'Skills': {'Dribbling': '65', 'Curve': '62', 'FK Accuracy': '45', 'Long passing': '55', 'Ball control': '71'}, 'Movement': {'Acceleration': '52', 'Sprint speed': '72', 'Agility': '52', 'Reactions': '71', 'Balance': '44'}, 'Power': {'Shot power': '76', 'Jumping': '88', 'Stamina': '62', 'Strength': '89', 'Long shots': '58'}, 'Mentality': {'Aggression': '73', 'Interceptions': '42', 'Att. Position': '72', 'Vision': '54', 'Penalties': '67', 'Composure': '68'}, 'Defending': {'Defensive awareness': '39', 'Standing tackle': '44', 'Sliding tackle': '39'}, 'Goalkeeping': {'GK Diving': '10', 'GK Handling': '10', 'GK Kicking': '13', 'GK Positioning': '8', 'GK Reflexes': '9'}}"
luis-sinisterra,"{'Attacking': {'Crossing': '68', 'Finishing': '73', 'Heading accuracy': '69', 'Short passing': '75', 'Volleys': '73'}, 'Skills': {'Dribbling': '85', 'Curve': '64', 'FK Accuracy': '48', 'Long passing': '65', 'Ball control': '81'}, 'Movement': {'Acceleration': '92', 'Sprint speed': '87', 'Agility': '93', 'Reactions': '74', 'Balance': '87'}, 'Power': {'Shot power': '73', 'Jumping': '78', 'Stamina': '70', 'Strength': '56', 'Long shots': '72'}, 'Mentality': {'Aggression': '56', 'Interceptions': '50', 'Att. Position': '76', 'Vision': '73', 'Penalties': '55', 'Composure': '77'}, 'Defending': {'Defensive awareness': '56', 'Standing tackle': '48', 'Sliding tackle': '47'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '13', 'GK Kicking': '9', 'GK Positioning': '13', 'GK Reflexes': '9'}}"
david-brooks,"{'Attacking': {'Crossing': '76', 'Finishing': '71', 'Heading accuracy': '61', 'Short passing': '78', 'Volleys': '61'}, 'Skills': {'Dribbling': '80', 'Curve': '73', 'FK Accuracy': '66', 'Long passing': '67', 'Ball control': '79'}, 'Movement': {'Acceleration': '69', 'Sprint speed': '63', 'Agility': '74', 'Reactions': '72', 'Balance': '77'}, 'Power': {'Shot power': '70', 'Jumping': '67', 'Stamina': '55', 'Strength': '59', 'Long shots': '73'}, 'Mentality': {'Aggression': '62', 'Interceptions': '43', 'Att. Position': '75', 'Vision': '77', 'Penalties': '65', 'Composure': '78'}, 'Defending': {'Defensive awareness': '47', 'Standing tackle': '49', 'Sliding tackle': '44'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '14', 'GK Kicking': '9', 'GK Positioning': '13', 'GK Reflexes': '7'}}"
joe-rothwell,"{'Attacking': {'Crossing': '67', 'Finishing': '62', 'Heading accuracy': '61', 'Short passing': '76', 'Volleys': '59'}, 'Skills': {'Dribbling': '78', 'Curve': '72', 'FK Accuracy': '70', 'Long passing': '74', 'Ball control': '73'}, 'Movement': {'Acceleration': '73', 'Sprint speed': '80', 'Agility': '73', 'Reactions': '72', 'Balance': '70'}, 'Power': {'Shot power': '75', 'Jumping': '72', 'Stamina': '76', 'Strength': '64', 'Long shots': '68'}, 'Mentality': {'Aggression': '59', 'Interceptions': '64', 'Att. Position': '68', 'Vision': '74', 'Penalties': '56', 'Composure': '70'}, 'Defending': {'Defensive awareness': '54', 'Standing tackle': '65', 'Sliding tackle': '62'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '8', 'GK Kicking': '13', 'GK Positioning': '15', 'GK Reflexes': '9'}}"
