Player,PlayerData
david-raya-martin,"{'Attacking': {'Crossing': '12', 'Finishing': '19', 'Heading accuracy': '20', 'Short passing': '58', 'Volleys': '20'}, 'Skills': {'Dribbling': '19', 'Curve': '18', 'FK Accuracy': '15', 'Long passing': '63', 'Ball control': '40'}, 'Movement': {'Acceleration': '64', 'Sprint speed': '46', 'Agility': '68', 'Reactions': '73', 'Balance': '45'}, 'Power': {'Shot power': '62', 'Jumping': '61', 'Stamina': '31', 'Strength': '38', 'Long shots': '14'}, 'Mentality': {'Aggression': '29', 'Interceptions': '11', 'Att. Position': '15', 'Vision': '67', 'Penalties': '26', 'Composure': '65'}, 'Defending': {'Defensive awareness': '28', 'Standing tackle': '14', 'Sliding tackle': '13'}, 'Goalkeeping': {'GK Diving': '80', 'GK Handling': '78', 'GK Kicking': '82', 'GK Positioning': '80', 'GK Reflexes': '82'}}"
benjamin-white,"{'Attacking': {'Crossing': '65', 'Finishing': '24', 'Heading accuracy': '74', 'Short passing': '83', 'Volleys': '21'}, 'Skills': {'Dribbling': '75', 'Curve': '45', 'FK Accuracy': '20', 'Long passing': '82', 'Ball control': '79'}, 'Movement': {'Acceleration': '71', 'Sprint speed': '74', 'Agility': '67', 'Reactions': '82', 'Balance': '61'}, 'Power': {'Shot power': '50', 'Jumping': '83', 'Stamina': '79', 'Strength': '78', 'Long shots': '25'}, 'Mentality': {'Aggression': '80', 'Interceptions': '84', 'Att. Position': '52', 'Vision': '75', 'Penalties': '24', 'Composure': '81'}, 'Defending': {'Defensive awareness': '83', 'Standing tackle': '84', 'Sliding tackle': '82'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '11', 'GK Kicking': '12', 'GK Positioning': '5', 'GK Reflexes': '6'}}"
william-saliba,"{'Attacking': {'Crossing': '58', 'Finishing': '35', 'Heading accuracy': '74', 'Short passing': '84', 'Volleys': '34'}, 'Skills': {'Dribbling': '73', 'Curve': '55', 'FK Accuracy': '35', 'Long passing': '77', 'Ball control': '81'}, 'Movement': {'Acceleration': '77', 'Sprint speed': '86', 'Agility': '50', 'Reactions': '84', 'Balance': '59'}, 'Power': {'Shot power': '60', 'Jumping': '88', 'Stamina': '72', 'Strength': '87', 'Long shots': '23'}, 'Mentality': {'Aggression': '83', 'Interceptions': '82', 'Att. Position': '43', 'Vision': '62', 'Penalties': '47', 'Composure': '83'}, 'Defending': {'Defensive awareness': '85', 'Standing tackle': '87', 'Sliding tackle': '84'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '10', 'GK Kicking': '6', 'GK Positioning': '8', 'GK Reflexes': '11'}}"
gabriel-dos-s-magalhaes,"{'Attacking': {'Crossing': '38', 'Finishing': '37', 'Heading accuracy': '85', 'Short passing': '79', 'Volleys': '28'}, 'Skills': {'Dribbling': '52', 'Curve': '47', 'FK Accuracy': '27', 'Long passing': '75', 'Ball control': '71'}, 'Movement': {'Acceleration': '61', 'Sprint speed': '77', 'Agility': '51', 'Reactions': '85', 'Balance': '37'}, 'Power': {'Shot power': '62', 'Jumping': '86', 'Stamina': '71', 'Strength': '86', 'Long shots': '30'}, 'Mentality': {'Aggression': '85', 'Interceptions': '86', 'Att. Position': '44', 'Vision': '59', 'Penalties': '40', 'Composure': '74'}, 'Defending': {'Defensive awareness': '85', 'Standing tackle': '84', 'Sliding tackle': '85'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '8', 'GK Kicking': '13', 'GK Positioning': '10', 'GK Reflexes': '7'}}"
oleksandr-zinchenko,"{'Attacking': {'Crossing': '84', 'Finishing': '58', 'Heading accuracy': '70', 'Short passing': '86', 'Volleys': '61'}, 'Skills': {'Dribbling': '84', 'Curve': '83', 'FK Accuracy': '76', 'Long passing': '84', 'Ball control': '85'}, 'Movement': {'Acceleration': '72', 'Sprint speed': '61', 'Agility': '79', 'Reactions': '81', 'Balance': '78'}, 'Power': {'Shot power': '78', 'Jumping': '73', 'Stamina': '75', 'Strength': '63', 'Long shots': '73'}, 'Mentality': {'Aggression': '74', 'Interceptions': '80', 'Att. Position': '77', 'Vision': '83', 'Penalties': '58', 'Composure': '83'}, 'Defending': {'Defensive awareness': '79', 'Standing tackle': '82', 'Sliding tackle': '79'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '11', 'GK Kicking': '13', 'GK Positioning': '11', 'GK Reflexes': '11'}}"
declan-rice,"{'Attacking': {'Crossing': '55', 'Finishing': '61', 'Heading accuracy': '72', 'Short passing': '83', 'Volleys': '50'}, 'Skills': {'Dribbling': '80', 'Curve': '68', 'FK Accuracy': '65', 'Long passing': '84', 'Ball control': '79'}, 'Movement': {'Acceleration': '67', 'Sprint speed': '74', 'Agility': '55', 'Reactions': '83', 'Balance': '65'}, 'Power': {'Shot power': '78', 'Jumping': '79', 'Stamina': '91', 'Strength': '79', 'Long shots': '65'}, 'Mentality': {'Aggression': '84', 'Interceptions': '86', 'Att. Position': '58', 'Vision': '78', 'Penalties': '71', 'Composure': '83'}, 'Defending': {'Defensive awareness': '83', 'Standing tackle': '84', 'Sliding tackle': '82'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '11', 'GK Kicking': '14', 'GK Positioning': '5', 'GK Reflexes': '9'}}"
martin-odegaard,"{'Attacking': {'Crossing': '85', 'Finishing': '82', 'Heading accuracy': '55', 'Short passing': '90', 'Volleys': '79'}, 'Skills': {'Dribbling': '86', 'Curve': '83', 'FK Accuracy': '85', 'Long passing': '87', 'Ball control': '89'}, 'Movement': {'Acceleration': '74', 'Sprint speed': '71', 'Agility': '85', 'Reactions': '84', 'Balance': '82'}, 'Power': {'Shot power': '82', 'Jumping': '66', 'Stamina': '81', 'Strength': '56', 'Long shots': '83'}, 'Mentality': {'Aggression': '64', 'Interceptions': '66', 'Att. Position': '83', 'Vision': '89', 'Penalties': '63', 'Composure': '86'}, 'Defending': {'Defensive awareness': '67', 'Standing tackle': '55', 'Sliding tackle': '54'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '15', 'GK Kicking': '15', 'GK Positioning': '8', 'GK Reflexes': '10'}}"
kai-havertz,"{'Attacking': {'Crossing': '74', 'Finishing': '81', 'Heading accuracy': '80', 'Short passing': '83', 'Volleys': '80'}, 'Skills': {'Dribbling': '84', 'Curve': '84', 'FK Accuracy': '53', 'Long passing': '79', 'Ball control': '85'}, 'Movement': {'Acceleration': '75', 'Sprint speed': '81', 'Agility': '75', 'Reactions': '83', 'Balance': '68'}, 'Power': {'Shot power': '76', 'Jumping': '82', 'Stamina': '77', 'Strength': '69', 'Long shots': '78'}, 'Mentality': {'Aggression': '52', 'Interceptions': '38', 'Att. Position': '83', 'Vision': '81', 'Penalties': '73', 'Composure': '84'}, 'Defending': {'Defensive awareness': '39', 'Standing tackle': '46', 'Sliding tackle': '38'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '8', 'GK Kicking': '11', 'GK Positioning': '10', 'GK Reflexes': '12'}}"
bukayo-saka,"{'Attacking': {'Crossing': '83', 'Finishing': '84', 'Heading accuracy': '45', 'Short passing': '82', 'Volleys': '79'}, 'Skills': {'Dribbling': '89', 'Curve': '82', 'FK Accuracy': '69', 'Long passing': '69', 'Ball control': '88'}, 'Movement': {'Acceleration': '88', 'Sprint speed': '82', 'Agility': '85', 'Reactions': '85', 'Balance': '87'}, 'Power': {'Shot power': '79', 'Jumping': '70', 'Stamina': '86', 'Strength': '63', 'Long shots': '82'}, 'Mentality': {'Aggression': '68', 'Interceptions': '62', 'Att. Position': '82', 'Vision': '84', 'Penalties': '82', 'Composure': '81'}, 'Defending': {'Defensive awareness': '60', 'Standing tackle': '62', 'Sliding tackle': '60'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '8', 'GK Kicking': '13', 'GK Positioning': '9', 'GK Reflexes': '13'}}"
gabriel-fernando-de-jesus,"{'Attacking': {'Crossing': '74', 'Finishing': '83', 'Heading accuracy': '78', 'Short passing': '81', 'Volleys': '79'}, 'Skills': {'Dribbling': '88', 'Curve': '76', 'FK Accuracy': '54', 'Long passing': '66', 'Ball control': '87'}, 'Movement': {'Acceleration': '86', 'Sprint speed': '81', 'Agility': '92', 'Reactions': '88', 'Balance': '90'}, 'Power': {'Shot power': '84', 'Jumping': '87', 'Stamina': '82', 'Strength': '72', 'Long shots': '78'}, 'Mentality': {'Aggression': '82', 'Interceptions': '32', 'Att. Position': '88', 'Vision': '79', 'Penalties': '75', 'Composure': '78'}, 'Defending': {'Defensive awareness': '45', 'Standing tackle': '30', 'Sliding tackle': '28'}, 'Goalkeeping': {'GK Diving': '13', 'GK Handling': '8', 'GK Kicking': '6', 'GK Positioning': '6', 'GK Reflexes': '15'}}"
