Player,PlayerData
emiliano-martinez,"{'Attacking': {'Crossing': '22', 'Finishing': '16', 'Heading accuracy': '26', 'Short passing': '57', 'Volleys': '13'}, 'Skills': {'Dribbling': '17', 'Curve': '22', 'FK Accuracy': '20', 'Long passing': '59', 'Ball control': '38'}, 'Movement': {'Acceleration': '59', 'Sprint speed': '57', 'Agility': '49', 'Reactions': '82', 'Balance': '49'}, 'Power': {'Shot power': '62', 'Jumping': '77', 'Stamina': '40', 'Strength': '70', 'Long shots': '16'}, 'Mentality': {'Aggression': '37', 'Interceptions': '13', 'Att. Position': '12', 'Vision': '66', 'Penalties': '42', 'Composure': '62'}, 'Defending': {'Defensive awareness': '11', 'Standing tackle': '20', 'Sliding tackle': '20'}, 'Goalkeeping': {'GK Diving': '84', 'GK Handling': '82', 'GK Kicking': '83', 'GK Positioning': '85', 'GK Reflexes': '85'}}"
matty-cash,"{'Attacking': {'Crossing': '77', 'Finishing': '66', 'Heading accuracy': '49', 'Short passing': '74', 'Volleys': '48'}, 'Skills': {'Dribbling': '75', 'Curve': '66', 'FK Accuracy': '48', 'Long passing': '71', 'Ball control': '74'}, 'Movement': {'Acceleration': '78', 'Sprint speed': '80', 'Agility': '78', 'Reactions': '79', 'Balance': '70'}, 'Power': {'Shot power': '77', 'Jumping': '69', 'Stamina': '86', 'Strength': '68', 'Long shots': '64'}, 'Mentality': {'Aggression': '84', 'Interceptions': '76', 'Att. Position': '71', 'Vision': '66', 'Penalties': '44', 'Composure': '72'}, 'Defending': {'Defensive awareness': '77', 'Standing tackle': '80', 'Sliding tackle': '80'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '16', 'GK Kicking': '13', 'GK Positioning': '13', 'GK Reflexes': '8'}}"
ezri-konsa,"{'Attacking': {'Crossing': '60', 'Finishing': '34', 'Heading accuracy': '78', 'Short passing': '77', 'Volleys': '35'}, 'Skills': {'Dribbling': '73', 'Curve': '37', 'FK Accuracy': '38', 'Long passing': '73', 'Ball control': '77'}, 'Movement': {'Acceleration': '74', 'Sprint speed': '82', 'Agility': '67', 'Reactions': '82', 'Balance': '68'}, 'Power': {'Shot power': '58', 'Jumping': '86', 'Stamina': '77', 'Strength': '78', 'Long shots': '32'}, 'Mentality': {'Aggression': '75', 'Interceptions': '80', 'Att. Position': '50', 'Vision': '69', 'Penalties': '38', 'Composure': '82'}, 'Defending': {'Defensive awareness': '83', 'Standing tackle': '82', 'Sliding tackle': '79'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '8', 'GK Kicking': '11', 'GK Positioning': '13', 'GK Reflexes': '9'}}"
pau-francisco-torres,"{'Attacking': {'Crossing': '55', 'Finishing': '28', 'Heading accuracy': '85', 'Short passing': '83', 'Volleys': '41'}, 'Skills': {'Dribbling': '64', 'Curve': '45', 'FK Accuracy': '28', 'Long passing': '81', 'Ball control': '80'}, 'Movement': {'Acceleration': '69', 'Sprint speed': '75', 'Agility': '67', 'Reactions': '80', 'Balance': '52'}, 'Power': {'Shot power': '58', 'Jumping': '87', 'Stamina': '80', 'Strength': '81', 'Long shots': '40'}, 'Mentality': {'Aggression': '79', 'Interceptions': '83', 'Att. Position': '46', 'Vision': '77', 'Penalties': '42', 'Composure': '84'}, 'Defending': {'Defensive awareness': '84', 'Standing tackle': '84', 'Sliding tackle': '82'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '13', 'GK Kicking': '13', 'GK Positioning': '13', 'GK Reflexes': '9'}}"
lucas-digne,"{'Attacking': {'Crossing': '86', 'Finishing': '60', 'Heading accuracy': '70', 'Short passing': '77', 'Volleys': '68'}, 'Skills': {'Dribbling': '76', 'Curve': '83', 'FK Accuracy': '83', 'Long passing': '73', 'Ball control': '77'}, 'Movement': {'Acceleration': '78', 'Sprint speed': '74', 'Agility': '72', 'Reactions': '76', 'Balance': '78'}, 'Power': {'Shot power': '81', 'Jumping': '78', 'Stamina': '80', 'Strength': '69', 'Long shots': '76'}, 'Mentality': {'Aggression': '76', 'Interceptions': '75', 'Att. Position': '73', 'Vision': '75', 'Penalties': '60', 'Composure': '79'}, 'Defending': {'Defensive awareness': '76', 'Standing tackle': '77', 'Sliding tackle': '79'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '12', 'GK Kicking': '9', 'GK Positioning': '6', 'GK Reflexes': '13'}}"
boubacar-kamara,"{'Attacking': {'Crossing': '64', 'Finishing': '47', 'Heading accuracy': '72', 'Short passing': '84', 'Volleys': '28'}, 'Skills': {'Dribbling': '73', 'Curve': '59', 'FK Accuracy': '47', 'Long passing': '77', 'Ball control': '80'}, 'Movement': {'Acceleration': '66', 'Sprint speed': '70', 'Agility': '66', 'Reactions': '75', 'Balance': '65'}, 'Power': {'Shot power': '67', 'Jumping': '80', 'Stamina': '82', 'Strength': '79', 'Long shots': '63'}, 'Mentality': {'Aggression': '78', 'Interceptions': '84', 'Att. Position': '52', 'Vision': '72', 'Penalties': '63', 'Composure': '85'}, 'Defending': {'Defensive awareness': '81', 'Standing tackle': '85', 'Sliding tackle': '80'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '12', 'GK Kicking': '8', 'GK Positioning': '6', 'GK Reflexes': '11'}}"
douglas-luiz-soares-de-paulo,"{'Attacking': {'Crossing': '82', 'Finishing': '74', 'Heading accuracy': '62', 'Short passing': '84', 'Volleys': '58'}, 'Skills': {'Dribbling': '77', 'Curve': '87', 'FK Accuracy': '82', 'Long passing': '84', 'Ball control': '83'}, 'Movement': {'Acceleration': '68', 'Sprint speed': '64', 'Agility': '74', 'Reactions': '78', 'Balance': '75'}, 'Power': {'Shot power': '78', 'Jumping': '72', 'Stamina': '78', 'Strength': '71', 'Long shots': '84'}, 'Mentality': {'Aggression': '77', 'Interceptions': '77', 'Att. Position': '66', 'Vision': '84', 'Penalties': '82', 'Composure': '81'}, 'Defending': {'Defensive awareness': '76', 'Standing tackle': '77', 'Sliding tackle': '69'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '6', 'GK Kicking': '13', 'GK Positioning': '10', 'GK Reflexes': '7'}}"
leon-bailey,"{'Attacking': {'Crossing': '73', 'Finishing': '78', 'Heading accuracy': '57', 'Short passing': '73', 'Volleys': '73'}, 'Skills': {'Dribbling': '84', 'Curve': '79', 'FK Accuracy': '79', 'Long passing': '65', 'Ball control': '83'}, 'Movement': {'Acceleration': '93', 'Sprint speed': '87', 'Agility': '85', 'Reactions': '78', 'Balance': '84'}, 'Power': {'Shot power': '79', 'Jumping': '76', 'Stamina': '66', 'Strength': '61', 'Long shots': '77'}, 'Mentality': {'Aggression': '55', 'Interceptions': '21', 'Att. Position': '79', 'Vision': '77', 'Penalties': '71', 'Composure': '75'}, 'Defending': {'Defensive awareness': '45', 'Standing tackle': '25', 'Sliding tackle': '18'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '13', 'GK Kicking': '6', 'GK Positioning': '15', 'GK Reflexes': '14'}}"
john-mcginn,"{'Attacking': {'Crossing': '69', 'Finishing': '71', 'Heading accuracy': '57', 'Short passing': '79', 'Volleys': '75'}, 'Skills': {'Dribbling': '81', 'Curve': '66', 'FK Accuracy': '61', 'Long passing': '83', 'Ball control': '80'}, 'Movement': {'Acceleration': '73', 'Sprint speed': '64', 'Agility': '77', 'Reactions': '78', 'Balance': '80'}, 'Power': {'Shot power': '83', 'Jumping': '76', 'Stamina': '92', 'Strength': '79', 'Long shots': '76'}, 'Mentality': {'Aggression': '82', 'Interceptions': '78', 'Att. Position': '76', 'Vision': '76', 'Penalties': '55', 'Composure': '73'}, 'Defending': {'Defensive awareness': '75', 'Standing tackle': '79', 'Sliding tackle': '71'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '13', 'GK Kicking': '12', 'GK Positioning': '10', 'GK Reflexes': '12'}}"
moussa-diaby,"{'Attacking': {'Crossing': '76', 'Finishing': '80', 'Heading accuracy': '28', 'Short passing': '80', 'Volleys': '67'}, 'Skills': {'Dribbling': '87', 'Curve': '72', 'FK Accuracy': '42', 'Long passing': '72', 'Ball control': '85'}, 'Movement': {'Acceleration': '95', 'Sprint speed': '95', 'Agility': '92', 'Reactions': '76', 'Balance': '93'}, 'Power': {'Shot power': '74', 'Jumping': '56', 'Stamina': '82', 'Strength': '44', 'Long shots': '64'}, 'Mentality': {'Aggression': '62', 'Interceptions': '48', 'Att. Position': '79', 'Vision': '77', 'Penalties': '48', 'Composure': '77'}, 'Defending': {'Defensive awareness': '48', 'Standing tackle': '35', 'Sliding tackle': '46'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '9', 'GK Kicking': '8', 'GK Positioning': '8', 'GK Reflexes': '14'}}"
ollie-watkins,"{'Attacking': {'Crossing': '67', 'Finishing': '83', 'Heading accuracy': '81', 'Short passing': '72', 'Volleys': '68'}, 'Skills': {'Dribbling': '78', 'Curve': '63', 'FK Accuracy': '56', 'Long passing': '59', 'Ball control': '74'}, 'Movement': {'Acceleration': '77', 'Sprint speed': '89', 'Agility': '79', 'Reactions': '81', 'Balance': '74'}, 'Power': {'Shot power': '79', 'Jumping': '90', 'Stamina': '88', 'Strength': '79', 'Long shots': '74'}, 'Mentality': {'Aggression': '63', 'Interceptions': '44', 'Att. Position': '82', 'Vision': '74', 'Penalties': '67', 'Composure': '74'}, 'Defending': {'Defensive awareness': '40', 'Standing tackle': '46', 'Sliding tackle': '36'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '14', 'GK Kicking': '14', 'GK Positioning': '6', 'GK Reflexes': '10'}}"
jhon-duran,"{'Attacking': {'Crossing': '31', 'Finishing': '73', 'Heading accuracy': '55', 'Short passing': '64', 'Volleys': '59'}, 'Skills': {'Dribbling': '68', 'Curve': '45', 'FK Accuracy': '33', 'Long passing': '52', 'Ball control': '68'}, 'Movement': {'Acceleration': '75', 'Sprint speed': '82', 'Agility': '68', 'Reactions': '50', 'Balance': '63'}, 'Power': {'Shot power': '80', 'Jumping': '77', 'Stamina': '69', 'Strength': '77', 'Long shots': '57'}, 'Mentality': {'Aggression': '69', 'Interceptions': '14', 'Att. Position': '65', 'Vision': '50', 'Penalties': '51', 'Composure': '58'}, 'Defending': {'Defensive awareness': '19', 'Standing tackle': '28', 'Sliding tackle': '22'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '6', 'GK Kicking': '10', 'GK Positioning': '9', 'GK Reflexes': '5'}}"
youri-tielemans,"{'Attacking': {'Crossing': '78', 'Finishing': '74', 'Heading accuracy': '65', 'Short passing': '83', 'Volleys': '79'}, 'Skills': {'Dribbling': '76', 'Curve': '83', 'FK Accuracy': '78', 'Long passing': '85', 'Ball control': '84'}, 'Movement': {'Acceleration': '55', 'Sprint speed': '46', 'Agility': '62', 'Reactions': '80', 'Balance': '75'}, 'Power': {'Shot power': '86', 'Jumping': '66', 'Stamina': '82', 'Strength': '65', 'Long shots': '86'}, 'Mentality': {'Aggression': '64', 'Interceptions': '68', 'Att. Position': '76', 'Vision': '86', 'Penalties': '75', 'Composure': '85'}, 'Defending': {'Defensive awareness': '68', 'Standing tackle': '71', 'Sliding tackle': '67'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '8', 'GK Kicking': '10', 'GK Positioning': '14', 'GK Reflexes': '12'}}"
nicolo-zaniolo,"{'Attacking': {'Crossing': '73', 'Finishing': '78', 'Heading accuracy': '64', 'Short passing': '79', 'Volleys': '64'}, 'Skills': {'Dribbling': '81', 'Curve': '74', 'FK Accuracy': '60', 'Long passing': '73', 'Ball control': '84'}, 'Movement': {'Acceleration': '74', 'Sprint speed': '82', 'Agility': '71', 'Reactions': '80', 'Balance': '76'}, 'Power': {'Shot power': '84', 'Jumping': '75', 'Stamina': '75', 'Strength': '86', 'Long shots': '77'}, 'Mentality': {'Aggression': '87', 'Interceptions': '60', 'Att. Position': '83', 'Vision': '77', 'Penalties': '60', 'Composure': '74'}, 'Defending': {'Defensive awareness': '26', 'Standing tackle': '63', 'Sliding tackle': '58'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '11', 'GK Kicking': '11', 'GK Positioning': '13', 'GK Reflexes': '5'}}"
