Player,PlayerData
mark-flekken,"{'Attacking': {'Crossing': '14', 'Finishing': '16', 'Heading accuracy': '11', 'Short passing': '39', 'Volleys': '14'}, 'Skills': {'Dribbling': '12', 'Curve': '19', 'FK Accuracy': '12', 'Long passing': '42', 'Ball control': '34'}, 'Movement': {'Acceleration': '28', 'Sprint speed': '36', 'Agility': '34', 'Reactions': '82', 'Balance': '38'}, 'Power': {'Shot power': '62', 'Jumping': '63', 'Stamina': '28', 'Strength': '72', 'Long shots': '11'}, 'Mentality': {'Aggression': '32', 'Interceptions': '12', 'Att. Position': '14', 'Vision': '43', 'Penalties': '23', 'Composure': '39'}, 'Defending': {'Defensive awareness': '15', 'Standing tackle': '13', 'Sliding tackle': '20'}, 'Goalkeeping': {'GK Diving': '81', 'GK Handling': '74', 'GK Kicking': '83', 'GK Positioning': '79', 'GK Reflexes': '83'}}"
kristoffer-ajer,"{'Attacking': {'Crossing': '64', 'Finishing': '58', 'Heading accuracy': '73', 'Short passing': '71', 'Volleys': '41'}, 'Skills': {'Dribbling': '75', 'Curve': '58', 'FK Accuracy': '42', 'Long passing': '64', 'Ball control': '74'}, 'Movement': {'Acceleration': '56', 'Sprint speed': '78', 'Agility': '58', 'Reactions': '67', 'Balance': '54'}, 'Power': {'Shot power': '64', 'Jumping': '75', 'Stamina': '68', 'Strength': '90', 'Long shots': '47'}, 'Mentality': {'Aggression': '79', 'Interceptions': '72', 'Att. Position': '58', 'Vision': '54', 'Penalties': '49', 'Composure': '75'}, 'Defending': {'Defensive awareness': '73', 'Standing tackle': '76', 'Sliding tackle': '75'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '9', 'GK Kicking': '14', 'GK Positioning': '7', 'GK Reflexes': '10'}}"
ethan-pinnock,"{'Attacking': {'Crossing': '42', 'Finishing': '33', 'Heading accuracy': '77', 'Short passing': '64', 'Volleys': '33'}, 'Skills': {'Dribbling': '63', 'Curve': '40', 'FK Accuracy': '37', 'Long passing': '65', 'Ball control': '66'}, 'Movement': {'Acceleration': '65', 'Sprint speed': '74', 'Agility': '51', 'Reactions': '77', 'Balance': '60'}, 'Power': {'Shot power': '53', 'Jumping': '86', 'Stamina': '77', 'Strength': '86', 'Long shots': '31'}, 'Mentality': {'Aggression': '81', 'Interceptions': '79', 'Att. Position': '39', 'Vision': '58', 'Penalties': '44', 'Composure': '71'}, 'Defending': {'Defensive awareness': '83', 'Standing tackle': '82', 'Sliding tackle': '79'}, 'Goalkeeping': {'GK Diving': '5', 'GK Handling': '9', 'GK Kicking': '13', 'GK Positioning': '6', 'GK Reflexes': '8'}}"
ben-mee,"{'Attacking': {'Crossing': '59', 'Finishing': '36', 'Heading accuracy': '82', 'Short passing': '54', 'Volleys': '29'}, 'Skills': {'Dribbling': '50', 'Curve': '45', 'FK Accuracy': '31', 'Long passing': '59', 'Ball control': '61'}, 'Movement': {'Acceleration': '50', 'Sprint speed': '52', 'Agility': '56', 'Reactions': '78', 'Balance': '61'}, 'Power': {'Shot power': '60', 'Jumping': '87', 'Stamina': '67', 'Strength': '77', 'Long shots': '39'}, 'Mentality': {'Aggression': '84', 'Interceptions': '80', 'Att. Position': '40', 'Vision': '52', 'Penalties': '42', 'Composure': '75'}, 'Defending': {'Defensive awareness': '85', 'Standing tackle': '82', 'Sliding tackle': '79'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '7', 'GK Kicking': '12', 'GK Positioning': '10', 'GK Reflexes': '14'}}"
vitaly-janelt,"{'Attacking': {'Crossing': '68', 'Finishing': '67', 'Heading accuracy': '55', 'Short passing': '75', 'Volleys': '72'}, 'Skills': {'Dribbling': '72', 'Curve': '48', 'FK Accuracy': '54', 'Long passing': '76', 'Ball control': '74'}, 'Movement': {'Acceleration': '67', 'Sprint speed': '67', 'Agility': '68', 'Reactions': '75', 'Balance': '70'}, 'Power': {'Shot power': '76', 'Jumping': '72', 'Stamina': '80', 'Strength': '76', 'Long shots': '69'}, 'Mentality': {'Aggression': '76', 'Interceptions': '75', 'Att. Position': '71', 'Vision': '73', 'Penalties': '52', 'Composure': '75'}, 'Defending': {'Defensive awareness': '74', 'Standing tackle': '76', 'Sliding tackle': '72'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '8', 'GK Kicking': '6', 'GK Positioning': '6', 'GK Reflexes': '14'}}"
christian-norgaard,"{'Attacking': {'Crossing': '64', 'Finishing': '61', 'Heading accuracy': '69', 'Short passing': '74', 'Volleys': '51'}, 'Skills': {'Dribbling': '66', 'Curve': '64', 'FK Accuracy': '64', 'Long passing': '73', 'Ball control': '74'}, 'Movement': {'Acceleration': '59', 'Sprint speed': '56', 'Agility': '61', 'Reactions': '75', 'Balance': '67'}, 'Power': {'Shot power': '63', 'Jumping': '75', 'Stamina': '81', 'Strength': '77', 'Long shots': '57'}, 'Mentality': {'Aggression': '80', 'Interceptions': '79', 'Att. Position': '64', 'Vision': '65', 'Penalties': '60', 'Composure': '74'}, 'Defending': {'Defensive awareness': '76', 'Standing tackle': '78', 'Sliding tackle': '73'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '9', 'GK Kicking': '13', 'GK Positioning': '14', 'GK Reflexes': '11'}}"
mathias-jensen,"{'Attacking': {'Crossing': '79', 'Finishing': '64', 'Heading accuracy': '50', 'Short passing': '78', 'Volleys': '50'}, 'Skills': {'Dribbling': '73', 'Curve': '72', 'FK Accuracy': '68', 'Long passing': '80', 'Ball control': '75'}, 'Movement': {'Acceleration': '62', 'Sprint speed': '65', 'Agility': '77', 'Reactions': '76', 'Balance': '77'}, 'Power': {'Shot power': '63', 'Jumping': '64', 'Stamina': '80', 'Strength': '70', 'Long shots': '68'}, 'Mentality': {'Aggression': '73', 'Interceptions': '75', 'Att. Position': '70', 'Vision': '81', 'Penalties': '69', 'Composure': '80'}, 'Defending': {'Defensive awareness': '73', 'Standing tackle': '69', 'Sliding tackle': '62'}, 'Goalkeeping': {'GK Diving': '5', 'GK Handling': '13', 'GK Kicking': '10', 'GK Positioning': '8', 'GK Reflexes': '12'}}"
frank-onyeka,"{'Attacking': {'Crossing': '55', 'Finishing': '62', 'Heading accuracy': '63', 'Short passing': '70', 'Volleys': '53'}, 'Skills': {'Dribbling': '70', 'Curve': '56', 'FK Accuracy': '42', 'Long passing': '66', 'Ball control': '70'}, 'Movement': {'Acceleration': '71', 'Sprint speed': '85', 'Agility': '79', 'Reactions': '71', 'Balance': '71'}, 'Power': {'Shot power': '66', 'Jumping': '76', 'Stamina': '76', 'Strength': '74', 'Long shots': '49'}, 'Mentality': {'Aggression': '79', 'Interceptions': '76', 'Att. Position': '70', 'Vision': '70', 'Penalties': '48', 'Composure': '70'}, 'Defending': {'Defensive awareness': '71', 'Standing tackle': '72', 'Sliding tackle': '65'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '9', 'GK Kicking': '7', 'GK Positioning': '6', 'GK Reflexes': '14'}}"
bryan-mbeumo,"{'Attacking': {'Crossing': '77', 'Finishing': '79', 'Heading accuracy': '62', 'Short passing': '72', 'Volleys': '78'}, 'Skills': {'Dribbling': '79', 'Curve': '74', 'FK Accuracy': '72', 'Long passing': '69', 'Ball control': '76'}, 'Movement': {'Acceleration': '87', 'Sprint speed': '82', 'Agility': '87', 'Reactions': '76', 'Balance': '75'}, 'Power': {'Shot power': '82', 'Jumping': '81', 'Stamina': '80', 'Strength': '72', 'Long shots': '74'}, 'Mentality': {'Aggression': '82', 'Interceptions': '52', 'Att. Position': '83', 'Vision': '76', 'Penalties': '79', 'Composure': '76'}, 'Defending': {'Defensive awareness': '53', 'Standing tackle': '41', 'Sliding tackle': '37'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '14', 'GK Kicking': '15', 'GK Positioning': '13', 'GK Reflexes': '14'}}"
neal-maupay,"{'Attacking': {'Crossing': '61', 'Finishing': '76', 'Heading accuracy': '73', 'Short passing': '74', 'Volleys': '74'}, 'Skills': {'Dribbling': '66', 'Curve': '63', 'FK Accuracy': '55', 'Long passing': '59', 'Ball control': '75'}, 'Movement': {'Acceleration': '76', 'Sprint speed': '63', 'Agility': '76', 'Reactions': '78', 'Balance': '81'}, 'Power': {'Shot power': '79', 'Jumping': '81', 'Stamina': '74', 'Strength': '67', 'Long shots': '71'}, 'Mentality': {'Aggression': '80', 'Interceptions': '26', 'Att. Position': '77', 'Vision': '69', 'Penalties': '78', 'Composure': '70'}, 'Defending': {'Defensive awareness': '30', 'Standing tackle': '55', 'Sliding tackle': '33'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '12', 'GK Kicking': '7', 'GK Positioning': '8', 'GK Reflexes': '14'}}"
