Player,PlayerData
jason-steele,"{'Attacking': {'Crossing': '11', 'Finishing': '15', 'Heading accuracy': '28', 'Short passing': '57', 'Volleys': '12'}, 'Skills': {'Dribbling': '12', 'Curve': '19', 'FK Accuracy': '15', 'Long passing': '52', 'Ball control': '36'}, 'Movement': {'Acceleration': '41', 'Sprint speed': '36', 'Agility': '36', 'Reactions': '65', 'Balance': '44'}, 'Power': {'Shot power': '59', 'Jumping': '63', 'Stamina': '29', 'Strength': '55', 'Long shots': '12'}, 'Mentality': {'Aggression': '39', 'Interceptions': '11', 'Att. Position': '8', 'Vision': '40', 'Penalties': '24', 'Composure': '70'}, 'Defending': {'Defensive awareness': '10', 'Standing tackle': '18', 'Sliding tackle': '14'}, 'Goalkeeping': {'GK Diving': '73', 'GK Handling': '72', 'GK Kicking': '78', 'GK Positioning': '73', 'GK Reflexes': '72'}}"
joel-veltman,"{'Attacking': {'Crossing': '73', 'Finishing': '50', 'Heading accuracy': '74', 'Short passing': '78', 'Volleys': '38'}, 'Skills': {'Dribbling': '68', 'Curve': '51', 'FK Accuracy': '34', 'Long passing': '73', 'Ball control': '74'}, 'Movement': {'Acceleration': '60', 'Sprint speed': '61', 'Agility': '66', 'Reactions': '79', 'Balance': '66'}, 'Power': {'Shot power': '60', 'Jumping': '76', 'Stamina': '74', 'Strength': '72', 'Long shots': '41'}, 'Mentality': {'Aggression': '80', 'Interceptions': '80', 'Att. Position': '55', 'Vision': '55', 'Penalties': '42', 'Composure': '80'}, 'Defending': {'Defensive awareness': '82', 'Standing tackle': '81', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '10', 'GK Kicking': '6', 'GK Positioning': '9', 'GK Reflexes': '11'}}"
adam-webster,"{'Attacking': {'Crossing': '50', 'Finishing': '30', 'Heading accuracy': '78', 'Short passing': '77', 'Volleys': '27'}, 'Skills': {'Dribbling': '69', 'Curve': '27', 'FK Accuracy': '25', 'Long passing': '73', 'Ball control': '74'}, 'Movement': {'Acceleration': '63', 'Sprint speed': '73', 'Agility': '62', 'Reactions': '76', 'Balance': '57'}, 'Power': {'Shot power': '37', 'Jumping': '83', 'Stamina': '69', 'Strength': '79', 'Long shots': '32'}, 'Mentality': {'Aggression': '75', 'Interceptions': '76', 'Att. Position': '26', 'Vision': '55', 'Penalties': '24', 'Composure': '78'}, 'Defending': {'Defensive awareness': '82', 'Standing tackle': '80', 'Sliding tackle': '75'}, 'Goalkeeping': {'GK Diving': '10', 'GK Handling': '8', 'GK Kicking': '14', 'GK Positioning': '7', 'GK Reflexes': '12'}}"
lewis-dunk,"{'Attacking': {'Crossing': '41', 'Finishing': '42', 'Heading accuracy': '81', 'Short passing': '83', 'Volleys': '42'}, 'Skills': {'Dribbling': '66', 'Curve': '60', 'FK Accuracy': '69', 'Long passing': '83', 'Ball control': '77'}, 'Movement': {'Acceleration': '36', 'Sprint speed': '53', 'Agility': '40', 'Reactions': '83', 'Balance': '38'}, 'Power': {'Shot power': '72', 'Jumping': '77', 'Stamina': '70', 'Strength': '84', 'Long shots': '67'}, 'Mentality': {'Aggression': '83', 'Interceptions': '82', 'Att. Position': '30', 'Vision': '67', 'Penalties': '40', 'Composure': '83'}, 'Defending': {'Defensive awareness': '84', 'Standing tackle': '83', 'Sliding tackle': '79'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '16', 'GK Kicking': '9', 'GK Positioning': '12', 'GK Reflexes': '6'}}"
pascal-gross,"{'Attacking': {'Crossing': '84', 'Finishing': '75', 'Heading accuracy': '53', 'Short passing': '83', 'Volleys': '67'}, 'Skills': {'Dribbling': '79', 'Curve': '85', 'FK Accuracy': '77', 'Long passing': '80', 'Ball control': '81'}, 'Movement': {'Acceleration': '55', 'Sprint speed': '50', 'Agility': '67', 'Reactions': '81', 'Balance': '66'}, 'Power': {'Shot power': '76', 'Jumping': '62', 'Stamina': '85', 'Strength': '68', 'Long shots': '80'}, 'Mentality': {'Aggression': '69', 'Interceptions': '62', 'Att. Position': '79', 'Vision': '82', 'Penalties': '72', 'Composure': '84'}, 'Defending': {'Defensive awareness': '70', 'Standing tackle': '65', 'Sliding tackle': '62'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '15', 'GK Kicking': '15', 'GK Positioning': '16', 'GK Reflexes': '11'}}"
mahmoud-dahoud,"{'Attacking': {'Crossing': '67', 'Finishing': '60', 'Heading accuracy': '44', 'Short passing': '83', 'Volleys': '66'}, 'Skills': {'Dribbling': '84', 'Curve': '78', 'FK Accuracy': '53', 'Long passing': '79', 'Ball control': '83'}, 'Movement': {'Acceleration': '77', 'Sprint speed': '59', 'Agility': '86', 'Reactions': '77', 'Balance': '85'}, 'Power': {'Shot power': '81', 'Jumping': '62', 'Stamina': '83', 'Strength': '59', 'Long shots': '75'}, 'Mentality': {'Aggression': '74', 'Interceptions': '76', 'Att. Position': '66', 'Vision': '80', 'Penalties': '55', 'Composure': '75'}, 'Defending': {'Defensive awareness': '74', 'Standing tackle': '61', 'Sliding tackle': '59'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '7', 'GK Kicking': '9', 'GK Positioning': '12', 'GK Reflexes': '11'}}"
billy-gilmour,"{'Attacking': {'Crossing': '63', 'Finishing': '53', 'Heading accuracy': '50', 'Short passing': '79', 'Volleys': '59'}, 'Skills': {'Dribbling': '74', 'Curve': '62', 'FK Accuracy': '54', 'Long passing': '75', 'Ball control': '76'}, 'Movement': {'Acceleration': '69', 'Sprint speed': '53', 'Agility': '75', 'Reactions': '76', 'Balance': '77'}, 'Power': {'Shot power': '56', 'Jumping': '54', 'Stamina': '70', 'Strength': '45', 'Long shots': '64'}, 'Mentality': {'Aggression': '68', 'Interceptions': '70', 'Att. Position': '58', 'Vision': '74', 'Penalties': '69', 'Composure': '71'}, 'Defending': {'Defensive awareness': '66', 'Standing tackle': '73', 'Sliding tackle': '64'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '7', 'GK Kicking': '9', 'GK Positioning': '13', 'GK Reflexes': '12'}}"
simon-adingra,"{'Attacking': {'Crossing': '66', 'Finishing': '73', 'Heading accuracy': '32', 'Short passing': '68', 'Volleys': '68'}, 'Skills': {'Dribbling': '79', 'Curve': '63', 'FK Accuracy': '53', 'Long passing': '62', 'Ball control': '75'}, 'Movement': {'Acceleration': '88', 'Sprint speed': '83', 'Agility': '86', 'Reactions': '68', 'Balance': '83'}, 'Power': {'Shot power': '70', 'Jumping': '55', 'Stamina': '67', 'Strength': '45', 'Long shots': '66'}, 'Mentality': {'Aggression': '47', 'Interceptions': '25', 'Att. Position': '68', 'Vision': '74', 'Penalties': '58', 'Composure': '78'}, 'Defending': {'Defensive awareness': '27', 'Standing tackle': '31', 'Sliding tackle': '31'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '13', 'GK Kicking': '6', 'GK Positioning': '14', 'GK Reflexes': '10'}}"
kaoru-mitoma,"{'Attacking': {'Crossing': '76', 'Finishing': '80', 'Heading accuracy': '52', 'Short passing': '80', 'Volleys': '69'}, 'Skills': {'Dribbling': '89', 'Curve': '71', 'FK Accuracy': '62', 'Long passing': '59', 'Ball control': '85'}, 'Movement': {'Acceleration': '89', 'Sprint speed': '79', 'Agility': '89', 'Reactions': '77', 'Balance': '78'}, 'Power': {'Shot power': '69', 'Jumping': '73', 'Stamina': '75', 'Strength': '62', 'Long shots': '68'}, 'Mentality': {'Aggression': '58', 'Interceptions': '57', 'Att. Position': '77', 'Vision': '81', 'Penalties': '63', 'Composure': '79'}, 'Defending': {'Defensive awareness': '56', 'Standing tackle': '59', 'Sliding tackle': '54'}, 'Goalkeeping': {'GK Diving': '10', 'GK Handling': '13', 'GK Kicking': '10', 'GK Positioning': '14', 'GK Reflexes': '9'}}"
joao-pedro-junqueira-de-jesus,"{'Attacking': {'Crossing': '56', 'Finishing': '75', 'Heading accuracy': '72', 'Short passing': '70', 'Volleys': '65'}, 'Skills': {'Dribbling': '80', 'Curve': '64', 'FK Accuracy': '46', 'Long passing': '61', 'Ball control': '76'}, 'Movement': {'Acceleration': '79', 'Sprint speed': '76', 'Agility': '80', 'Reactions': '72', 'Balance': '64'}, 'Power': {'Shot power': '72', 'Jumping': '80', 'Stamina': '73', 'Strength': '64', 'Long shots': '63'}, 'Mentality': {'Aggression': '29', 'Interceptions': '14', 'Att. Position': '76', 'Vision': '67', 'Penalties': '75', 'Composure': '74'}, 'Defending': {'Defensive awareness': '17', 'Standing tackle': '25', 'Sliding tackle': '24'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '6', 'GK Kicking': '10', 'GK Positioning': '8', 'GK Reflexes': '14'}}"
