Player,PlayerData
james-trafford,"{'Attacking': {'Crossing': '12', 'Finishing': '8', 'Heading accuracy': '10', 'Short passing': '53', 'Volleys': '9'}, 'Skills': {'Dribbling': '10', 'Curve': '14', 'FK Accuracy': '12', 'Long passing': '47', 'Ball control': '12'}, 'Movement': {'Acceleration': '33', 'Sprint speed': '17', 'Agility': '27', 'Reactions': '64', 'Balance': '27'}, 'Power': {'Shot power': '52', 'Jumping': '55', 'Stamina': '17', 'Strength': '58', 'Long shots': '9'}, 'Mentality': {'Aggression': '28', 'Interceptions': '7', 'Att. Position': '7', 'Vision': '48', 'Penalties': '16', 'Composure': '26'}, 'Defending': {'Defensive awareness': '5', 'Standing tackle': '13', 'Sliding tackle': '13'}, 'Goalkeeping': {'GK Diving': '70', 'GK Handling': '69', 'GK Kicking': '69', 'GK Positioning': '70', 'GK Reflexes': '73'}}"
victor-da-silva,"{'Attacking': {'Crossing': '67', 'Finishing': '33', 'Heading accuracy': '55', 'Short passing': '69', 'Volleys': '29'}, 'Skills': {'Dribbling': '74', 'Curve': '59', 'FK Accuracy': '41', 'Long passing': '59', 'Ball control': '70'}, 'Movement': {'Acceleration': '86', 'Sprint speed': '80', 'Agility': '84', 'Reactions': '66', 'Balance': '81'}, 'Power': {'Shot power': '67', 'Jumping': '74', 'Stamina': '74', 'Strength': '62', 'Long shots': '50'}, 'Mentality': {'Aggression': '68', 'Interceptions': '61', 'Att. Position': '62', 'Vision': '65', 'Penalties': '38', 'Composure': '66'}, 'Defending': {'Defensive awareness': '64', 'Standing tackle': '70', 'Sliding tackle': '69'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '9', 'GK Kicking': '12', 'GK Positioning': '9', 'GK Reflexes': '8'}}"
dara-oshea,"{'Attacking': {'Crossing': '57', 'Finishing': '30', 'Heading accuracy': '73', 'Short passing': '67', 'Volleys': '30'}, 'Skills': {'Dribbling': '52', 'Curve': '37', 'FK Accuracy': '28', 'Long passing': '58', 'Ball control': '60'}, 'Movement': {'Acceleration': '59', 'Sprint speed': '63', 'Agility': '55', 'Reactions': '68', 'Balance': '61'}, 'Power': {'Shot power': '48', 'Jumping': '78', 'Stamina': '70', 'Strength': '76', 'Long shots': '22'}, 'Mentality': {'Aggression': '72', 'Interceptions': '73', 'Att. Position': '34', 'Vision': '42', 'Penalties': '45', 'Composure': '63'}, 'Defending': {'Defensive awareness': '72', 'Standing tackle': '74', 'Sliding tackle': '72'}, 'Goalkeeping': {'GK Diving': '13', 'GK Handling': '8', 'GK Kicking': '7', 'GK Positioning': '7', 'GK Reflexes': '10'}}"
jordan-beyer,"{'Attacking': {'Crossing': '61', 'Finishing': '29', 'Heading accuracy': '72', 'Short passing': '72', 'Volleys': '31'}, 'Skills': {'Dribbling': '69', 'Curve': '44', 'FK Accuracy': '35', 'Long passing': '66', 'Ball control': '72'}, 'Movement': {'Acceleration': '72', 'Sprint speed': '76', 'Agility': '68', 'Reactions': '73', 'Balance': '64'}, 'Power': {'Shot power': '46', 'Jumping': '83', 'Stamina': '68', 'Strength': '77', 'Long shots': '30'}, 'Mentality': {'Aggression': '75', 'Interceptions': '74', 'Att. Position': '48', 'Vision': '53', 'Penalties': '42', 'Composure': '74'}, 'Defending': {'Defensive awareness': '75', 'Standing tackle': '77', 'Sliding tackle': '76'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '7', 'GK Kicking': '13', 'GK Positioning': '11', 'GK Reflexes': '11'}}"
charlie-taylor,"{'Attacking': {'Crossing': '71', 'Finishing': '46', 'Heading accuracy': '71', 'Short passing': '69', 'Volleys': '43'}, 'Skills': {'Dribbling': '70', 'Curve': '68', 'FK Accuracy': '61', 'Long passing': '66', 'Ball control': '70'}, 'Movement': {'Acceleration': '67', 'Sprint speed': '68', 'Agility': '67', 'Reactions': '72', 'Balance': '66'}, 'Power': {'Shot power': '63', 'Jumping': '81', 'Stamina': '76', 'Strength': '77', 'Long shots': '59'}, 'Mentality': {'Aggression': '78', 'Interceptions': '73', 'Att. Position': '59', 'Vision': '65', 'Penalties': '45', 'Composure': '71'}, 'Defending': {'Defensive awareness': '73', 'Standing tackle': '73', 'Sliding tackle': '73'}, 'Goalkeeping': {'GK Diving': '13', 'GK Handling': '6', 'GK Kicking': '14', 'GK Positioning': '13', 'GK Reflexes': '8'}}"
josh-cullen,"{'Attacking': {'Crossing': '73', 'Finishing': '48', 'Heading accuracy': '61', 'Short passing': '78', 'Volleys': '48'}, 'Skills': {'Dribbling': '68', 'Curve': '68', 'FK Accuracy': '72', 'Long passing': '75', 'Ball control': '76'}, 'Movement': {'Acceleration': '71', 'Sprint speed': '65', 'Agility': '75', 'Reactions': '76', 'Balance': '80'}, 'Power': {'Shot power': '68', 'Jumping': '71', 'Stamina': '85', 'Strength': '63', 'Long shots': '65'}, 'Mentality': {'Aggression': '68', 'Interceptions': '75', 'Att. Position': '62', 'Vision': '71', 'Penalties': '58', 'Composure': '79'}, 'Defending': {'Defensive awareness': '75', 'Standing tackle': '75', 'Sliding tackle': '72'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '12', 'GK Kicking': '15', 'GK Positioning': '11', 'GK Reflexes': '9'}}"
josh-brownhill,"{'Attacking': {'Crossing': '69', 'Finishing': '70', 'Heading accuracy': '67', 'Short passing': '74', 'Volleys': '64'}, 'Skills': {'Dribbling': '74', 'Curve': '71', 'FK Accuracy': '70', 'Long passing': '73', 'Ball control': '76'}, 'Movement': {'Acceleration': '72', 'Sprint speed': '66', 'Agility': '70', 'Reactions': '78', 'Balance': '73'}, 'Power': {'Shot power': '76', 'Jumping': '77', 'Stamina': '89', 'Strength': '71', 'Long shots': '71'}, 'Mentality': {'Aggression': '78', 'Interceptions': '82', 'Att. Position': '72', 'Vision': '73', 'Penalties': '46', 'Composure': '74'}, 'Defending': {'Defensive awareness': '72', 'Standing tackle': '77', 'Sliding tackle': '69'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '11', 'GK Kicking': '12', 'GK Positioning': '7', 'GK Reflexes': '9'}}"
johann-berg-gudhmundsson,"{'Attacking': {'Crossing': '72', 'Finishing': '68', 'Heading accuracy': '62', 'Short passing': '76', 'Volleys': '73'}, 'Skills': {'Dribbling': '72', 'Curve': '76', 'FK Accuracy': '74', 'Long passing': '73', 'Ball control': '75'}, 'Movement': {'Acceleration': '69', 'Sprint speed': '61', 'Agility': '68', 'Reactions': '72', 'Balance': '76'}, 'Power': {'Shot power': '78', 'Jumping': '71', 'Stamina': '67', 'Strength': '67', 'Long shots': '72'}, 'Mentality': {'Aggression': '66', 'Interceptions': '62', 'Att. Position': '71', 'Vision': '76', 'Penalties': '70', 'Composure': '76'}, 'Defending': {'Defensive awareness': '60', 'Standing tackle': '63', 'Sliding tackle': '55'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '6', 'GK Kicking': '14', 'GK Positioning': '10', 'GK Reflexes': '8'}}"
wilson-odobert,"{'Attacking': {'Crossing': '59', 'Finishing': '67', 'Heading accuracy': '44', 'Short passing': '66', 'Volleys': '51'}, 'Skills': {'Dribbling': '74', 'Curve': '48', 'FK Accuracy': '46', 'Long passing': '48', 'Ball control': '72'}, 'Movement': {'Acceleration': '78', 'Sprint speed': '70', 'Agility': '62', 'Reactions': '69', 'Balance': '62'}, 'Power': {'Shot power': '66', 'Jumping': '49', 'Stamina': '46', 'Strength': '41', 'Long shots': '48'}, 'Mentality': {'Aggression': '34', 'Interceptions': '23', 'Att. Position': '71', 'Vision': '59', 'Penalties': '63', 'Composure': '52'}, 'Defending': {'Defensive awareness': '29', 'Standing tackle': '26', 'Sliding tackle': '27'}, 'Goalkeeping': {'GK Diving': '5', 'GK Handling': '10', 'GK Kicking': '12', 'GK Positioning': '11', 'GK Reflexes': '7'}}"
zeki-amdouni,"{'Attacking': {'Crossing': '58', 'Finishing': '76', 'Heading accuracy': '65', 'Short passing': '75', 'Volleys': '65'}, 'Skills': {'Dribbling': '76', 'Curve': '62', 'FK Accuracy': '60', 'Long passing': '67', 'Ball control': '77'}, 'Movement': {'Acceleration': '72', 'Sprint speed': '72', 'Agility': '75', 'Reactions': '73', 'Balance': '68'}, 'Power': {'Shot power': '74', 'Jumping': '77', 'Stamina': '72', 'Strength': '73', 'Long shots': '75'}, 'Mentality': {'Aggression': '59', 'Interceptions': '47', 'Att. Position': '75', 'Vision': '77', 'Penalties': '62', 'Composure': '73'}, 'Defending': {'Defensive awareness': '43', 'Standing tackle': '42', 'Sliding tackle': '45'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '9', 'GK Kicking': '8', 'GK Positioning': '14', 'GK Reflexes': '14'}}"
