Player,PlayerData
robert-lynch-sanchez,"{'Attacking': {'Crossing': '12', 'Finishing': '14', 'Heading accuracy': '15', 'Short passing': '51', 'Volleys': '15'}, 'Skills': {'Dribbling': '15', 'Curve': '12', 'FK Accuracy': '14', '-3': '52', 'Ball control': '37'}, 'Movement': {'Acceleration': '56', 'Sprint speed': '60', 'Agility': '40', 'Reactions': '73', 'Balance': '35'}, 'Power': {'Shot power': '56', 'Jumping': '70', 'Stamina': '40', 'Strength': '66', 'Long shots': '16'}, 'Mentality': {'Aggression': '33', 'Interceptions': '8', 'Att. Position': '12', '-4': '61', 'Penalties': '15', '-3': '62'}, 'Defending': {'Defensive awareness': '18', 'Standing tackle': '13', 'Sliding tackle': '15'}, 'Goalkeeping': {'GK Diving': '79', 'GK Handling': '77', 'GK Kicking': '75', 'GK Positioning': '79', 'GK Reflexes': '80'}}"
reece-james,"{'Attacking': {'Crossing': '88', 'Finishing': '69', 'Heading accuracy': '77', 'Short passing': '83', 'Volleys': '67'}, 'Skills': {'Dribbling': '83', 'Curve': '83', 'FK Accuracy': '76', 'Long passing': '78', 'Ball control': '82'}, 'Movement': {'Acceleration': '76', 'Sprint speed': '81', 'Agility': '72', 'Reactions': '83', 'Balance': '88'}, 'Power': {'Shot power': '83', 'Jumping': '89', '-6': '68', 'Strength': '84', 'Long shots': '69'}, 'Mentality': {'Aggression': '77', 'Interceptions': '79', 'Att. Position': '78', 'Vision': '82', 'Penalties': '62', 'Composure': '84'}, 'Defending': {'Defensive awareness': '82', 'Standing tackle': '85', 'Sliding tackle': '80'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '12', 'GK Kicking': '7', 'GK Positioning': '13', 'GK Reflexes': '11'}}"
axel-disasi,"{'Attacking': {'Crossing': '25', 'Finishing': '46', 'Heading accuracy': '80', 'Short passing': '69', 'Volleys': '36'}, 'Skills': {'Dribbling': '54', 'Curve': '45', 'FK Accuracy': '27', 'Long passing': '64', 'Ball control': '63'}, 'Movement': {'Acceleration': '40', 'Sprint speed': '56', 'Agility': '35', 'Reactions': '79', 'Balance': '34'}, 'Power': {'Shot power': '67', 'Jumping': '80', 'Stamina': '72', 'Strength': '92', 'Long shots': '41'}, 'Mentality': {'Aggression': '78', 'Interceptions': '80', 'Att. Position': '42', 'Vision': '54', 'Penalties': '36', 'Composure': '71'}, 'Defending': {'Defensive awareness': '80', 'Standing tackle': '80', 'Sliding tackle': '75'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '8', 'GK Kicking': '11', 'GK Positioning': '8', 'GK Reflexes': '6'}}"
thiago-emiliano-da-silva,"{'Attacking': {'Crossing': '60', 'Finishing': '40', 'Heading accuracy': '81', 'Short passing': '83', 'Volleys': '61'}, 'Skills': {'Dribbling': '67', 'Curve': '62', 'FK Accuracy': '61', 'Long passing': '84', 'Ball control': '80'}, 'Movement': {'Acceleration': '43', 'Sprint speed': '55', 'Agility': '60', 'Reactions': '86', 'Balance': '63'}, 'Power': {'Shot power': '71', 'Jumping': '76', 'Stamina': '66', 'Strength': '78', 'Long shots': '65'}, 'Mentality': {'Aggression': '74', 'Interceptions': '85', 'Att. Position': '59', 'Vision': '71', 'Penalties': '60', 'Composure': '87'}, 'Defending': {'Defensive awareness': '88', 'Standing tackle': '87', 'Sliding tackle': '84'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '12', 'GK Kicking': '5', 'GK Positioning': '9', 'GK Reflexes': '10'}}"
levi-colwill,"{'Attacking': {'Crossing': '58', 'Finishing': '26', 'Heading accuracy': '71', 'Short passing': '77', 'Volleys': '33'}, 'Skills': {'Dribbling': '68', 'Curve': '58', 'FK Accuracy': '34', 'Long passing': '68', 'Ball control': '71'}, 'Movement': {'Acceleration': '66', 'Sprint speed': '76', 'Agility': '59', 'Reactions': '76', 'Balance': '65'}, 'Power': {'Shot power': '45', 'Jumping': '81', 'Stamina': '66', 'Strength': '80', 'Long shots': '38'}, 'Mentality': {'Aggression': '69', 'Interceptions': '75', 'Att. Position': '45', 'Vision': '65', 'Penalties': '39', 'Composure': '73'}, 'Defending': {'Defensive awareness': '76', 'Standing tackle': '79', 'Sliding tackle': '74'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '14', 'GK Kicking': '8', 'GK Positioning': '10', 'GK Reflexes': '14'}}"
conor-gallagher,"{'Attacking': {'Crossing': '69', 'Finishing': '75', 'Heading accuracy': '49', 'Short passing': '79', 'Volleys': '63'}, 'Skills': {'Dribbling': '77', 'Curve': '65', 'FK Accuracy': '70', 'Long passing': '78', 'Ball control': '78'}, 'Movement': {'Acceleration': '68', 'Sprint speed': '77', 'Agility': '68', 'Reactions': '83', 'Balance': '68'}, 'Power': {'Shot power': '79', 'Jumping': '64', 'Stamina': '93', 'Strength': '67', 'Long shots': '76'}, 'Mentality': {'Aggression': '84', 'Interceptions': '75', 'Att. Position': '78', 'Vision': '75', 'Penalties': '55', 'Composure': '75'}, 'Defending': {'Defensive awareness': '66', 'Standing tackle': '77', 'Sliding tackle': '70'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '6', 'GK Kicking': '15', 'GK Positioning': '9', 'GK Reflexes': '9'}}"
moises-caicedo,"{'Attacking': {'Crossing': '53', 'Finishing': '58', 'Heading accuracy': '57', '-2': '83', 'Volleys': '52'}, 'Skills': {'Dribbling': '73', 'Curve': '51', 'FK Accuracy': '54', 'Long passing': '76', '-1': '82'}, 'Movement': {'-2': '75', 'Sprint speed': '71', 'Agility': '74', '-1': '75', 'Balance': '75'}, 'Power': {'Shot power': '72', '-1': '72', 'Stamina': '82', 'Strength': '70', 'Long shots': '71'}, 'Mentality': {'Aggression': '73', '-1': '78', '-3': '65', '-2': '72', 'Penalties': '54', 'Composure': '79'}, 'Defending': {'Defensive awareness': '78', 'Standing tackle': '81', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '6', 'GK Kicking': '13', 'GK Positioning': '9', 'GK Reflexes': '13'}}"
cole-palmer,"{'Attacking': {'Crossing': '65', 'Finishing': '69', 'Heading accuracy': '43', 'Short passing': '67', 'Volleys': '53'}, 'Skills': {'Dribbling': '75', 'Curve': '67', 'FK Accuracy': '57', 'Long passing': '64', 'Ball control': '77'}, 'Movement': {'Acceleration': '71', 'Sprint speed': '76', 'Agility': '74', 'Reactions': '63', 'Balance': '65'}, 'Power': {'Shot power': '69', 'Jumping': '57', 'Stamina': '66', 'Strength': '57', 'Long shots': '64'}, 'Mentality': {'Aggression': '50', 'Interceptions': '40', 'Att. Position': '70', 'Vision': '72', 'Penalties': '75', 'Composure': '70'}, 'Defending': {'Defensive awareness': '48', 'Standing tackle': '47', 'Sliding tackle': '48'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '6', 'GK Kicking': '10', 'GK Positioning': '14', 'GK Reflexes': '14'}}"
raheem-sterling,"{'Attacking': {'Crossing': '78', 'Finishing': '79', 'Heading accuracy': '46', 'Short passing': '77', 'Volleys': '67'}, 'Skills': {'Dribbling': '86', 'Curve': '80', 'FK Accuracy': '74', 'Long passing': '67', 'Ball control': '81'}, 'Movement': {'Acceleration': '90', 'Sprint speed': '80', 'Agility': '94', 'Reactions': '86', 'Balance': '93'}, 'Power': {'Shot power': '78', 'Jumping': '71', 'Stamina': '77', 'Strength': '65', 'Long shots': '78'}, 'Mentality': {'Aggression': '59', 'Interceptions': '30', 'Att. Position': '87', 'Vision': '76', 'Penalties': '73', 'Composure': '77'}, 'Defending': {'Defensive awareness': '47', 'Standing tackle': '53', 'Sliding tackle': '45'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '12', 'GK Kicking': '12', 'GK Positioning': '15', 'GK Reflexes': '9'}}"
enzo-fernandez,"{'Attacking': {'Crossing': '66', 'Finishing': '66', 'Heading accuracy': '66', 'Short passing': '86', 'Volleys': '75'}, 'Skills': {'Dribbling': '78', 'Curve': '77', 'FK Accuracy': '69', '-2': '86', '+1': '84'}, 'Movement': {'-2': '79', 'Sprint speed': '70', 'Agility': '76', 'Balance': '77'}, 'Power': {'Shot power': '83', '-1': '84', 'Strength': '75', 'Long shots': '79'}, 'Mentality': {'Aggression': '82', 'Interceptions': '74', '-1': '78', 'Vision': '86', 'Penalties': '70', 'Composure': '80'}, 'Defending': {'-2': '75', '-1': '73'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '6', 'GK Kicking': '7', 'GK Positioning': '8', 'GK Reflexes': '10'}}"
