Player,PlayerData
sam-johnstone,"{'Attacking': {'Crossing': '17', 'Finishing': '11', 'Heading accuracy': '17', 'Short passing': '27', 'Volleys': '15'}, 'Skills': {'Dribbling': '16', 'Curve': '16', 'FK Accuracy': '17', 'Long passing': '35', 'Ball control': '18'}, 'Movement': {'Acceleration': '38', 'Sprint speed': '45', 'Agility': '55', 'Reactions': '72', 'Balance': '27'}, 'Power': {'Shot power': '53', 'Jumping': '65', 'Stamina': '37', 'Strength': '68', 'Long shots': '16'}, 'Mentality': {'Aggression': '24', 'Interceptions': '17', 'Att. Position': '11', 'Vision': '48', 'Penalties': '42', 'Composure': '50'}, 'Defending': {'Defensive awareness': '22', 'Standing tackle': '17', 'Sliding tackle': '20'}, 'Goalkeeping': {'GK Diving': '78', 'GK Handling': '75', 'GK Kicking': '70', 'GK Positioning': '77', 'GK Reflexes': '79'}}"
joel-ward,"{'Attacking': {'Crossing': '74', 'Finishing': '46', 'Heading accuracy': '74', 'Short passing': '72', 'Volleys': '33'}, 'Skills': {'Dribbling': '64', 'Curve': '50', 'FK Accuracy': '34', 'Long passing': '69', 'Ball control': '69'}, 'Movement': {'Acceleration': '50', 'Sprint speed': '52', 'Agility': '61', 'Reactions': '74', 'Balance': '53'}, 'Power': {'Shot power': '64', 'Jumping': '73', 'Stamina': '60', 'Strength': '71', 'Long shots': '59'}, 'Mentality': {'Aggression': '74', 'Interceptions': '78', 'Att. Position': '64', 'Vision': '66', 'Penalties': '40', 'Composure': '71'}, 'Defending': {'Defensive awareness': '77', 'Standing tackle': '75', 'Sliding tackle': '76'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '7', 'GK Kicking': '7', 'GK Positioning': '10', 'GK Reflexes': '11'}}"
joachim-andersen,"{'Attacking': {'Crossing': '49', 'Finishing': '40', 'Heading accuracy': '77', 'Short passing': '79', 'Volleys': '43'}, 'Skills': {'Dribbling': '64', 'Curve': '64', 'FK Accuracy': '52', 'Long passing': '87', 'Ball control': '75'}, 'Movement': {'Acceleration': '50', 'Sprint speed': '55', 'Agility': '47', 'Reactions': '78', 'Balance': '50'}, 'Power': {'Shot power': '73', 'Jumping': '81', 'Stamina': '70', 'Strength': '86', 'Long shots': '53'}, 'Mentality': {'Aggression': '82', 'Interceptions': '78', 'Att. Position': '45', 'Vision': '67', 'Penalties': '44', 'Composure': '77'}, 'Defending': {'Defensive awareness': '79', 'Standing tackle': '79', 'Sliding tackle': '77'}, 'Goalkeeping': {'GK Diving': '13', 'GK Handling': '7', 'GK Kicking': '9', 'GK Positioning': '15', 'GK Reflexes': '14'}}"
marc-guehi,"{'Attacking': {'Crossing': '35', 'Finishing': '42', 'Heading accuracy': '77', 'Short passing': '77', 'Volleys': '32'}, 'Skills': {'Dribbling': '67', 'Curve': '42', 'FK Accuracy': '32', 'Long passing': '75', 'Ball control': '74'}, 'Movement': {'Acceleration': '68', 'Sprint speed': '75', 'Agility': '69', 'Reactions': '81', 'Balance': '65'}, 'Power': {'Shot power': '49', 'Jumping': '83', 'Stamina': '70', 'Strength': '77', 'Long shots': '26'}, 'Mentality': {'Aggression': '73', 'Interceptions': '79', 'Att. Position': '35', 'Vision': '54', 'Penalties': '38', 'Composure': '74'}, 'Defending': {'Defensive awareness': '81', 'Standing tackle': '80', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '9', 'GK Kicking': '11', 'GK Positioning': '12', 'GK Reflexes': '12'}}"
tyrick-mitchell,"{'Attacking': {'Crossing': '69', 'Finishing': '36', 'Heading accuracy': '53', 'Short passing': '63', 'Volleys': '36'}, 'Skills': {'Dribbling': '68', 'Curve': '52', 'FK Accuracy': '39', 'Long passing': '53', 'Ball control': '70'}, 'Movement': {'Acceleration': '76', 'Sprint speed': '75', 'Agility': '76', 'Reactions': '76', 'Balance': '74'}, 'Power': {'Shot power': '40', 'Jumping': '69', 'Stamina': '74', 'Strength': '63', 'Long shots': '38'}, 'Mentality': {'Aggression': '74', 'Interceptions': '78', 'Att. Position': '59', 'Vision': '59', 'Penalties': '45', 'Composure': '61'}, 'Defending': {'Defensive awareness': '77', 'Standing tackle': '80', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '12', 'GK Kicking': '14', 'GK Positioning': '8', 'GK Reflexes': '14'}}"
will-hughes,"{'Attacking': {'Crossing': '76', 'Finishing': '65', 'Heading accuracy': '58', 'Short passing': '80', 'Volleys': '50'}, 'Skills': {'Dribbling': '75', 'Curve': '67', 'FK Accuracy': '62', 'Long passing': '76', 'Ball control': '78'}, 'Movement': {'Acceleration': '64', 'Sprint speed': '34', 'Agility': '63', 'Reactions': '75', 'Balance': '62'}, 'Power': {'Shot power': '60', 'Jumping': '63', 'Stamina': '60', 'Strength': '58', 'Long shots': '62'}, 'Mentality': {'Aggression': '70', 'Interceptions': '65', 'Att. Position': '72', 'Vision': '78', 'Penalties': '66', 'Composure': '79'}, 'Defending': {'Defensive awareness': '69', 'Standing tackle': '71', 'Sliding tackle': '69'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '15', 'GK Kicking': '12', 'GK Positioning': '9', 'GK Reflexes': '12'}}"
jefferson-lerma,"{'Attacking': {'Crossing': '64', 'Finishing': '62', 'Heading accuracy': '69', 'Short passing': '75', 'Volleys': '56'}, 'Skills': {'Dribbling': '70', 'Curve': '66', 'FK Accuracy': '65', 'Long passing': '70', 'Ball control': '76'}, 'Movement': {'Acceleration': '67', 'Sprint speed': '69', 'Agility': '67', 'Reactions': '74', 'Balance': '74'}, 'Power': {'Shot power': '80', 'Jumping': '76', 'Stamina': '81', 'Strength': '75', 'Long shots': '73'}, 'Mentality': {'Aggression': '88', 'Interceptions': '82', 'Att. Position': '63', 'Vision': '58', 'Penalties': '58', 'Composure': '73'}, 'Defending': {'Defensive awareness': '74', 'Standing tackle': '75', 'Sliding tackle': '75'}, 'Goalkeeping': {'GK Diving': '16', 'GK Handling': '14', 'GK Kicking': '11', 'GK Positioning': '7', 'GK Reflexes': '9'}}"
jordan-ayew,"{'Attacking': {'Crossing': '72', 'Finishing': '71', 'Heading accuracy': '73', 'Short passing': '73', 'Volleys': '71'}, 'Skills': {'Dribbling': '78', 'Curve': '73', 'FK Accuracy': '67', 'Long passing': '54', 'Ball control': '77'}, 'Movement': {'Acceleration': '73', 'Sprint speed': '74', 'Agility': '78', 'Reactions': '75', 'Balance': '72'}, 'Power': {'Shot power': '75', 'Jumping': '82', 'Stamina': '73', 'Strength': '72', 'Long shots': '70'}, 'Mentality': {'Aggression': '74', 'Interceptions': '50', 'Att. Position': '74', 'Vision': '72', 'Penalties': '73', 'Composure': '69'}, 'Defending': {'Defensive awareness': '51', 'Standing tackle': '58', 'Sliding tackle': '47'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '8', 'GK Kicking': '7', 'GK Positioning': '16', 'GK Reflexes': '8'}}"
jeffrey-schlupp,"{'Attacking': {'Crossing': '66', 'Finishing': '69', 'Heading accuracy': '61', 'Short passing': '74', 'Volleys': '66'}, 'Skills': {'Dribbling': '77', 'Curve': '62', 'FK Accuracy': '48', 'Long passing': '70', 'Ball control': '75'}, 'Movement': {'Acceleration': '83', 'Sprint speed': '82', 'Agility': '73', 'Reactions': '78', 'Balance': '75'}, 'Power': {'Shot power': '78', 'Jumping': '80', 'Stamina': '77', 'Strength': '73', 'Long shots': '68'}, 'Mentality': {'Aggression': '75', 'Interceptions': '74', 'Att. Position': '75', 'Vision': '72', 'Penalties': '67', 'Composure': '69'}, 'Defending': {'Defensive awareness': '74', 'Standing tackle': '77', 'Sliding tackle': '75'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '7', 'GK Kicking': '8', 'GK Positioning': '10', 'GK Reflexes': '9'}}"
eberechi-eze,"{'Attacking': {'Crossing': '72', 'Finishing': '79', 'Heading accuracy': '49', 'Short passing': '81', 'Volleys': '69'}, 'Skills': {'Dribbling': '84', 'Curve': '78', 'FK Accuracy': '76', 'Long passing': '75', 'Ball control': '82'}, 'Movement': {'Acceleration': '77', 'Sprint speed': '77', 'Agility': '82', 'Reactions': '78', 'Balance': '79'}, 'Power': {'Shot power': '73', 'Jumping': '68', 'Stamina': '74', 'Strength': '68', 'Long shots': '76'}, 'Mentality': {'Aggression': '58', 'Interceptions': '52', 'Att. Position': '77', 'Vision': '80', 'Penalties': '77', 'Composure': '81'}, 'Defending': {'Defensive awareness': '40', 'Standing tackle': '58', 'Sliding tackle': '42'}, 'Goalkeeping': {'GK Diving': '10', 'GK Handling': '12', 'GK Kicking': '9', 'GK Positioning': '14', 'GK Reflexes': '10'}}"
