Player,PlayerData
jordan-pickford,"{'Attacking': {'Crossing': '17', 'Finishing': '19', 'Heading accuracy': '15', 'Short passing': '58', 'Volleys': '20'}, 'Skills': {'Dribbling': '14', 'Curve': '18', 'FK Accuracy': '16', 'Long passing': '60', 'Ball control': '40'}, 'Movement': {'Acceleration': '56', 'Sprint speed': '44', 'Agility': '57', 'Reactions': '77', 'Balance': '55'}, 'Power': {'Shot power': '65', 'Jumping': '73', 'Stamina': '42', 'Strength': '72', 'Long shots': '13'}, 'Mentality': {'Aggression': '45', 'Interceptions': '24', 'Att. Position': '18', 'Vision': '69', 'Penalties': '45', 'Composure': '65'}, 'Defending': {'Defensive awareness': '21', 'Standing tackle': '20', 'Sliding tackle': '12'}, 'Goalkeeping': {'GK Diving': '83', 'GK Handling': '77', 'GK Kicking': '87', 'GK Positioning': '80', 'GK Reflexes': '87'}}"
ashley-young,"{'Attacking': {'Crossing': '77', 'Finishing': '60', 'Heading accuracy': '72', 'Short passing': '77', 'Volleys': '74'}, 'Skills': {'Dribbling': '74', 'Curve': '82', 'FK Accuracy': '75', 'Long passing': '70', 'Ball control': '76'}, 'Movement': {'Acceleration': '67', 'Sprint speed': '63', 'Agility': '69', 'Reactions': '74', 'Balance': '76'}, 'Power': {'Shot power': '71', 'Jumping': '76', 'Stamina': '68', 'Strength': '68', 'Long shots': '64'}, 'Mentality': {'Aggression': '83', 'Interceptions': '75', 'Att. Position': '72', 'Vision': '73', 'Penalties': '60', 'Composure': '77'}, 'Defending': {'Defensive awareness': '71', 'Standing tackle': '74', 'Sliding tackle': '72'}, 'Goalkeeping': {'GK Diving': '16', 'GK Handling': '10', 'GK Kicking': '15', 'GK Positioning': '16', 'GK Reflexes': '15'}}"
james-tarkowski,"{'Attacking': {'Crossing': '59', 'Finishing': '40', 'Heading accuracy': '82', 'Short passing': '66', 'Volleys': '40'}, 'Skills': {'Dribbling': '55', 'Curve': '54', 'FK Accuracy': '53', 'Long passing': '73', 'Ball control': '64'}, 'Movement': {'Acceleration': '49', 'Sprint speed': '59', 'Agility': '55', 'Reactions': '78', 'Balance': '53'}, 'Power': {'Shot power': '63', 'Jumping': '82', 'Stamina': '68', 'Strength': '84', 'Long shots': '38'}, 'Mentality': {'Aggression': '82', 'Interceptions': '78', 'Att. Position': '43', 'Vision': '62', 'Penalties': '52', 'Composure': '76'}, 'Defending': {'Defensive awareness': '81', 'Standing tackle': '83', 'Sliding tackle': '81'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '8', 'GK Kicking': '12', 'GK Positioning': '9', 'GK Reflexes': '7'}}"
jarrad-branthwaite,"{'Attacking': {'Crossing': '34', 'Finishing': '30', 'Heading accuracy': '75', 'Short passing': '71', 'Volleys': '32'}, 'Skills': {'Dribbling': '49', 'Curve': '26', 'FK Accuracy': '24', 'Long passing': '59', 'Ball control': '64'}, 'Movement': {'Acceleration': '65', 'Sprint speed': '74', 'Agility': '44', 'Reactions': '70', 'Balance': '51'}, 'Power': {'Shot power': '51', 'Jumping': '81', 'Stamina': '70', 'Strength': '76', 'Long shots': '27'}, 'Mentality': {'Aggression': '70', 'Interceptions': '73', 'Att. Position': '26', 'Vision': '29', 'Penalties': '33', 'Composure': '69'}, 'Defending': {'Defensive awareness': '75', 'Standing tackle': '79', 'Sliding tackle': '75'}, 'Goalkeeping': {'GK Diving': '10', 'GK Handling': '9', 'GK Kicking': '11', 'GK Positioning': '12', 'GK Reflexes': '10'}}"
vitaliy-mykolenko,"{'Attacking': {'Crossing': '76', 'Finishing': '42', 'Heading accuracy': '65', 'Short passing': '72', 'Volleys': '41'}, 'Skills': {'Dribbling': '54', 'Curve': '60', 'FK Accuracy': '32', 'Long passing': '55', 'Ball control': '66'}, 'Movement': {'Acceleration': '75', 'Sprint speed': '77', 'Agility': '69', 'Reactions': '72', 'Balance': '68'}, 'Power': {'Shot power': '47', 'Jumping': '70', 'Stamina': '72', 'Strength': '57', 'Long shots': '53'}, 'Mentality': {'Aggression': '59', 'Interceptions': '70', 'Att. Position': '41', 'Vision': '52', 'Penalties': '35', 'Composure': '59'}, 'Defending': {'Defensive awareness': '74', 'Standing tackle': '75', 'Sliding tackle': '77'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '8', 'GK Kicking': '14', 'GK Positioning': '9', 'GK Reflexes': '14'}}"
jack-harrison,"{'Attacking': {'Crossing': '76', 'Finishing': '69', 'Heading accuracy': '45', 'Short passing': '73', 'Volleys': '62'}, 'Skills': {'Dribbling': '80', 'Curve': '72', 'FK Accuracy': '56', 'Long passing': '54', 'Ball control': '77'}, 'Movement': {'Acceleration': '82', 'Sprint speed': '78', 'Agility': '81', 'Reactions': '74', 'Balance': '80'}, 'Power': {'Shot power': '78', 'Jumping': '68', 'Stamina': '82', 'Strength': '64', 'Long shots': '69'}, 'Mentality': {'Aggression': '65', 'Interceptions': '44', 'Att. Position': '75', 'Vision': '75', 'Penalties': '64', 'Composure': '73'}, 'Defending': {'Defensive awareness': '60', 'Standing tackle': '43', 'Sliding tackle': '44'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '8', 'GK Kicking': '10', 'GK Positioning': '6', 'GK Reflexes': '11'}}"
idrissa-gueye,"{'Attacking': {'Crossing': '60', 'Finishing': '54', 'Heading accuracy': '69', 'Short passing': '73', 'Volleys': '33'}, 'Skills': {'Dribbling': '68', 'Curve': '60', 'FK Accuracy': '66', 'Long passing': '67', 'Ball control': '73'}, 'Movement': {'Acceleration': '66', 'Sprint speed': '56', 'Agility': '77', 'Reactions': '74', 'Balance': '76'}, 'Power': {'Shot power': '77', 'Jumping': '68', 'Stamina': '77', 'Strength': '58', 'Long shots': '65'}, 'Mentality': {'Aggression': '82', 'Interceptions': '84', 'Att. Position': '51', 'Vision': '60', 'Penalties': '55', 'Composure': '72'}, 'Defending': {'Defensive awareness': '76', 'Standing tackle': '80', 'Sliding tackle': '77'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '6', 'GK Kicking': '8', 'GK Positioning': '12', 'GK Reflexes': '13'}}"
amadou-onana,"{'Attacking': {'Crossing': '61', 'Finishing': '57', 'Heading accuracy': '69', 'Short passing': '76', 'Volleys': '51'}, 'Skills': {'Dribbling': '72', 'Curve': '58', 'FK Accuracy': '42', 'Long passing': '75', 'Ball control': '74'}, 'Movement': {'Acceleration': '66', 'Sprint speed': '78', 'Agility': '63', 'Reactions': '74', 'Balance': '50'}, 'Power': {'Shot power': '72', 'Jumping': '79', 'Stamina': '76', 'Strength': '81', 'Long shots': '58'}, 'Mentality': {'Aggression': '78', 'Interceptions': '75', 'Att. Position': '65', 'Vision': '70', 'Penalties': '40', 'Composure': '70'}, 'Defending': {'Defensive awareness': '73', 'Standing tackle': '76', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '12', 'GK Kicking': '12', 'GK Positioning': '9', 'GK Reflexes': '10'}}"
dwight-mcneil,"{'Attacking': {'Crossing': '77', 'Finishing': '66', 'Heading accuracy': '59', 'Short passing': '76', 'Volleys': '57'}, 'Skills': {'Dribbling': '80', 'Curve': '77', 'FK Accuracy': '74', 'Long passing': '71', 'Ball control': '79'}, 'Movement': {'Acceleration': '70', 'Sprint speed': '67', 'Agility': '75', 'Reactions': '75', 'Balance': '72'}, 'Power': {'Shot power': '68', 'Jumping': '68', 'Stamina': '77', 'Strength': '64', 'Long shots': '66'}, 'Mentality': {'Aggression': '57', 'Interceptions': '46', 'Att. Position': '73', 'Vision': '75', 'Penalties': '62', 'Composure': '76'}, 'Defending': {'Defensive awareness': '57', 'Standing tackle': '57', 'Sliding tackle': '48'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '14', 'GK Kicking': '14', 'GK Positioning': '12', 'GK Reflexes': '14'}}"
abdoulaye-doucoure,"{'Attacking': {'Crossing': '66', 'Finishing': '78', 'Heading accuracy': '69', 'Short passing': '77', 'Volleys': '78'}, 'Skills': {'Dribbling': '77', 'Curve': '62', 'FK Accuracy': '54', 'Long passing': '74', 'Ball control': '80'}, 'Movement': {'Acceleration': '65', 'Sprint speed': '67', 'Agility': '61', 'Reactions': '79', 'Balance': '63'}, 'Power': {'Shot power': '84', 'Jumping': '79', 'Stamina': '82', 'Strength': '82', 'Long shots': '78'}, 'Mentality': {'Aggression': '77', 'Interceptions': '79', 'Att. Position': '79', 'Vision': '74', 'Penalties': '54', 'Composure': '78'}, 'Defending': {'Defensive awareness': '75', 'Standing tackle': '79', 'Sliding tackle': '74'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '12', 'GK Kicking': '12', 'GK Positioning': '15', 'GK Reflexes': '14'}}"
