Player,PlayerData
bernd-leno,"{'Attacking': {'Crossing': '9', 'Finishing': '9', 'Heading accuracy': '13', 'Short passing': '50', 'Volleys': '10'}, 'Skills': {'Dribbling': '16', 'Curve': '9', 'FK Accuracy': '8', 'Long passing': '48', 'Ball control': '35'}, 'Movement': {'Acceleration': '55', 'Sprint speed': '52', 'Agility': '52', 'Reactions': '75', 'Balance': '44'}, 'Power': {'Shot power': '56', 'Jumping': '71', 'Stamina': '44', 'Strength': '70', 'Long shots': '14'}, 'Mentality': {'Aggression': '28', 'Interceptions': '25', 'Att. Position': '7', 'Vision': '58', 'Penalties': '23', 'Composure': '63'}, 'Defending': {'Defensive awareness': '27', 'Standing tackle': '15', 'Sliding tackle': '18'}, 'Goalkeeping': {'GK Diving': '83', 'GK Handling': '79', 'GK Kicking': '75', 'GK Positioning': '82', 'GK Reflexes': '85'}}"
timothy-castagne,"{'Attacking': {'Crossing': '77', 'Finishing': '56', 'Heading accuracy': '69', 'Short passing': '75', 'Volleys': '40'}, 'Skills': {'Dribbling': '76', 'Curve': '58', 'FK Accuracy': '33', 'Long passing': '70', 'Ball control': '77'}, 'Movement': {'Acceleration': '71', 'Sprint speed': '75', 'Agility': '68', 'Reactions': '77', 'Balance': '65'}, 'Power': {'Shot power': '62', 'Jumping': '74', 'Stamina': '79', 'Strength': '66', 'Long shots': '52'}, 'Mentality': {'Aggression': '75', 'Interceptions': '77', 'Att. Position': '76', 'Vision': '69', 'Penalties': '47', 'Composure': '68'}, 'Defending': {'Defensive awareness': '75', 'Standing tackle': '74', 'Sliding tackle': '72'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '9', 'GK Kicking': '15', 'GK Positioning': '10', 'GK Reflexes': '15'}}"
calvin-bassey,"{'Attacking': {'Crossing': '68', 'Finishing': '36', 'Heading accuracy': '72', 'Short passing': '66', 'Volleys': '49'}, 'Skills': {'Dribbling': '66', 'Curve': '63', 'FK Accuracy': '37', 'Long passing': '60', 'Ball control': '64'}, 'Movement': {'Acceleration': '78', 'Sprint speed': '87', 'Agility': '70', 'Reactions': '66', 'Balance': '78'}, 'Power': {'Shot power': '64', 'Jumping': '83', 'Stamina': '89', 'Strength': '88', 'Long shots': '36'}, 'Mentality': {'Aggression': '76', 'Interceptions': '71', 'Att. Position': '57', 'Vision': '55', 'Penalties': '44', 'Composure': '62'}, 'Defending': {'Defensive awareness': '70', 'Standing tackle': '76', 'Sliding tackle': '73'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '7', 'GK Kicking': '5', 'GK Positioning': '8', 'GK Reflexes': '7'}}"
tim-ream,"{'Attacking': {'Crossing': '62', 'Finishing': '41', 'Heading accuracy': '72', 'Short passing': '75', 'Volleys': '52'}, 'Skills': {'Dribbling': '67', 'Curve': '66', 'FK Accuracy': '53', 'Long passing': '71', 'Ball control': '71'}, 'Movement': {'Acceleration': '51', 'Sprint speed': '52', 'Agility': '64', 'Reactions': '66', 'Balance': '63'}, 'Power': {'Shot power': '53', 'Jumping': '73', 'Stamina': '67', 'Strength': '73', 'Long shots': '41'}, 'Mentality': {'Aggression': '67', 'Interceptions': '78', 'Att. Position': '41', 'Vision': '71', 'Penalties': '50', 'Composure': '82'}, 'Defending': {'Defensive awareness': '79', 'Standing tackle': '75', 'Sliding tackle': '72'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '14', 'GK Kicking': '15', 'GK Positioning': '8', 'GK Reflexes': '10'}}"
antonee-robinson,"{'Attacking': {'Crossing': '73', 'Finishing': '44', 'Heading accuracy': '56', 'Short passing': '72', 'Volleys': '45'}, 'Skills': {'Dribbling': '79', 'Curve': '61', 'FK Accuracy': '39', 'Long passing': '72', 'Ball control': '73'}, 'Movement': {'Acceleration': '85', 'Sprint speed': '88', 'Agility': '79', 'Reactions': '73', 'Balance': '71'}, 'Power': {'Shot power': '46', 'Jumping': '78', 'Stamina': '79', 'Strength': '72', 'Long shots': '43'}, 'Mentality': {'Aggression': '80', 'Interceptions': '73', 'Att. Position': '65', 'Vision': '63', 'Penalties': '45', 'Composure': '67'}, 'Defending': {'Defensive awareness': '66', 'Standing tackle': '75', 'Sliding tackle': '72'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '9', 'GK Kicking': '15', 'GK Positioning': '14', 'GK Reflexes': '9'}}"
alex-iwobi,"{'Attacking': {'Crossing': '70', 'Finishing': '60', 'Heading accuracy': '45', 'Short passing': '77', 'Volleys': '51'}, 'Skills': {'Dribbling': '81', 'Curve': '72', 'FK Accuracy': '40', 'Long passing': '74', 'Ball control': '78'}, 'Movement': {'Acceleration': '73', 'Sprint speed': '75', 'Agility': '73', 'Reactions': '74', 'Balance': '70'}, 'Power': {'Shot power': '72', 'Jumping': '67', 'Stamina': '90', 'Strength': '72', 'Long shots': '65'}, 'Mentality': {'Aggression': '59', 'Interceptions': '59', 'Att. Position': '73', 'Vision': '75', 'Penalties': '59', 'Composure': '76'}, 'Defending': {'Defensive awareness': '52', 'Standing tackle': '62', 'Sliding tackle': '50'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '7', 'GK Kicking': '12', 'GK Positioning': '14', 'GK Reflexes': '11'}}"
joao-maria-palhinha-goncalves,"{'Attacking': {'Crossing': '60', 'Finishing': '66', 'Heading accuracy': '79', 'Short passing': '79', 'Volleys': '55'}, 'Skills': {'Dribbling': '77', 'Curve': '66', 'FK Accuracy': '45', 'Long passing': '80', 'Ball control': '81'}, 'Movement': {'Acceleration': '59', 'Sprint speed': '67', 'Agility': '64', 'Reactions': '80', 'Balance': '52'}, 'Power': {'Shot power': '81', 'Jumping': '84', 'Stamina': '88', 'Strength': '90', 'Long shots': '66'}, 'Mentality': {'Aggression': '95', 'Interceptions': '83', 'Att. Position': '69', 'Vision': '72', 'Penalties': '57', 'Composure': '84'}, 'Defending': {'Defensive awareness': '84', 'Standing tackle': '88', 'Sliding tackle': '87'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '10', 'GK Kicking': '8', 'GK Positioning': '7', 'GK Reflexes': '7'}}"
harry-wilson,"{'Attacking': {'Crossing': '77', 'Finishing': '74', 'Heading accuracy': '46', 'Short passing': '75', 'Volleys': '74'}, 'Skills': {'Dribbling': '74', 'Curve': '86', 'FK Accuracy': '85', 'Long passing': '68', 'Ball control': '76'}, 'Movement': {'Acceleration': '76', 'Sprint speed': '71', 'Agility': '78', 'Reactions': '73', 'Balance': '84'}, 'Power': {'Shot power': '83', 'Jumping': '62', 'Stamina': '71', 'Strength': '56', 'Long shots': '81'}, 'Mentality': {'Aggression': '45', 'Interceptions': '40', 'Att. Position': '74', 'Vision': '75', 'Penalties': '78', 'Composure': '76'}, 'Defending': {'Defensive awareness': '44', 'Standing tackle': '45', 'Sliding tackle': '40'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '13', 'GK Kicking': '9', 'GK Positioning': '15', 'GK Reflexes': '7'}}"
willian-borges-da-silva,"{'Attacking': {'Crossing': '75', 'Finishing': '75', 'Heading accuracy': '31', 'Short passing': '78', 'Volleys': '59'}, 'Skills': {'Dribbling': '82', 'Curve': '83', 'FK Accuracy': '82', 'Long passing': '71', 'Ball control': '79'}, 'Movement': {'Acceleration': '76', 'Sprint speed': '68', 'Agility': '82', 'Reactions': '75', 'Balance': '78'}, 'Power': {'Shot power': '82', 'Jumping': '56', 'Stamina': '60', 'Strength': '56', 'Long shots': '78'}, 'Mentality': {'Aggression': '45', 'Interceptions': '55', 'Att. Position': '77', 'Vision': '79', 'Penalties': '79', 'Composure': '84'}, 'Defending': {'Defensive awareness': '43', 'Standing tackle': '55', 'Sliding tackle': '50'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '12', 'GK Kicking': '13', 'GK Positioning': '7', 'GK Reflexes': '13'}}"
andreas-hugo-hoelgebaum-pereira,"{'Attacking': {'Crossing': '82', 'Finishing': '70', 'Heading accuracy': '56', '+3': '79', 'Volleys': '72'}, 'Skills': {'Dribbling': '79', 'Curve': '84', 'FK Accuracy': '81', 'Long passing': '76', 'Ball control': '78'}, 'Movement': {'Acceleration': '77', 'Sprint speed': '75', 'Agility': '77', 'Reactions': '75', 'Balance': '77'}, 'Power': {'Shot power': '84', 'Jumping': '70', 'Stamina': '78', 'Strength': '60', 'Long shots': '79'}, 'Mentality': {'Aggression': '80', 'Interceptions': '70', 'Att. Position': '75', '+2': '80', 'Penalties': '74', 'Composure': '71'}, 'Defending': {'Defensive awareness': '67', 'Standing tackle': '66', 'Sliding tackle': '63'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '14', 'GK Kicking': '7', 'GK Positioning': '10', 'GK Reflexes': '7'}}"
