Player,PlayerData
alisson-ramses-becker,"{'Attacking': {'Crossing': '17', 'Finishing': '13', 'Heading accuracy': '29', 'Short passing': '60', 'Volleys': '20'}, 'Skills': {'Dribbling': '27', 'Curve': '19', 'FK Accuracy': '18', 'Long passing': '58', 'Ball control': '42'}, 'Movement': {'Acceleration': '60', 'Sprint speed': '49', 'Agility': '40', 'Reactions': '87', 'Balance': '37'}, 'Power': {'Shot power': '64', 'Jumping': '82', 'Stamina': '32', 'Strength': '78', 'Long shots': '14'}, 'Mentality': {'Aggression': '27', 'Interceptions': '11', 'Att. Position': '13', 'Vision': '66', 'Penalties': '23', 'Composure': '66'}, 'Defending': {'Defensive awareness': '15', 'Standing tackle': '19', 'Sliding tackle': '16'}, 'Goalkeeping': {'GK Diving': '86', 'GK Handling': '85', 'GK Kicking': '85', 'GK Positioning': '90', 'GK Reflexes': '89'}}"
trent-alexander-arnold,"{'Attacking': {'Crossing': '93', '+2': '64', 'Heading accuracy': '69', 'Short passing': '89', 'Volleys': '63'}, 'Skills': {'Dribbling': '78', 'Curve': '87', 'FK Accuracy': '85', 'Long passing': '92', 'Ball control': '84'}, 'Movement': {'Acceleration': '73', 'Sprint speed': '79', 'Agility': '72', 'Reactions': '84', 'Balance': '72'}, 'Power': {'+2': '84', 'Jumping': '75', 'Stamina': '89', 'Strength': '68', '+1': '76'}, 'Mentality': {'Aggression': '69', 'Interceptions': '84', 'Att. Position': '78', 'Vision': '90', 'Penalties': '55', 'Composure': '82'}, 'Defending': {'Defensive awareness': '78', 'Standing tackle': '82', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '15', 'GK Kicking': '14', 'GK Positioning': '6', 'GK Reflexes': '7'}}"
ibrahima-konate,"{'Attacking': {'Crossing': '38', 'Finishing': '29', 'Heading accuracy': '78', 'Short passing': '75', 'Volleys': '28'}, 'Skills': {'Dribbling': '68', 'Curve': '32', 'FK Accuracy': '27', 'Long passing': '69', 'Ball control': '71'}, 'Movement': {'Acceleration': '69', 'Sprint speed': '85', 'Agility': '60', 'Reactions': '79', 'Balance': '52'}, 'Power': {'Shot power': '45', 'Jumping': '81', 'Stamina': '68', 'Strength': '90', 'Long shots': '31'}, 'Mentality': {'Aggression': '82', 'Interceptions': '81', 'Att. Position': '37', 'Vision': '51', 'Penalties': '41', 'Composure': '76'}, 'Defending': {'Defensive awareness': '80', 'Standing tackle': '85', 'Sliding tackle': '81'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '7', 'GK Kicking': '9', 'GK Positioning': '9', 'GK Reflexes': '15'}}"
virgil-van-dijk,"{'Attacking': {'Crossing': '53', 'Finishing': '52', 'Heading accuracy': '86', 'Short passing': '79', 'Volleys': '45'}, 'Skills': {'Dribbling': '70', 'Curve': '60', 'FK Accuracy': '70', 'Long passing': '86', 'Ball control': '76'}, 'Movement': {'Acceleration': '66', 'Sprint speed': '87', 'Agility': '59', 'Reactions': '88', 'Balance': '50'}, 'Power': {'Shot power': '81', 'Jumping': '89', 'Stamina': '72', 'Strength': '93', 'Long shots': '64'}, 'Mentality': {'Aggression': '85', 'Interceptions': '88', 'Att. Position': '47', 'Vision': '65', 'Penalties': '62', 'Composure': '89'}, 'Defending': {'Defensive awareness': '90', 'Standing tackle': '91', 'Sliding tackle': '86'}, 'Goalkeeping': {'GK Diving': '13', 'GK Handling': '10', 'GK Kicking': '13', 'GK Positioning': '11', 'GK Reflexes': '11'}}"
andrew-robertson,"{'Attacking': {'Crossing': '87', 'Finishing': '55', 'Heading accuracy': '67', 'Short passing': '82', 'Volleys': '32'}, 'Skills': {'Dribbling': '79', 'Curve': '82', 'FK Accuracy': '71', 'Long passing': '76', 'Ball control': '83'}, 'Movement': {'Acceleration': '82', 'Sprint speed': '78', 'Agility': '75', 'Reactions': '85', 'Balance': '74'}, 'Power': {'Shot power': '76', 'Jumping': '77', 'Stamina': '95', 'Strength': '67', 'Long shots': '65'}, 'Mentality': {'Aggression': '85', 'Interceptions': '83', 'Att. Position': '80', 'Vision': '82', 'Penalties': '55', 'Composure': '83'}, 'Defending': {'Defensive awareness': '82', 'Standing tackle': '83', 'Sliding tackle': '81'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '8', 'GK Kicking': '10', 'GK Positioning': '7', 'GK Reflexes': '14'}}"
alexis-mac-allister,"{'Attacking': {'Crossing': '79', 'Finishing': '79', 'Heading accuracy': '61', 'Short passing': '84', 'Volleys': '74'}, 'Skills': {'Dribbling': '84', 'Curve': '83', 'FK Accuracy': '82', 'Long passing': '81', 'Ball control': '83'}, 'Movement': {'Acceleration': '73', 'Sprint speed': '67', 'Agility': '79', 'Reactions': '82', 'Balance': '80'}, 'Power': {'Shot power': '78', 'Jumping': '73', 'Stamina': '86', 'Strength': '69', 'Long shots': '82'}, 'Mentality': {'Aggression': '70', 'Interceptions': '71', 'Att. Position': '79', 'Vision': '84', 'Penalties': '81', 'Composure': '83'}, 'Defending': {'Defensive awareness': '75', 'Standing tackle': '76', 'Sliding tackle': '69'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '10', 'GK Kicking': '14', 'GK Positioning': '15', 'GK Reflexes': '10'}}"
dominik-szoboszlai,"{'Attacking': {'Crossing': '85', 'Finishing': '77', 'Heading accuracy': '58', 'Short passing': '83', 'Volleys': '85'}, 'Skills': {'Dribbling': '83', 'Curve': '90', 'FK Accuracy': '87', 'Long passing': '81', 'Ball control': '83'}, 'Movement': {'Acceleration': '78', 'Sprint speed': '87', 'Agility': '80', 'Reactions': '80', 'Balance': '68'}, 'Power': {'Shot power': '89', 'Jumping': '73', 'Stamina': '74', 'Strength': '67', 'Long shots': '87'}, 'Mentality': {'+7': '62', 'Interceptions': '47', 'Att. Position': '79', 'Vision': '84', 'Penalties': '79', 'Composure': '82'}, 'Defending': {'Defensive awareness': '50', '+11': '51'}, 'Goalkeeping': {'GK Diving': '10', 'GK Handling': '10', 'GK Kicking': '13', 'GK Positioning': '10', 'GK Reflexes': '6'}}"
curtis-jones,"{'Attacking': {'Crossing': '65', 'Finishing': '65', 'Heading accuracy': '50', 'Short passing': '80', 'Volleys': '60'}, 'Skills': {'Dribbling': '80', 'Curve': '68', 'FK Accuracy': '51', 'Long passing': '76', 'Ball control': '81'}, 'Movement': {'Acceleration': '68', 'Sprint speed': '70', 'Agility': '76', 'Reactions': '77', 'Balance': '75'}, 'Power': {'Shot power': '74', 'Jumping': '67', 'Stamina': '79', 'Strength': '72', 'Long shots': '73'}, 'Mentality': {'Aggression': '73', 'Interceptions': '71', 'Att. Position': '74', 'Vision': '76', 'Penalties': '60', 'Composure': '82'}, 'Defending': {'Defensive awareness': '69', 'Standing tackle': '75', 'Sliding tackle': '66'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '13', 'GK Kicking': '7', 'GK Positioning': '11', 'GK Reflexes': '7'}}"
mohamed-salah,"{'Attacking': {'Crossing': '80', 'Finishing': '92', 'Heading accuracy': '59', 'Short passing': '85', 'Volleys': '83'}, 'Skills': {'Dribbling': '88', 'Curve': '84', 'FK Accuracy': '69', 'Long passing': '77', 'Ball control': '86'}, 'Movement': {'Acceleration': '89', 'Sprint speed': '89', 'Agility': '89', 'Reactions': '93', 'Balance': '91'}, 'Power': {'Shot power': '82', 'Jumping': '81', 'Stamina': '87', 'Strength': '77', 'Long shots': '84'}, 'Mentality': {'Aggression': '63', 'Interceptions': '55', 'Att. Position': '92', 'Vision': '85', 'Penalties': '81', 'Composure': '90'}, 'Defending': {'Defensive awareness': '38', 'Standing tackle': '43', 'Sliding tackle': '41'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '14', 'GK Kicking': '9', 'GK Positioning': '11', 'GK Reflexes': '14'}}"
darwin-nunez,"{'Attacking': {'Crossing': '68', 'Finishing': '81', 'Heading accuracy': '79', 'Short passing': '73', 'Volleys': '78'}, 'Skills': {'Dribbling': '79', 'Curve': '75', 'FK Accuracy': '61', 'Long passing': '68', 'Ball control': '77'}, 'Movement': {'Acceleration': '88', 'Sprint speed': '92', 'Agility': '78', 'Reactions': '84', 'Balance': '66'}, 'Power': {'Shot power': '85', 'Jumping': '94', 'Stamina': '88', 'Strength': '85', 'Long shots': '75'}, 'Mentality': {'Aggression': '82', 'Interceptions': '44', 'Att. Position': '86', 'Vision': '77', 'Penalties': '78', 'Composure': '79'}, 'Defending': {'Defensive awareness': '39', 'Standing tackle': '43', 'Sliding tackle': '34'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '10', 'GK Kicking': '12', 'GK Positioning': '10', 'GK Reflexes': '13'}}"
