Player,PlayerData
thomas-kaminski,"{'Attacking': {'Crossing': '18', 'Finishing': '14', 'Heading accuracy': '10', 'Short passing': '40', 'Volleys': '17'}, 'Skills': {'Dribbling': '11', 'Curve': '11', 'FK Accuracy': '17', 'Long passing': '46', 'Ball control': '16'}, 'Movement': {'Acceleration': '47', 'Sprint speed': '45', 'Agility': '59', 'Reactions': '69', 'Balance': '42'}, 'Power': {'Shot power': '52', 'Jumping': '63', 'Stamina': '31', 'Strength': '62', 'Long shots': '15'}, 'Mentality': {'Aggression': '29', 'Interceptions': '17', 'Att. Position': '18', 'Vision': '55', 'Penalties': '24', 'Composure': '47'}, 'Defending': {'Defensive awareness': '17', 'Standing tackle': '11', 'Sliding tackle': '17'}, 'Goalkeeping': {'GK Diving': '72', 'GK Handling': '75', 'GK Kicking': '69', 'GK Positioning': '72', 'GK Reflexes': '76'}}"
issa-kabore,"{'Attacking': {'Crossing': '68', 'Finishing': '36', 'Heading accuracy': '59', 'Short passing': '69', 'Volleys': '22'}, 'Skills': {'Dribbling': '70', 'Curve': '52', 'FK Accuracy': '29', 'Long passing': '60', 'Ball control': '71'}, 'Movement': {'Acceleration': '87', 'Sprint speed': '87', 'Agility': '79', 'Reactions': '74', 'Balance': '72'}, 'Power': {'Shot power': '42', 'Jumping': '80', 'Stamina': '73', 'Strength': '73', 'Long shots': '44'}, 'Mentality': {'Aggression': '76', 'Interceptions': '65', 'Att. Position': '63', 'Vision': '63', 'Penalties': '24', 'Composure': '70'}, 'Defending': {'Defensive awareness': '64', 'Standing tackle': '67', 'Sliding tackle': '72'}, 'Goalkeeping': {'GK Diving': '10', 'GK Handling': '8', 'GK Kicking': '9', 'GK Positioning': '14', 'GK Reflexes': '13'}}"
teden-mengi,"{'Attacking': {'Crossing': '42', 'Finishing': '33', 'Heading accuracy': '70', 'Short passing': '65', 'Volleys': '29'}, 'Skills': {'Dribbling': '59', 'Curve': '46', 'FK Accuracy': '33', 'Long passing': '62', 'Ball control': '61'}, 'Movement': {'Acceleration': '73', 'Sprint speed': '83', 'Agility': '69', 'Reactions': '60', 'Balance': '53'}, 'Power': {'Shot power': '54', 'Jumping': '82', 'Stamina': '60', 'Strength': '79', 'Long shots': '39'}, 'Mentality': {'Aggression': '66', 'Interceptions': '68', 'Att. Position': '41', 'Vision': '53', 'Penalties': '35', 'Composure': '63'}, 'Defending': {'Defensive awareness': '67', 'Standing tackle': '71', 'Sliding tackle': '68'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '8', 'GK Kicking': '11', 'GK Positioning': '5', 'GK Reflexes': '10'}}"
tom-lockyer,"{'Attacking': {'Crossing': '45', 'Finishing': '38', 'Heading accuracy': '73', 'Short passing': '63', 'Volleys': '21'}, 'Skills': {'Dribbling': '55', 'Curve': '44', 'FK Accuracy': '30', 'Long passing': '62', 'Ball control': '63'}, 'Movement': {'Acceleration': '65', 'Sprint speed': '64', 'Agility': '68', 'Reactions': '72', 'Balance': '64'}, 'Power': {'Shot power': '37', 'Jumping': '81', 'Stamina': '77', 'Strength': '80', 'Long shots': '34'}, 'Mentality': {'Aggression': '79', 'Interceptions': '75', 'Att. Position': '38', 'Vision': '49', 'Penalties': '39', 'Composure': '65'}, 'Defending': {'Defensive awareness': '74', 'Standing tackle': '74', 'Sliding tackle': '70'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '13', 'GK Kicking': '14', 'GK Positioning': '9', 'GK Reflexes': '7'}}"
amarii-bell,"{'Attacking': {'Crossing': '66', 'Finishing': '47', 'Heading accuracy': '68', 'Short passing': '65', 'Volleys': '45'}, 'Skills': {'Dribbling': '68', 'Curve': '42', 'FK Accuracy': '45', 'Long passing': '58', 'Ball control': '66'}, 'Movement': {'Acceleration': '77', 'Sprint speed': '77', 'Agility': '63', 'Reactions': '65', 'Balance': '71'}, 'Power': {'Shot power': '55', 'Jumping': '78', 'Stamina': '79', 'Strength': '70', 'Long shots': '49'}, 'Mentality': {'Aggression': '61', 'Interceptions': '69', 'Att. Position': '56', 'Vision': '55', 'Penalties': '51', 'Composure': '60'}, 'Defending': {'Defensive awareness': '69', 'Standing tackle': '70', 'Sliding tackle': '68'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '9', 'GK Kicking': '14', 'GK Positioning': '13', 'GK Reflexes': '12'}}"
alfie-doughty,"{'Attacking': {'Crossing': '75', 'Finishing': '50', 'Heading accuracy': '58', 'Short passing': '69', '+5': '36'}, 'Skills': {'Dribbling': '74', 'Curve': '68', 'FK Accuracy': '70', 'Long passing': '60', 'Ball control': '68'}, 'Movement': {'Acceleration': '84', 'Sprint speed': '82', 'Agility': '64', 'Reactions': '68', 'Balance': '47'}, 'Power': {'+11': '61', 'Jumping': '75', 'Stamina': '79', 'Strength': '63', '+10': '60'}, 'Mentality': {'Aggression': '51', 'Interceptions': '64', 'Att. Position': '67', 'Vision': '67', 'Penalties': '40', 'Composure': '62'}, 'Defending': {'Defensive awareness': '63', 'Standing tackle': '70', 'Sliding tackle': '65'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '10', 'GK Kicking': '11', 'GK Positioning': '11', 'GK Reflexes': '5'}}"
jacob-brown,"{'Attacking': {'Crossing': '65', 'Finishing': '71', 'Heading accuracy': '68', 'Short passing': '65', 'Volleys': '61'}, 'Skills': {'Dribbling': '68', 'Curve': '58', 'FK Accuracy': '47', 'Long passing': '55', 'Ball control': '68'}, 'Movement': {'Acceleration': '74', 'Sprint speed': '75', 'Agility': '74', 'Reactions': '68', 'Balance': '72'}, 'Power': {'Shot power': '72', 'Jumping': '76', 'Stamina': '84', 'Strength': '69', 'Long shots': '65'}, 'Mentality': {'Aggression': '64', 'Interceptions': '44', 'Att. Position': '67', 'Vision': '66', 'Penalties': '58', 'Composure': '67'}, 'Defending': {'Defensive awareness': '42', 'Standing tackle': '50', 'Sliding tackle': '43'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '14', 'GK Kicking': '7', 'GK Positioning': '6', 'GK Reflexes': '14'}}"
ross-barkley,"{'Attacking': {'Crossing': '67', 'Finishing': '68', 'Heading accuracy': '65', 'Short passing': '76', 'Volleys': '62'}, 'Skills': {'Dribbling': '78', 'Curve': '69', 'FK Accuracy': '73', 'Long passing': '75', 'Ball control': '77'}, 'Movement': {'Acceleration': '65', 'Sprint speed': '68', 'Agility': '65', 'Reactions': '73', 'Balance': '61'}, 'Power': {'Shot power': '81', 'Jumping': '75', 'Stamina': '56', 'Strength': '76', 'Long shots': '79'}, 'Mentality': {'Aggression': '71', 'Interceptions': '53', 'Att. Position': '70', 'Vision': '72', 'Penalties': '65', 'Composure': '77'}, 'Defending': {'Defensive awareness': '53', 'Standing tackle': '60', 'Sliding tackle': '51'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '14', 'GK Kicking': '12', 'GK Positioning': '6', 'GK Reflexes': '10'}}"
marvelous-nakamba,"{'Attacking': {'Crossing': '46', 'Finishing': '36', 'Heading accuracy': '60', 'Short passing': '74', 'Volleys': '41'}, 'Skills': {'Dribbling': '70', 'Curve': '45', 'FK Accuracy': '37', 'Long passing': '71', 'Ball control': '69'}, 'Movement': {'Acceleration': '69', 'Sprint speed': '51', 'Agility': '76', 'Reactions': '70', 'Balance': '78'}, 'Power': {'Shot power': '74', 'Jumping': '74', 'Stamina': '73', 'Strength': '75', 'Long shots': '54'}, 'Mentality': {'Aggression': '81', 'Interceptions': '74', 'Att. Position': '55', 'Vision': '62', 'Penalties': '38', 'Composure': '67'}, 'Defending': {'Defensive awareness': '77', 'Standing tackle': '78', 'Sliding tackle': '74'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '15', 'GK Kicking': '10', 'GK Positioning': '15', 'GK Reflexes': '8'}}"
chiedozie-ogbene,"{'Attacking': {'Crossing': '66', 'Finishing': '66', 'Heading accuracy': '62', 'Short passing': '66', 'Volleys': '60'}, 'Skills': {'Dribbling': '75', 'Curve': '57', 'FK Accuracy': '58', 'Long passing': '56', 'Ball control': '70'}, 'Movement': {'Acceleration': '91', 'Sprint speed': '91', 'Agility': '78', 'Reactions': '70', 'Balance': '65'}, 'Power': {'Shot power': '68', 'Jumping': '86', 'Stamina': '82', 'Strength': '78', 'Long shots': '62'}, 'Mentality': {'Aggression': '65', 'Interceptions': '56', 'Att. Position': '68', 'Vision': '65', 'Penalties': '51', 'Composure': '64'}, 'Defending': {'Defensive awareness': '55', 'Standing tackle': '58', 'Sliding tackle': '58'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '5', 'GK Kicking': '11', 'GK Positioning': '12', 'GK Reflexes': '14'}}"
carlton-morris,"{'Attacking': {'Crossing': '48', 'Finishing': '73', 'Heading accuracy': '71', 'Short passing': '60', 'Volleys': '60'}, 'Skills': {'Dribbling': '67', 'Curve': '44', 'FK Accuracy': '48', 'Long passing': '45', 'Ball control': '69'}, 'Movement': {'Acceleration': '74', 'Sprint speed': '76', 'Agility': '66', 'Reactions': '70', 'Balance': '60'}, 'Power': {'Shot power': '75', 'Jumping': '87', 'Stamina': '69', 'Strength': '82', 'Long shots': '68'}, 'Mentality': {'Aggression': '63', 'Interceptions': '39', 'Att. Position': '74', 'Vision': '65', 'Penalties': '64', 'Composure': '68'}, 'Defending': {'Defensive awareness': '28', 'Standing tackle': '25', 'Sliding tackle': '28'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '14', 'GK Kicking': '12', 'GK Positioning': '14', 'GK Reflexes': '12'}}"
elijah-adebayo,"{'Attacking': {'Crossing': '43', 'Finishing': '73', 'Heading accuracy': '72', 'Short passing': '55', 'Volleys': '63'}, 'Skills': {'Dribbling': '69', 'Curve': '54', 'FK Accuracy': '46', 'Long passing': '42', 'Ball control': '71'}, 'Movement': {'Acceleration': '67', 'Sprint speed': '80', 'Agility': '67', 'Reactions': '71', 'Balance': '59'}, 'Power': {'Shot power': '72', 'Jumping': '84', 'Stamina': '77', 'Strength': '85', 'Long shots': '66'}, 'Mentality': {'Aggression': '71', 'Interceptions': '42', 'Att. Position': '74', 'Vision': '55', 'Penalties': '65', 'Composure': '64'}, 'Defending': {'Defensive awareness': '42', 'Standing tackle': '43', 'Sliding tackle': '34'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '11', 'GK Kicking': '9', 'GK Positioning': '11', 'GK Reflexes': '11'}}"
pelly-ruddock-mpanzu,"{'Attacking': {'Crossing': '65', 'Finishing': '60', 'Heading accuracy': '70', 'Short passing': '73', 'Volleys': '52'}, 'Skills': {'Dribbling': '73', 'Curve': '43', 'FK Accuracy': '41', 'Long passing': '68', 'Ball control': '71'}, 'Movement': {'Acceleration': '80', 'Sprint speed': '78', 'Agility': '72', 'Reactions': '70', 'Balance': '82'}, 'Power': {'Shot power': '75', 'Jumping': '87', 'Stamina': '88', 'Strength': '84', 'Long shots': '65'}, 'Mentality': {'Aggression': '68', 'Interceptions': '71', 'Att. Position': '68', 'Vision': '67', 'Penalties': '44', 'Composure': '73'}, 'Defending': {'Defensive awareness': '65', 'Standing tackle': '71', 'Sliding tackle': '68'}, 'Goalkeeping': {'GK Diving': '16', 'GK Handling': '7', 'GK Kicking': '14', 'GK Positioning': '15', 'GK Reflexes': '11'}}"
tahith-chong,"{'Attacking': {'Crossing': '68', 'Finishing': '63', 'Heading accuracy': '53', 'Short passing': '69', 'Volleys': '59'}, 'Skills': {'Dribbling': '73', 'Curve': '68', 'FK Accuracy': '62', 'Long passing': '64', 'Ball control': '71'}, 'Movement': {'Acceleration': '79', 'Sprint speed': '83', 'Agility': '74', 'Reactions': '64', 'Balance': '58'}, 'Power': {'Shot power': '70', 'Jumping': '67', 'Stamina': '69', 'Strength': '59', 'Long shots': '60'}, 'Mentality': {'Aggression': '65', 'Interceptions': '42', 'Att. Position': '67', 'Vision': '68', 'Penalties': '51', 'Composure': '69'}, 'Defending': {'Defensive awareness': '48', 'Standing tackle': '57', 'Sliding tackle': '45'}, 'Goalkeeping': {'GK Diving': '13', 'GK Handling': '7', 'GK Kicking': '14', 'GK Positioning': '8', 'GK Reflexes': '11'}}"
ryan-giles,"{'Attacking': {'Crossing': '80', 'Finishing': '54', 'Heading accuracy': '54', 'Short passing': '73', 'Volleys': '41'}, 'Skills': {'Dribbling': '70', 'Curve': '81', 'FK Accuracy': '71', 'Long passing': '66', 'Ball control': '74'}, 'Movement': {'Acceleration': '87', 'Sprint speed': '90', 'Agility': '83', 'Reactions': '72', 'Balance': '77'}, 'Power': {'Shot power': '62', 'Jumping': '63', 'Stamina': '85', 'Strength': '59', 'Long shots': '62'}, 'Mentality': {'Aggression': '55', 'Interceptions': '59', 'Att. Position': '65', 'Vision': '70', 'Penalties': '49', 'Composure': '64'}, 'Defending': {'Defensive awareness': '60', 'Standing tackle': '70', 'Sliding tackle': '62'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '6', 'GK Kicking': '5', 'GK Positioning': '8', 'GK Reflexes': '8'}}"
mads-juel-andersen,"{'Attacking': {'Crossing': '35', 'Finishing': '32', 'Heading accuracy': '70', 'Short passing': '61', 'Volleys': '33'}, 'Skills': {'Dribbling': '43', 'Curve': '34', 'FK Accuracy': '28', 'Long passing': '56', 'Ball control': '58'}, 'Movement': {'Acceleration': '52', 'Sprint speed': '42', 'Agility': '43', 'Reactions': '69', 'Balance': '43'}, 'Power': {'Shot power': '45', 'Jumping': '77', 'Stamina': '72', 'Strength': '88', 'Long shots': '30'}, 'Mentality': {'Aggression': '80', 'Interceptions': '71', 'Att. Position': '30', 'Vision': '25', 'Penalties': '37', 'Composure': '62'}, 'Defending': {'Defensive awareness': '70', 'Standing tackle': '71', 'Sliding tackle': '69'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '13', 'GK Kicking': '14', 'GK Positioning': '9', 'GK Reflexes': '15'}}"
gabriel-osho,"{'Attacking': {'Crossing': '56', 'Finishing': '24', 'Heading accuracy': '70', 'Short passing': '65', 'Volleys': '34'}, 'Skills': {'Dribbling': '62', 'Curve': '34', 'FK Accuracy': '24', 'Long passing': '61', 'Ball control': '65'}, 'Movement': {'Acceleration': '70', 'Sprint speed': '73', 'Agility': '60', 'Reactions': '66', 'Balance': '63'}, 'Power': {'Shot power': '42', 'Jumping': '79', 'Stamina': '70', 'Strength': '77', 'Long shots': '21'}, 'Mentality': {'Aggression': '68', 'Interceptions': '68', 'Att. Position': '44', 'Vision': '41', 'Penalties': '46', 'Composure': '59'}, 'Defending': {'Defensive awareness': '70', 'Standing tackle': '71', 'Sliding tackle': '68'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '6', 'GK Kicking': '14', 'GK Positioning': '15', 'GK Reflexes': '6'}}"
