Player,PlayerData
ederson-santana-de-moraes,"{'Attacking': {'Crossing': '20', 'Finishing': '14', 'Heading accuracy': '14', 'Short passing': '61', 'Volleys': '18'}, 'Skills': {'Dribbling': '23', 'Curve': '15', 'FK Accuracy': '20', 'Long passing': '65', 'Ball control': '40'}, 'Movement': {'Acceleration': '64', 'Sprint speed': '63', 'Agility': '60', 'Reactions': '87', 'Balance': '48'}, 'Power': {'Shot power': '68', 'Jumping': '79', 'Stamina': '44', 'Strength': '78', 'Long shots': '18'}, 'Mentality': {'Aggression': '38', 'Interceptions': '27', 'Att. Position': '20', 'Vision': '70', 'Penalties': '51', 'Composure': '70'}, 'Defending': {'Defensive awareness': '29', 'Standing tackle': '15', 'Sliding tackle': '8'}, 'Goalkeeping': {'GK Diving': '86', 'GK Handling': '82', 'GK Kicking': '91', 'GK Positioning': '86', 'GK Reflexes': '86'}}"
kyle-walker,"{'Attacking': {'Crossing': '77', 'Finishing': '51', 'Heading accuracy': '72', 'Short passing': '81', 'Volleys': '57'}, 'Skills': {'Dribbling': '79', 'Curve': '76', 'FK Accuracy': '71', 'Long passing': '81', 'Ball control': '81'}, 'Movement': {'Acceleration': '85', 'Sprint speed': '94', 'Agility': '66', 'Reactions': '85', 'Balance': '69'}, 'Power': {'Shot power': '86', 'Jumping': '87', 'Stamina': '81', 'Strength': '80', 'Long shots': '69'}, 'Mentality': {'Aggression': '84', 'Interceptions': '78', 'Att. Position': '68', 'Vision': '69', 'Penalties': '63', 'Composure': '75'}, 'Defending': {'Defensive awareness': '75', 'Standing tackle': '85', 'Sliding tackle': '83'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '6', 'GK Kicking': '16', 'GK Positioning': '15', 'GK Reflexes': '8'}}"
manuel-akanji,"{'Attacking': {'Crossing': '55', 'Finishing': '38', 'Heading accuracy': '79', 'Short passing': '82', 'Volleys': '42'}, 'Skills': {'Dribbling': '71', 'Curve': '54', 'FK Accuracy': '59', 'Long passing': '80', 'Ball control': '75'}, 'Movement': {'Acceleration': '75', 'Sprint speed': '79', 'Agility': '66', 'Reactions': '82', 'Balance': '67'}, 'Power': {'Shot power': '75', 'Jumping': '87', 'Stamina': '71', 'Strength': '80', 'Long shots': '48'}, 'Mentality': {'Aggression': '77', 'Interceptions': '82', 'Att. Position': '37', 'Vision': '65', 'Penalties': '40', 'Composure': '78'}, 'Defending': {'Defensive awareness': '83', 'Standing tackle': '85', 'Sliding tackle': '82'}, 'Goalkeeping': {'GK Diving': '10', 'GK Handling': '9', 'GK Kicking': '13', 'GK Positioning': '6', 'GK Reflexes': '9'}}"
ruben-santos-gato-alves-dias,"{'Attacking': {'Crossing': '54', 'Finishing': '29', 'Heading accuracy': '87', 'Short passing': '83', 'Volleys': '32'}, 'Skills': {'Dribbling': '64', 'Curve': '46', 'FK Accuracy': '48', 'Long passing': '76', 'Ball control': '75'}, 'Movement': {'Acceleration': '54', 'Sprint speed': '69', 'Agility': '60', 'Reactions': '89', 'Balance': '56'}, 'Power': {'Shot power': '74', 'Jumping': '84', 'Stamina': '78', 'Strength': '90', 'Long shots': '26'}, 'Mentality': {'Aggression': '93', 'Interceptions': '86', 'Att. Position': '39', 'Vision': '51', 'Penalties': '45', 'Composure': '81'}, 'Defending': {'Defensive awareness': '91', 'Standing tackle': '91', 'Sliding tackle': '87'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '8', 'GK Kicking': '13', 'GK Positioning': '7', 'GK Reflexes': '12'}}"
josko-gvardiol,"{'Attacking': {'Crossing': '61', 'Finishing': '42', 'Heading accuracy': '78', 'Short passing': '76', 'Volleys': '54'}, 'Skills': {'Dribbling': '75', 'Curve': '59', 'FK Accuracy': '59', 'Long passing': '74', 'Ball control': '76'}, 'Movement': {'Acceleration': '80', 'Sprint speed': '76', 'Agility': '68', 'Reactions': '79', 'Balance': '67'}, 'Power': {'Shot power': '76', 'Jumping': '90', 'Stamina': '79', 'Strength': '83', 'Long shots': '56'}, 'Mentality': {'Aggression': '86', 'Interceptions': '82', 'Att. Position': '58', 'Vision': '65', 'Penalties': '61', 'Composure': '75'}, 'Defending': {'Defensive awareness': '81', 'Standing tackle': '84', 'Sliding tackle': '84'}, 'Goalkeeping': {'GK Diving': '5', 'GK Handling': '8', 'GK Kicking': '6', 'GK Positioning': '9', 'GK Reflexes': '11'}}"
rodrigo-hernandez-cascante,"{'Attacking': {'Crossing': '68', 'Finishing': '67', 'Heading accuracy': '81', 'Short passing': '90', 'Volleys': '59'}, 'Skills': {'Dribbling': '80', 'Curve': '74', 'FK Accuracy': '61', 'Long passing': '90', 'Ball control': '88'}, 'Movement': {'Acceleration': '55', 'Sprint speed': '62', 'Agility': '65', 'Reactions': '91', 'Balance': '67'}, 'Power': {'Shot power': '91', 'Jumping': '80', 'Stamina': '89', 'Strength': '83', 'Long shots': '84'}, 'Mentality': {'Aggression': '85', 'Interceptions': '84', 'Att. Position': '75', 'Vision': '84', 'Penalties': '62', 'Composure': '87'}, 'Defending': {'Defensive awareness': '90', 'Standing tackle': '87', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '10', 'GK Handling': '10', 'GK Kicking': '7', 'GK Positioning': '14', 'GK Reflexes': '8'}}"
bernardo-mota-carvalho-e-silva,"{'Attacking': {'Crossing': '84', 'Finishing': '78', 'Heading accuracy': '54', 'Short passing': '91', 'Volleys': '78'}, 'Skills': {'Dribbling': '92', 'Curve': '84', 'FK Accuracy': '67', 'Long passing': '82', 'Ball control': '91'}, 'Movement': {'Acceleration': '78', 'Sprint speed': '61', 'Agility': '95', 'Reactions': '89', 'Balance': '92'}, 'Power': {'Shot power': '79', 'Jumping': '66', 'Stamina': '93', 'Strength': '54', 'Long shots': '79'}, 'Mentality': {'Aggression': '78', 'Interceptions': '73', 'Att. Position': '85', 'Vision': '87', 'Penalties': '68', 'Composure': '89'}, 'Defending': {'Defensive awareness': '70', 'Standing tackle': '76', 'Sliding tackle': '60'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '10', 'GK Kicking': '14', 'GK Positioning': '12', 'GK Reflexes': '9'}}"
julian-alvarez,"{'Attacking': {'Crossing': '77', 'Finishing': '83', 'Heading accuracy': '69', 'Short passing': '78', 'Volleys': '76'}, 'Skills': {'Dribbling': '83', 'Curve': '84', 'FK Accuracy': '80', 'Long passing': '74', 'Ball control': '85'}, 'Movement': {'Acceleration': '84', 'Sprint speed': '78', 'Agility': '87', 'Reactions': '84', 'Balance': '87'}, 'Power': {'Shot power': '86', 'Jumping': '80', 'Stamina': '83', 'Strength': '70', 'Long shots': '83'}, 'Mentality': {'Aggression': '84', 'Interceptions': '46', 'Att. Position': '84', 'Vision': '79', 'Penalties': '73', 'Composure': '84'}, 'Defending': {'Defensive awareness': '60', 'Standing tackle': '55', 'Sliding tackle': '46'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '10', 'GK Kicking': '8', 'GK Positioning': '15', 'GK Reflexes': '6'}}"
phil-foden,"{'Attacking': {'Crossing': '80', 'Finishing': '81', 'Heading accuracy': '47', 'Short passing': '86', 'Volleys': '59'}, 'Skills': {'Dribbling': '88', 'Curve': '79', 'FK Accuracy': '68', 'Long passing': '82', 'Ball control': '90'}, 'Movement': {'Acceleration': '86', 'Sprint speed': '77', 'Agility': '91', 'Reactions': '81', 'Balance': '91'}, 'Power': {'Shot power': '83', 'Jumping': '63', 'Stamina': '83', 'Strength': '47', 'Long shots': '78'}, 'Mentality': {'Aggression': '64', 'Interceptions': '59', 'Att. Position': '83', 'Vision': '85', 'Penalties': '64', 'Composure': '83'}, 'Defending': {'Defensive awareness': '60', 'Standing tackle': '59', 'Sliding tackle': '47'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '15', 'GK Kicking': '6', 'GK Positioning': '10', 'GK Reflexes': '13'}}"
erling-haaland,"{'Attacking': {'Crossing': '47', 'Finishing': '96', 'Heading accuracy': '83', 'Short passing': '77', 'Volleys': '90'}, 'Skills': {'Dribbling': '79', 'Curve': '77', 'FK Accuracy': '62', 'Long passing': '53', 'Ball control': '82'}, 'Movement': {'Acceleration': '82', 'Sprint speed': '94', 'Agility': '76', 'Reactions': '94', 'Balance': '72'}, 'Power': {'Shot power': '94', 'Jumping': '93', 'Stamina': '76', 'Strength': '93', 'Long shots': '86'}, 'Mentality': {'Aggression': '87', 'Interceptions': '43', 'Att. Position': '96', 'Vision': '74', 'Penalties': '86', 'Composure': '87'}, 'Defending': {'Defensive awareness': '38', 'Standing tackle': '47', 'Sliding tackle': '29'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '14', 'GK Kicking': '13', 'GK Positioning': '11', 'GK Reflexes': '7'}}"
jeremy-doku,"{'Attacking': {'Crossing': '70', 'Finishing': '72', 'Heading accuracy': '37', 'Short passing': '75', 'Volleys': '59'}, 'Skills': {'Dribbling': '87', 'Curve': '63', 'FK Accuracy': '44', 'Long passing': '64', 'Ball control': '79'}, 'Movement': {'Acceleration': '95', 'Sprint speed': '89', 'Agility': '93', 'Reactions': '76', 'Balance': '88'}, 'Power': {'Shot power': '74', 'Jumping': '70', 'Stamina': '63', 'Strength': '69', 'Long shots': '59'}, 'Mentality': {'Aggression': '62', 'Interceptions': '18', 'Att. Position': '72', 'Vision': '71', 'Penalties': '51', 'Composure': '75'}, 'Defending': {'Defensive awareness': '22', 'Standing tackle': '28', 'Sliding tackle': '25'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '10', 'GK Kicking': '8', 'GK Positioning': '9', 'GK Reflexes': '12'}}"
jack-grealish,"{'Attacking': {'Crossing': '83', 'Finishing': '76', 'Heading accuracy': '48', 'Short passing': '85', 'Volleys': '72'}, 'Skills': {'Dribbling': '89', 'Curve': '83', 'FK Accuracy': '74', 'Long passing': '81', 'Ball control': '90'}, 'Movement': {'Acceleration': '79', 'Sprint speed': '74', 'Agility': '84', 'Reactions': '84', 'Balance': '85'}, 'Power': {'Shot power': '76', 'Jumping': '71', 'Stamina': '83', 'Strength': '71', 'Long shots': '79'}, 'Mentality': {'Aggression': '65', 'Interceptions': '49', 'Att. Position': '82', 'Vision': '87', 'Penalties': '58', 'Composure': '88'}, 'Defending': {'Defensive awareness': '58', 'Standing tackle': '54', 'Sliding tackle': '48'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '6', 'GK Kicking': '11', 'GK Positioning': '10', 'GK Reflexes': '13'}}"
mateo-kovacic,"{'Attacking': {'Crossing': '73', 'Finishing': '61', 'Heading accuracy': '42', 'Short passing': '89', 'Volleys': '76'}, 'Skills': {'Dribbling': '87', 'Curve': '78', 'FK Accuracy': '70', 'Long passing': '84', 'Ball control': '88'}, 'Movement': {'Acceleration': '76', 'Sprint speed': '64', 'Agility': '86', 'Reactions': '83', 'Balance': '84'}, 'Power': {'Shot power': '78', 'Jumping': '64', 'Stamina': '75', 'Strength': '65', 'Long shots': '76'}, 'Mentality': {'Aggression': '77', 'Interceptions': '76', 'Att. Position': '73', 'Vision': '82', 'Penalties': '59', 'Composure': '84'}, 'Defending': {'Defensive awareness': '73', 'Standing tackle': '75', 'Sliding tackle': '68'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '5', 'GK Kicking': '6', 'GK Positioning': '7', 'GK Reflexes': '7'}}"
