Player,PlayerData
martin-dubravka,"{'Attacking': {'Crossing': '12', 'Finishing': '10', 'Heading accuracy': '12', 'Short passing': '48', 'Volleys': '11'}, 'Skills': {'Dribbling': '19', 'Curve': '15', 'FK Accuracy': '13', 'Long passing': '59', 'Ball control': '33'}, 'Movement': {'Acceleration': '48', 'Sprint speed': '44', 'Agility': '47', 'Reactions': '72', 'Balance': '60'}, 'Power': {'Shot power': '59', 'Jumping': '64', 'Stamina': '38', 'Strength': '60', 'Long shots': '17'}, 'Mentality': {'Aggression': '28', 'Interceptions': '25', 'Att. Position': '12', 'Vision': '58', 'Penalties': '20', 'Composure': '59'}, 'Defending': {'Defensive awareness': '19', 'Standing tackle': '15', 'Sliding tackle': '14'}, 'Goalkeeping': {'GK Diving': '78', 'GK Handling': '76', 'GK Kicking': '79', 'GK Positioning': '76', 'GK Reflexes': '80'}}"
kieran-trippier,"{'Attacking': {'Crossing': '92', 'Finishing': '54', 'Heading accuracy': '79', 'Short passing': '84', 'Volleys': '58'}, 'Skills': {'Dribbling': '76', 'Curve': '87', 'FK Accuracy': '87', 'Long passing': '86', 'Ball control': '85'}, 'Movement': {'Acceleration': '73', 'Sprint speed': '64', 'Agility': '66', 'Reactions': '85', 'Balance': '79'}, 'Power': {'Shot power': '82', 'Jumping': '79', 'Stamina': '85', 'Strength': '64', 'Long shots': '71'}, 'Mentality': {'Aggression': '75', 'Interceptions': '83', 'Att. Position': '77', 'Vision': '85', 'Penalties': '66', 'Composure': '84'}, 'Defending': {'Defensive awareness': '82', 'Standing tackle': '84', 'Sliding tackle': '81'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '14', 'GK Kicking': '8', 'GK Positioning': '11', 'GK Reflexes': '10'}}"
jamaal-lascelles,"{'Attacking': {'Crossing': '46', 'Finishing': '34', 'Heading accuracy': '77', 'Short passing': '61', 'Volleys': '33'}, 'Skills': {'Dribbling': '41', 'Curve': '37', 'FK Accuracy': '16', 'Long passing': '55', 'Ball control': '60'}, 'Movement': {'Acceleration': '40', 'Sprint speed': '41', 'Agility': '53', 'Reactions': '71', 'Balance': '51'}, 'Power': {'Shot power': '51', 'Jumping': '85', 'Stamina': '51', 'Strength': '85', 'Long shots': '27'}, 'Mentality': {'Aggression': '84', 'Interceptions': '76', 'Att. Position': '23', 'Vision': '40', 'Penalties': '20', 'Composure': '60'}, 'Defending': {'Defensive awareness': '75', 'Standing tackle': '77', 'Sliding tackle': '77'}, 'Goalkeeping': {'GK Diving': '10', 'GK Handling': '15', 'GK Kicking': '7', 'GK Positioning': '10', 'GK Reflexes': '15'}}"
fabian-schar,"{'Attacking': {'Crossing': '65', 'Finishing': '60', 'Heading accuracy': '82', 'Short passing': '81', 'Volleys': '61'}, 'Skills': {'Dribbling': '73', 'Curve': '66', 'FK Accuracy': '68', 'Long passing': '84', 'Ball control': '77'}, 'Movement': {'Acceleration': '52', 'Sprint speed': '55', 'Agility': '53', 'Reactions': '83', 'Balance': '62'}, 'Power': {'Shot power': '80', 'Jumping': '81', 'Stamina': '71', 'Strength': '80', 'Long shots': '73'}, 'Mentality': {'Aggression': '78', 'Interceptions': '85', 'Att. Position': '62', 'Vision': '74', 'Penalties': '75', 'Composure': '81'}, 'Defending': {'Defensive awareness': '84', 'Standing tackle': '84', 'Sliding tackle': '80'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '9', 'GK Kicking': '11', 'GK Positioning': '10', 'GK Reflexes': '15'}}"
dan-burn,"{'Attacking': {'Crossing': '68', 'Finishing': '25', 'Heading accuracy': '78', 'Short passing': '75', 'Volleys': '22'}, 'Skills': {'Dribbling': '70', 'Curve': '48', 'FK Accuracy': '46', 'Long passing': '67', 'Ball control': '68'}, 'Movement': {'Acceleration': '40', 'Sprint speed': '60', 'Agility': '33', 'Reactions': '77', 'Balance': '30'}, 'Power': {'Shot power': '60', 'Jumping': '72', 'Stamina': '78', 'Strength': '89', 'Long shots': '29'}, 'Mentality': {'Aggression': '85', 'Interceptions': '77', 'Att. Position': '59', 'Vision': '60', 'Penalties': '48', 'Composure': '75'}, 'Defending': {'Defensive awareness': '82', 'Standing tackle': '80', 'Sliding tackle': '77'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '13', 'GK Kicking': '7', 'GK Positioning': '8', 'GK Reflexes': '10'}}"
sean-longstaff,"{'Attacking': {'Crossing': '63', 'Finishing': '60', 'Heading accuracy': '53', 'Short passing': '81', 'Volleys': '56'}, 'Skills': {'Dribbling': '75', 'Curve': '70', 'FK Accuracy': '69', 'Long passing': '78', 'Ball control': '78'}, 'Movement': {'Acceleration': '61', 'Sprint speed': '66', 'Agility': '59', 'Reactions': '79', 'Balance': '70'}, 'Power': {'Shot power': '77', 'Jumping': '64', 'Stamina': '88', 'Strength': '67', 'Long shots': '69'}, 'Mentality': {'Aggression': '66', 'Interceptions': '79', 'Att. Position': '75', 'Vision': '78', 'Penalties': '54', 'Composure': '77'}, 'Defending': {'Defensive awareness': '75', 'Standing tackle': '75', 'Sliding tackle': '64'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '8', 'GK Kicking': '13', 'GK Positioning': '14', 'GK Reflexes': '12'}}"
bruno-guimaraes-moura,"{'Attacking': {'Crossing': '70', 'Finishing': '72', 'Heading accuracy': '64', 'Short passing': '87', 'Volleys': '66'}, 'Skills': {'Dribbling': '85', 'Curve': '79', 'FK Accuracy': '62', 'Long passing': '85', 'Ball control': '85'}, 'Movement': {'Acceleration': '69', 'Sprint speed': '72', 'Agility': '77', 'Reactions': '86', 'Balance': '83'}, 'Power': {'Shot power': '79', 'Jumping': '76', 'Stamina': '87', 'Strength': '79', 'Long shots': '77'}, 'Mentality': {'Aggression': '84', 'Interceptions': '82', 'Att. Position': '78', 'Vision': '86', 'Penalties': '65', 'Composure': '87'}, 'Defending': {'Defensive awareness': '81', 'Standing tackle': '84', 'Sliding tackle': '79'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '11', 'GK Kicking': '15', 'GK Positioning': '11', 'GK Reflexes': '11'}}"
joelinton-apolinario-de-lira,"{'Attacking': {'Crossing': '71', 'Finishing': '73', 'Heading accuracy': '82', 'Short passing': '83', 'Volleys': '60'}, 'Skills': {'Dribbling': '84', 'Curve': '58', 'FK Accuracy': '38', 'Long passing': '78', 'Ball control': '85'}, 'Movement': {'Acceleration': '72', 'Sprint speed': '82', 'Agility': '68', 'Reactions': '84', 'Balance': '73'}, 'Power': {'Shot power': '82', 'Jumping': '91', 'Stamina': '88', 'Strength': '88', 'Long shots': '61'}, 'Mentality': {'Aggression': '88', 'Interceptions': '83', 'Att. Position': '80', 'Vision': '83', 'Penalties': '61', 'Composure': '82'}, 'Defending': {'Defensive awareness': '79', 'Standing tackle': '83', 'Sliding tackle': '76'}, 'Goalkeeping': {'GK Diving': '9', 'GK Handling': '13', 'GK Kicking': '8', 'GK Positioning': '13', 'GK Reflexes': '13'}}"
miguel-almiron,"{'Attacking': {'Crossing': '73', 'Finishing': '79', 'Heading accuracy': '43', 'Short passing': '79', 'Volleys': '75'}, 'Skills': {'Dribbling': '83', 'Curve': '78', 'FK Accuracy': '68', 'Long passing': '68', 'Ball control': '80'}, 'Movement': {'Acceleration': '89', 'Sprint speed': '86', 'Agility': '86', 'Reactions': '82', 'Balance': '69'}, 'Power': {'Shot power': '78', 'Jumping': '63', 'Stamina': '86', 'Strength': '52', 'Long shots': '72'}, 'Mentality': {'Aggression': '69', 'Interceptions': '58', 'Att. Position': '82', 'Vision': '78', 'Penalties': '69', 'Composure': '79'}, 'Defending': {'Defensive awareness': '59', 'Standing tackle': '59', 'Sliding tackle': '49'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '9', 'GK Kicking': '13', 'GK Positioning': '13', 'GK Reflexes': '12'}}"
alexander-isak,"{'Attacking': {'Crossing': '66', 'Finishing': '84', 'Heading accuracy': '75', 'Short passing': '78', 'Volleys': '79'}, 'Skills': {'Dribbling': '86', 'Curve': '70', 'FK Accuracy': '65', 'Long passing': '59', 'Ball control': '86'}, 'Movement': {'Acceleration': '82', 'Sprint speed': '84', 'Agility': '81', 'Reactions': '82', 'Balance': '73'}, 'Power': {'Shot power': '81', 'Jumping': '86', 'Stamina': '75', 'Strength': '76', 'Long shots': '76'}, 'Mentality': {'Aggression': '58', 'Interceptions': '38', 'Att. Position': '84', 'Vision': '79', 'Penalties': '78', 'Composure': '84'}, 'Defending': {'Defensive awareness': '35', 'Standing tackle': '34', 'Sliding tackle': '29'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '6', 'GK Kicking': '9', 'GK Positioning': '7', 'GK Reflexes': '11'}}"
