Player,PlayerData
matt-turner,"{'Attacking': {'Crossing': '13', 'Finishing': '15', 'Heading accuracy': '14', 'Short passing': '24', 'Volleys': '16'}, 'Skills': {'Dribbling': '16', 'Curve': '13', 'FK Accuracy': '14', 'Long passing': '29', 'Ball control': '24'}, 'Movement': {'Acceleration': '38', 'Sprint speed': '42', 'Agility': '48', 'Reactions': '74', 'Balance': '42'}, 'Power': {'Shot power': '50', 'Jumping': '62', 'Stamina': '35', 'Strength': '64', 'Long shots': '18'}, 'Mentality': {'Aggression': '25', 'Interceptions': '27', 'Att. Position': '15', 'Vision': '55', 'Penalties': '14', 'Composure': '59'}, 'Defending': {'Defensive awareness': '11', 'Standing tackle': '11', 'Sliding tackle': '11'}, 'Goalkeeping': {'GK Diving': '76', 'GK Handling': '75', 'GK Kicking': '67', 'GK Positioning': '79', 'GK Reflexes': '77'}}"
serge-aurier,"{'Attacking': {'Crossing': '80', 'Finishing': '58', 'Heading accuracy': '79', 'Short passing': '81', 'Volleys': '61'}, 'Skills': {'Dribbling': '73', 'Curve': '69', 'FK Accuracy': '36', 'Long passing': '71', 'Ball control': '78'}, 'Movement': {'Acceleration': '73', 'Sprint speed': '66', 'Agility': '68', 'Reactions': '77', 'Balance': '76'}, 'Power': {'Shot power': '76', 'Jumping': '84', 'Stamina': '66', 'Strength': '72', 'Long shots': '55'}, 'Mentality': {'Aggression': '86', 'Interceptions': '75', 'Att. Position': '68', 'Vision': '71', 'Penalties': '64', 'Composure': '73'}, 'Defending': {'Defensive awareness': '76', 'Standing tackle': '76', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '10', 'GK Kicking': '15', 'GK Positioning': '16', 'GK Reflexes': '9'}}"
willy-boly,"{'Attacking': {'Crossing': '50', 'Finishing': '32', 'Heading accuracy': '77', 'Short passing': '68', 'Volleys': '23'}, 'Skills': {'Dribbling': '57', 'Curve': '46', 'FK Accuracy': '35', 'Long passing': '66', 'Ball control': '64'}, 'Movement': {'Acceleration': '47', 'Sprint speed': '57', 'Agility': '39', 'Reactions': '69', 'Balance': '44'}, 'Power': {'Shot power': '52', 'Jumping': '82', 'Stamina': '51', 'Strength': '91', 'Long shots': '23'}, 'Mentality': {'Aggression': '75', 'Interceptions': '76', 'Att. Position': '45', 'Vision': '61', 'Penalties': '56', 'Composure': '79'}, 'Defending': {'Defensive awareness': '73', 'Standing tackle': '79', 'Sliding tackle': '76'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '8', 'GK Kicking': '15', 'GK Positioning': '10', 'GK Reflexes': '9'}}"
murillo-costa-dos-santos,"{'Attacking': {'Crossing': '50', 'Finishing': '27', 'Heading accuracy': '67', 'Short passing': '63', 'Volleys': '31'}, 'Skills': {'Dribbling': '58', 'Curve': '51', 'FK Accuracy': '36', 'Long passing': '67', 'Ball control': '65'}, 'Movement': {'Acceleration': '68', 'Sprint speed': '73', 'Agility': '61', 'Reactions': '66', 'Balance': '66'}, 'Power': {'Shot power': '48', 'Jumping': '78', 'Stamina': '64', 'Strength': '80', 'Long shots': '28'}, 'Mentality': {'Aggression': '73', 'Interceptions': '63', 'Att. Position': '29', 'Vision': '47', 'Penalties': '52', 'Composure': '66'}, 'Defending': {'Defensive awareness': '67', 'Standing tackle': '71', 'Sliding tackle': '72'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '9', 'GK Kicking': '14', 'GK Positioning': '12', 'GK Reflexes': '13'}}"
harry-toffolo,"{'Attacking': {'Crossing': '75', 'Finishing': '53', 'Heading accuracy': '61', 'Short passing': '68', 'Volleys': '44'}, 'Skills': {'Dribbling': '66', 'Curve': '71', 'FK Accuracy': '58', 'Long passing': '67', 'Ball control': '65'}, 'Movement': {'Acceleration': '73', 'Sprint speed': '74', 'Agility': '69', 'Reactions': '69', 'Balance': '69'}, 'Power': {'Shot power': '58', 'Jumping': '73', 'Stamina': '81', 'Strength': '69', 'Long shots': '51'}, 'Mentality': {'Aggression': '61', 'Interceptions': '67', 'Att. Position': '57', 'Vision': '59', 'Penalties': '53', 'Composure': '65'}, 'Defending': {'Defensive awareness': '72', 'Standing tackle': '68', 'Sliding tackle': '71'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '15', 'GK Kicking': '15', 'GK Positioning': '13', 'GK Reflexes': '13'}}"
orel-mangala,"{'Attacking': {'Crossing': '61', 'Finishing': '43', 'Heading accuracy': '51', 'Short passing': '79', 'Volleys': '50'}, 'Skills': {'Dribbling': '83', 'Curve': '65', 'FK Accuracy': '50', 'Long passing': '73', 'Ball control': '82'}, 'Movement': {'Acceleration': '75', 'Sprint speed': '54', 'Agility': '77', 'Reactions': '78', 'Balance': '86'}, 'Power': {'Shot power': '66', 'Jumping': '69', 'Stamina': '78', 'Strength': '70', 'Long shots': '68'}, 'Mentality': {'Aggression': '71', 'Interceptions': '73', 'Att. Position': '64', 'Vision': '76', 'Penalties': '42', 'Composure': '82'}, 'Defending': {'Defensive awareness': '76', 'Standing tackle': '72', 'Sliding tackle': '71'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '6', 'GK Kicking': '7', 'GK Positioning': '7', 'GK Reflexes': '10'}}"
ibrahim-sangare,"{'Attacking': {'Crossing': '66', 'Finishing': '61', 'Heading accuracy': '71', 'Short passing': '79', 'Volleys': '62'}, 'Skills': {'Dribbling': '76', 'Curve': '64', 'FK Accuracy': '62', 'Long passing': '77', 'Ball control': '75'}, 'Movement': {'Acceleration': '69', 'Sprint speed': '64', 'Agility': '64', 'Reactions': '79', 'Balance': '76'}, 'Power': {'Shot power': '80', 'Jumping': '78', 'Stamina': '87', 'Strength': '91', 'Long shots': '64'}, 'Mentality': {'Aggression': '75', 'Interceptions': '84', 'Att. Position': '68', 'Vision': '74', 'Penalties': '64', 'Composure': '76'}, 'Defending': {'Defensive awareness': '83', 'Standing tackle': '82', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '13', 'GK Kicking': '11', 'GK Positioning': '6', 'GK Reflexes': '7'}}"
nicolas-dominguez,"{'Attacking': {'Crossing': '60', 'Finishing': '65', 'Heading accuracy': '68', 'Short passing': '80', 'Volleys': '51'}, 'Skills': {'Dribbling': '74', 'Curve': '49', 'FK Accuracy': '45', 'Long passing': '77', 'Ball control': '78'}, 'Movement': {'Acceleration': '74', 'Sprint speed': '75', 'Agility': '82', 'Reactions': '73', 'Balance': '80'}, 'Power': {'Shot power': '72', 'Jumping': '75', 'Stamina': '89', 'Strength': '67', 'Long shots': '69'}, 'Mentality': {'Aggression': '86', 'Interceptions': '73', 'Att. Position': '63', 'Vision': '74', 'Penalties': '51', 'Composure': '60'}, 'Defending': {'Defensive awareness': '66', 'Standing tackle': '78', 'Sliding tackle': '77'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '11', 'GK Kicking': '9', 'GK Positioning': '10', 'GK Reflexes': '5'}}"
morgan-gibbs-white,"{'Attacking': {'Crossing': '67', 'Finishing': '73', 'Heading accuracy': '58', 'Short passing': '78', 'Volleys': '64'}, 'Skills': {'Dribbling': '80', 'Curve': '73', 'FK Accuracy': '71', 'Long passing': '76', 'Ball control': '79'}, 'Movement': {'Acceleration': '77', 'Sprint speed': '73', 'Agility': '83', 'Reactions': '75', 'Balance': '76'}, 'Power': {'Shot power': '74', 'Jumping': '73', 'Stamina': '78', 'Strength': '66', 'Long shots': '71'}, 'Mentality': {'Aggression': '62', 'Interceptions': '58', 'Att. Position': '74', 'Vision': '76', 'Penalties': '73', 'Composure': '74'}, 'Defending': {'Defensive awareness': '57', 'Standing tackle': '57', 'Sliding tackle': '56'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '7', 'GK Kicking': '14', 'GK Positioning': '15', 'GK Reflexes': '11'}}"
chris-wood,"{'Attacking': {'Crossing': '46', 'Finishing': '76', 'Heading accuracy': '84', 'Short passing': '69', 'Volleys': '74'}, 'Skills': {'Dribbling': '69', 'Curve': '69', 'FK Accuracy': '64', 'Long passing': '48', 'Ball control': '77'}, 'Movement': {'Acceleration': '49', 'Sprint speed': '58', 'Agility': '49', 'Reactions': '75', 'Balance': '47'}, 'Power': {'Shot power': '80', 'Jumping': '84', 'Stamina': '63', 'Strength': '85', 'Long shots': '70'}, 'Mentality': {'Aggression': '77', 'Interceptions': '40', 'Att. Position': '76', 'Vision': '64', 'Penalties': '81', 'Composure': '75'}, 'Defending': {'Defensive awareness': '39', 'Standing tackle': '30', 'Sliding tackle': '29'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '16', 'GK Kicking': '16', 'GK Positioning': '7', 'GK Reflexes': '16'}}"
