Player,PlayerData
wes-foderingham,"{'Attacking': {'Crossing': '21', 'Finishing': '13', 'Heading accuracy': '20', 'Short passing': '49', 'Volleys': '13'}, 'Skills': {'Dribbling': '12', 'Curve': '20', 'FK Accuracy': '14', 'Long passing': '46', 'Ball control': '28'}, 'Movement': {'Acceleration': '46', 'Sprint speed': '40', 'Agility': '62', 'Reactions': '70', 'Balance': '42'}, 'Power': {'Shot power': '55', 'Jumping': '70', 'Stamina': '34', 'Strength': '71', 'Long shots': '15'}, 'Mentality': {'Aggression': '30', 'Interceptions': '19', 'Att. Position': '12', 'Vision': '60', 'Penalties': '14', 'Composure': '53'}, 'Defending': {'Defensive awareness': '12', 'Standing tackle': '20', 'Sliding tackle': '11'}, 'Goalkeeping': {'GK Diving': '75', 'GK Handling': '71', 'GK Kicking': '73', 'GK Positioning': '74', 'GK Reflexes': '76'}}"
jayden-bogle,"{'Attacking': {'Crossing': '72', 'Finishing': '55', 'Heading accuracy': '55', 'Short passing': '70', 'Volleys': '34'}, 'Skills': {'Dribbling': '73', 'Curve': '60', 'FK Accuracy': '38', 'Long passing': '65', 'Ball control': '72'}, 'Movement': {'Acceleration': '81', 'Sprint speed': '81', 'Agility': '76', 'Reactions': '66', 'Balance': '73'}, 'Power': {'Shot power': '61', 'Jumping': '73', 'Stamina': '72', 'Strength': '65', 'Long shots': '51'}, 'Mentality': {'Aggression': '67', 'Interceptions': '69', 'Att. Position': '74', 'Vision': '66', 'Penalties': '44', 'Composure': '71'}, 'Defending': {'Defensive awareness': '67', 'Standing tackle': '72', 'Sliding tackle': '69'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '10', 'GK Kicking': '11', 'GK Positioning': '7', 'GK Reflexes': '6'}}"
anel-ahmedhodzic,"{'Attacking': {'Crossing': '45', 'Finishing': '40', 'Heading accuracy': '73', 'Short passing': '71', 'Volleys': '31'}, 'Skills': {'Dribbling': '59', 'Curve': '44', 'FK Accuracy': '34', 'Long passing': '65', 'Ball control': '65'}, 'Movement': {'Acceleration': '72', 'Sprint speed': '82', 'Agility': '67', 'Reactions': '72', 'Balance': '52'}, 'Power': {'Shot power': '57', 'Jumping': '86', 'Stamina': '73', 'Strength': '82', 'Long shots': '32'}, 'Mentality': {'Aggression': '74', 'Interceptions': '75', 'Att. Position': '37', 'Vision': '60', 'Penalties': '45', 'Composure': '74'}, 'Defending': {'Defensive awareness': '74', 'Standing tackle': '74', 'Sliding tackle': '75'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '10', 'GK Kicking': '8', 'GK Positioning': '11', 'GK Reflexes': '9'}}"
jack-robinson,"{'Attacking': {'Crossing': '58', 'Finishing': '40', 'Heading accuracy': '66', 'Short passing': '65', 'Volleys': '32'}, 'Skills': {'Dribbling': '55', 'Curve': '60', 'FK Accuracy': '40', 'Long passing': '59', 'Ball control': '64'}, 'Movement': {'Acceleration': '70', 'Sprint speed': '68', 'Agility': '72', 'Reactions': '69', 'Balance': '70'}, 'Power': {'Shot power': '43', 'Jumping': '75', 'Stamina': '71', 'Strength': '72', 'Long shots': '38'}, 'Mentality': {'Aggression': '81', 'Interceptions': '70', 'Att. Position': '52', 'Vision': '57', 'Penalties': '43', 'Composure': '59'}, 'Defending': {'Defensive awareness': '72', 'Standing tackle': '74', 'Sliding tackle': '74'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '14', 'GK Kicking': '13', 'GK Positioning': '10', 'GK Reflexes': '6'}}"
auston-trusty,"{'Attacking': {'Crossing': '54', 'Finishing': '42', 'Heading accuracy': '71', 'Short passing': '65', 'Volleys': '39'}, 'Skills': {'Dribbling': '61', 'Curve': '48', 'FK Accuracy': '29', 'Long passing': '63', 'Ball control': '63'}, 'Movement': {'Acceleration': '77', 'Sprint speed': '81', 'Agility': '57', 'Reactions': '72', 'Balance': '53'}, 'Power': {'Shot power': '56', 'Jumping': '89', 'Stamina': '78', 'Strength': '84', 'Long shots': '49'}, 'Mentality': {'Aggression': '78', 'Interceptions': '70', 'Att. Position': '47', 'Vision': '48', 'Penalties': '52', 'Composure': '68'}, 'Defending': {'Defensive awareness': '72', 'Standing tackle': '71', 'Sliding tackle': '68'}, 'Goalkeeping': {'GK Diving': '13', 'GK Handling': '14', 'GK Kicking': '11', 'GK Positioning': '10', 'GK Reflexes': '12'}}"
luke-thomas,"{'Attacking': {'Crossing': '65', 'Finishing': '39', 'Heading accuracy': '61', 'Short passing': '66', 'Volleys': '47'}, 'Skills': {'Dribbling': '70', 'Curve': '60', 'FK Accuracy': '49', 'Long passing': '64', 'Ball control': '68'}, 'Movement': {'Acceleration': '77', 'Sprint speed': '73', 'Agility': '69', 'Reactions': '72', 'Balance': '71'}, 'Power': {'Shot power': '44', 'Jumping': '74', 'Stamina': '75', 'Strength': '65', 'Long shots': '39'}, 'Mentality': {'Aggression': '70', 'Interceptions': '74', 'Att. Position': '69', 'Vision': '62', 'Penalties': '40', 'Composure': '67'}, 'Defending': {'Defensive awareness': '71', 'Standing tackle': '72', 'Sliding tackle': '69'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '7', 'GK Kicking': '10', 'GK Positioning': '11', 'GK Reflexes': '12'}}"
oliver-norwood,"{'Attacking': {'Crossing': '76', 'Finishing': '59', 'Heading accuracy': '56', 'Short passing': '76', 'Volleys': '69'}, 'Skills': {'Dribbling': '62', 'Curve': '81', 'FK Accuracy': '75', 'Long passing': '78', 'Ball control': '73'}, 'Movement': {'Acceleration': '49', 'Sprint speed': '47', 'Agility': '65', 'Reactions': '75', 'Balance': '67'}, 'Power': {'Shot power': '76', 'Jumping': '57', 'Stamina': '76', 'Strength': '56', 'Long shots': '70'}, 'Mentality': {'Aggression': '68', 'Interceptions': '76', 'Att. Position': '60', 'Vision': '76', 'Penalties': '72', 'Composure': '73'}, 'Defending': {'Defensive awareness': '67', 'Standing tackle': '68', 'Sliding tackle': '69'}, 'Goalkeeping': {'GK Diving': '16', 'GK Handling': '16', 'GK Kicking': '7', 'GK Positioning': '7', 'GK Reflexes': '12'}}"
vinicius-de-souza-costa,"{'Attacking': {'Crossing': '45', 'Finishing': '38', 'Heading accuracy': '73', 'Short passing': '70', 'Volleys': '30'}, 'Skills': {'Dribbling': '68', 'Curve': '48', 'FK Accuracy': '43', 'Long passing': '71', 'Ball control': '70'}, 'Movement': {'Acceleration': '64', 'Sprint speed': '68', 'Agility': '63', 'Reactions': '74', 'Balance': '47'}, 'Power': {'Shot power': '80', 'Jumping': '83', 'Stamina': '80', 'Strength': '83', 'Long shots': '57'}, 'Mentality': {'Aggression': '79', 'Interceptions': '80', 'Att. Position': '29', 'Vision': '62', 'Penalties': '36', 'Composure': '63'}, 'Defending': {'Defensive awareness': '74', 'Standing tackle': '77', 'Sliding tackle': '75'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '14', 'GK Kicking': '9', 'GK Positioning': '13', 'GK Reflexes': '8'}}"
gustavo-hamer,"{'Attacking': {'Crossing': '74', 'Finishing': '67', 'Heading accuracy': '70', 'Short passing': '76', 'Volleys': '66'}, 'Skills': {'Dribbling': '68', 'Curve': '74', 'FK Accuracy': '73', 'Long passing': '79', 'Ball control': '73'}, 'Movement': {'Acceleration': '71', 'Sprint speed': '68', 'Agility': '77', 'Reactions': '73', 'Balance': '86'}, 'Power': {'Shot power': '76', 'Jumping': '76', 'Stamina': '82', 'Strength': '70', 'Long shots': '75'}, 'Mentality': {'Aggression': '87', 'Interceptions': '76', 'Att. Position': '67', 'Vision': '77', 'Penalties': '60', 'Composure': '72'}, 'Defending': {'Defensive awareness': '73', 'Standing tackle': '72', 'Sliding tackle': '68'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '7', 'GK Kicking': '7', 'GK Positioning': '9', 'GK Reflexes': '10'}}"
oli-mcburnie,"{'Attacking': {'Crossing': '40', 'Finishing': '73', 'Heading accuracy': '75', 'Short passing': '69', 'Volleys': '72'}, 'Skills': {'Dribbling': '68', 'Curve': '42', 'FK Accuracy': '36', 'Long passing': '55', 'Ball control': '73'}, 'Movement': {'Acceleration': '54', 'Sprint speed': '54', 'Agility': '55', 'Reactions': '71', 'Balance': '54'}, 'Power': {'Shot power': '78', 'Jumping': '80', 'Stamina': '70', 'Strength': '81', 'Long shots': '59'}, 'Mentality': {'Aggression': '80', 'Interceptions': '28', 'Att. Position': '75', 'Vision': '66', 'Penalties': '65', 'Composure': '71'}, 'Defending': {'Defensive awareness': '32', 'Standing tackle': '29', 'Sliding tackle': '20'}, 'Goalkeeping': {'GK Diving': '13', 'GK Handling': '11', 'GK Kicking': '12', 'GK Positioning': '13', 'GK Reflexes': '13'}}"
cameron-archer,"{'Attacking': {'Crossing': '44', 'Finishing': '74', 'Heading accuracy': '65', 'Short passing': '70', 'Volleys': '66'}, 'Skills': {'Dribbling': '74', 'Curve': '56', 'FK Accuracy': '47', 'Long passing': '46', 'Ball control': '72'}, 'Movement': {'Acceleration': '77', 'Sprint speed': '78', 'Agility': '76', 'Reactions': '73', 'Balance': '83'}, 'Power': {'Shot power': '75', 'Jumping': '79', 'Stamina': '63', 'Strength': '72', 'Long shots': '65'}, 'Mentality': {'Aggression': '59', 'Interceptions': '22', 'Att. Position': '74', 'Vision': '64', 'Penalties': '58', 'Composure': '71'}, 'Defending': {'Defensive awareness': '22', 'Standing tackle': '18', 'Sliding tackle': '21'}, 'Goalkeeping': {'GK Diving': '5', 'GK Handling': '6', 'GK Kicking': '12', 'GK Positioning': '6', 'GK Reflexes': '14'}}"
