Player,PlayerData
guglielmo-vicario,"{'Attacking': {'Crossing': '11', 'Finishing': '6', 'Heading accuracy': '11', 'Short passing': '56', 'Volleys': '7'}, 'Skills': {'Dribbling': '12', 'Curve': '14', 'FK Accuracy': '10', 'Long passing': '53', 'Ball control': '34'}, 'Movement': {'Acceleration': '54', 'Sprint speed': '49', 'Agility': '40', 'Reactions': '77', 'Balance': '33'}, 'Power': {'Shot power': '59', 'Jumping': '66', 'Stamina': '38', 'Strength': '59', 'Long shots': '5'}, 'Mentality': {'Aggression': '35', 'Interceptions': '15', 'Att. Position': '13', 'Vision': '69', 'Penalties': '13', 'Composure': '61'}, 'Defending': {'Defensive awareness': '23', 'Standing tackle': '11', 'Sliding tackle': '13'}, 'Goalkeeping': {'GK Diving': '84', 'GK Handling': '81', 'GK Kicking': '79', 'GK Positioning': '84', 'GK Reflexes': '87'}}"
pedro-antonio-porro-sauceda,"{'Attacking': {'Crossing': '83', 'Finishing': '68', 'Heading accuracy': '69', 'Short passing': '78', 'Volleys': '60'}, 'Skills': {'Dribbling': '82', 'Curve': '80', 'FK Accuracy': '74', 'Long passing': '74', 'Ball control': '83'}, 'Movement': {'Acceleration': '80', 'Sprint speed': '84', 'Agility': '80', 'Reactions': '79', 'Balance': '71'}, 'Power': {'Shot power': '83', 'Jumping': '80', 'Stamina': '91', 'Strength': '71', 'Long shots': '75'}, 'Mentality': {'Aggression': '75', 'Interceptions': '77', 'Att. Position': '81', 'Vision': '79', 'Penalties': '66', 'Composure': '79'}, 'Defending': {'Defensive awareness': '74', 'Standing tackle': '79', 'Sliding tackle': '76'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '7', 'GK Kicking': '14', 'GK Positioning': '5', 'GK Reflexes': '7'}}"
cristian-romero,"{'Attacking': {'Crossing': '42', 'Finishing': '48', 'Heading accuracy': '82', 'Short passing': '74', 'Volleys': '52'}, 'Skills': {'Dribbling': '60', 'Curve': '54', 'FK Accuracy': '38', 'Long passing': '64', 'Ball control': '68'}, 'Movement': {'Acceleration': '72', 'Sprint speed': '69', 'Agility': '67', 'Reactions': '84', 'Balance': '65'}, 'Power': {'Shot power': '51', 'Jumping': '88', 'Stamina': '71', 'Strength': '81', 'Long shots': '36'}, 'Mentality': {'Aggression': '89', 'Interceptions': '83', 'Att. Position': '43', 'Vision': '50', 'Penalties': '40', 'Composure': '82'}, 'Defending': {'Defensive awareness': '85', 'Standing tackle': '84', 'Sliding tackle': '84'}, 'Goalkeeping': {'GK Diving': '5', 'GK Handling': '7', 'GK Kicking': '11', 'GK Positioning': '10', 'GK Reflexes': '14'}}"
ben-davies,"{'Attacking': {'Crossing': '71', 'Finishing': '58', 'Heading accuracy': '73', 'Short passing': '78', 'Volleys': '48'}, 'Skills': {'Dribbling': '70', 'Curve': '72', 'FK Accuracy': '48', 'Long passing': '75', 'Ball control': '76'}, 'Movement': {'Acceleration': '63', 'Sprint speed': '65', 'Agility': '64', 'Reactions': '81', 'Balance': '68'}, 'Power': {'Shot power': '65', 'Jumping': '75', 'Stamina': '70', 'Strength': '70', 'Long shots': '52'}, 'Mentality': {'Aggression': '79', 'Interceptions': '78', 'Att. Position': '60', 'Vision': '64', 'Penalties': '54', 'Composure': '76'}, 'Defending': {'Defensive awareness': '79', 'Standing tackle': '79', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '7', 'GK Kicking': '6', 'GK Positioning': '7', 'GK Reflexes': '14'}}"
destiny-udogie,"{'Attacking': {'Crossing': '76', 'Finishing': '64', 'Heading accuracy': '64', '+2': '76', 'Volleys': '58'}, 'Skills': {'Dribbling': '78', 'Curve': '59', 'FK Accuracy': '51', '+1': '65', 'Ball control': '78'}, 'Movement': {'Acceleration': '86', 'Sprint speed': '89', 'Agility': '80', '+2': '76', 'Balance': '70'}, 'Power': {'Shot power': '71', 'Jumping': '83', '+1': '80', 'Strength': '76', 'Long shots': '59'}, 'Mentality': {'Aggression': '77', '+3': '75', '+2': '66', 'Penalties': '46'}, 'Defending': {'+1': '74', '+2': '79'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '14', 'GK Kicking': '11', 'GK Positioning': '10', 'GK Reflexes': '14'}}"
yves-bissouma,"{'Attacking': {'Crossing': '65', 'Finishing': '58', 'Heading accuracy': '65', 'Short passing': '81', 'Volleys': '65'}, 'Skills': {'Dribbling': '83', 'Curve': '62', 'FK Accuracy': '75', 'Long passing': '76', 'Ball control': '81'}, 'Movement': {'Acceleration': '73', 'Sprint speed': '72', 'Agility': '74', 'Reactions': '77', 'Balance': '77'}, 'Power': {'Shot power': '79', 'Jumping': '78', 'Stamina': '78', 'Strength': '76', 'Long shots': '76'}, 'Mentality': {'Aggression': '76', 'Interceptions': '81', 'Att. Position': '69', 'Vision': '74', 'Penalties': '58', 'Composure': '82'}, 'Defending': {'Defensive awareness': '77', 'Standing tackle': '81', 'Sliding tackle': '76'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '8', 'GK Kicking': '8', 'GK Positioning': '12', 'GK Reflexes': '8'}}"
pape-matar-sarr,"{'Attacking': {'Crossing': '60', 'Finishing': '63', 'Heading accuracy': '58', 'Short passing': '78', 'Volleys': '54'}, 'Skills': {'Dribbling': '76', 'Curve': '60', 'FK Accuracy': '49', 'Long passing': '74', 'Ball control': '75'}, 'Movement': {'Acceleration': '70', 'Sprint speed': '66', 'Agility': '70', 'Reactions': '76', 'Balance': '70'}, 'Power': {'Shot power': '69', 'Jumping': '71', 'Stamina': '79', 'Strength': '71', 'Long shots': '67'}, 'Mentality': {'Aggression': '70', 'Interceptions': '71', 'Att. Position': '70', 'Vision': '73', 'Penalties': '50', 'Composure': '76'}, 'Defending': {'Defensive awareness': '72', 'Standing tackle': '76', 'Sliding tackle': '70'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '8', 'GK Kicking': '14', 'GK Positioning': '8', 'GK Reflexes': '8'}}"
giovani-lo-celso,"{'Attacking': {'Crossing': '78', 'Finishing': '73', 'Heading accuracy': '62', 'Short passing': '83', 'Volleys': '71'}, 'Skills': {'Dribbling': '84', 'Curve': '82', 'FK Accuracy': '79', 'Long passing': '82', 'Ball control': '85'}, 'Movement': {'Acceleration': '72', 'Sprint speed': '69', 'Agility': '80', 'Reactions': '82', 'Balance': '80'}, 'Power': {'Shot power': '80', 'Jumping': '73', 'Stamina': '72', 'Strength': '69', 'Long shots': '74'}, 'Mentality': {'Aggression': '82', 'Interceptions': '70', 'Att. Position': '75', 'Vision': '84', 'Penalties': '65', 'Composure': '82'}, 'Defending': {'Defensive awareness': '64', 'Standing tackle': '73', 'Sliding tackle': '68'}, 'Goalkeeping': {'GK Diving': '10', 'GK Handling': '7', 'GK Kicking': '10', 'GK Positioning': '15', 'GK Reflexes': '14'}}"
dejan-kulusevski,"{'Attacking': {'Crossing': '84', 'Finishing': '76', 'Heading accuracy': '52', 'Short passing': '83', 'Volleys': '80'}, 'Skills': {'Dribbling': '86', 'Curve': '85', 'FK Accuracy': '61', 'Long passing': '72', 'Ball control': '85'}, 'Movement': {'Acceleration': '77', 'Sprint speed': '74', 'Agility': '79', 'Reactions': '82', 'Balance': '69'}, 'Power': {'Shot power': '76', 'Jumping': '75', 'Stamina': '86', 'Strength': '79', 'Long shots': '81'}, 'Mentality': {'Aggression': '67', 'Interceptions': '54', 'Att. Position': '79', 'Vision': '84', 'Penalties': '65', 'Composure': '84'}, 'Defending': {'Defensive awareness': '55', 'Standing tackle': '64', 'Sliding tackle': '55'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '5', 'GK Kicking': '10', 'GK Positioning': '10', 'GK Reflexes': '5'}}"
heung-min-son,"{'Attacking': {'+1': '83', 'Finishing': '90', '+2': '70', 'Volleys': '79'}, 'Skills': {'Dribbling': '87', 'Curve': '87', 'FK Accuracy': '74', 'Long passing': '72', '+1': '83'}, 'Movement': {'Acceleration': '85', 'Sprint speed': '88', 'Agility': '81', 'Reactions': '90', 'Balance': '74'}, 'Power': {'Shot power': '88', 'Jumping': '78', 'Stamina': '88', 'Strength': '64', 'Long shots': '89'}, 'Mentality': {'Aggression': '62', 'Interceptions': '39', '+1': '88', 'Penalties': '73'}, 'Defending': {'Defensive awareness': '47', 'Standing tackle': '34', 'Sliding tackle': '33'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '13', 'GK Kicking': '13', 'GK Positioning': '6', 'GK Reflexes': '10'}}"
