Player,PlayerData
alphonse-areola,"{'Attacking': {'Crossing': '20', 'Finishing': '19', 'Heading accuracy': '14', 'Short passing': '48', 'Volleys': '16'}, 'Skills': {'Dribbling': '15', 'Curve': '16', 'FK Accuracy': '16', 'Long passing': '55', 'Ball control': '22'}, 'Movement': {'Acceleration': '56', 'Sprint speed': '54', 'Agility': '58', 'Reactions': '71', 'Balance': '58'}, 'Power': {'Shot power': '56', 'Jumping': '75', 'Stamina': '38', 'Strength': '79', 'Long shots': '14'}, 'Mentality': {'Aggression': '26', 'Interceptions': '23', 'Att. Position': '17', 'Vision': '59', 'Penalties': '25', 'Composure': '64'}, 'Defending': {'Defensive awareness': '13', 'Standing tackle': '18', 'Sliding tackle': '12'}, 'Goalkeeping': {'GK Diving': '81', 'GK Handling': '77', 'GK Kicking': '74', 'GK Positioning': '76', 'GK Reflexes': '80'}}"
vladimir-coufal,"{'Attacking': {'Crossing': '79', 'Finishing': '50', 'Heading accuracy': '70', 'Short passing': '75', 'Volleys': '61'}, 'Skills': {'Dribbling': '72', 'Curve': '74', 'FK Accuracy': '42', 'Long passing': '73', 'Ball control': '75'}, 'Movement': {'Acceleration': '70', 'Sprint speed': '61', 'Agility': '64', 'Reactions': '77', 'Balance': '76'}, 'Power': {'Shot power': '66', 'Jumping': '77', 'Stamina': '84', 'Strength': '75', 'Long shots': '59'}, 'Mentality': {'Aggression': '86', 'Interceptions': '76', 'Att. Position': '68', 'Vision': '68', 'Penalties': '49', 'Composure': '72'}, 'Defending': {'Defensive awareness': '77', 'Standing tackle': '81', 'Sliding tackle': '77'}, 'Goalkeeping': {'GK Diving': '13', 'GK Handling': '12', 'GK Kicking': '12', 'GK Positioning': '6', 'GK Reflexes': '13'}}"
kurt-zouma,"{'Attacking': {'Crossing': '49', 'Finishing': '47', 'Heading accuracy': '83', 'Short passing': '67', 'Volleys': '47'}, 'Skills': {'Dribbling': '50', 'Curve': '60', 'FK Accuracy': '59', 'Long passing': '67', 'Ball control': '62'}, 'Movement': {'Acceleration': '52', 'Sprint speed': '68', 'Agility': '47', 'Reactions': '76', 'Balance': '49'}, 'Power': {'Shot power': '63', 'Jumping': '86', 'Stamina': '62', 'Strength': '92', 'Long shots': '49'}, 'Mentality': {'Aggression': '84', 'Interceptions': '77', 'Att. Position': '49', 'Vision': '60', 'Penalties': '59', 'Composure': '73'}, 'Defending': {'Defensive awareness': '79', 'Standing tackle': '79', 'Sliding tackle': '77'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '14', 'GK Kicking': '7', 'GK Positioning': '9', 'GK Reflexes': '15'}}"
nayef-aguerd,"{'Attacking': {'Crossing': '48', 'Finishing': '40', 'Heading accuracy': '81', 'Short passing': '74', 'Volleys': '41'}, 'Skills': {'Dribbling': '58', 'Curve': '55', 'FK Accuracy': '41', 'Long passing': '75', 'Ball control': '74'}, 'Movement': {'Acceleration': '61', 'Sprint speed': '80', 'Agility': '58', 'Reactions': '79', 'Balance': '49'}, 'Power': {'Shot power': '69', 'Jumping': '83', 'Stamina': '69', 'Strength': '76', 'Long shots': '54'}, 'Mentality': {'Aggression': '77', 'Interceptions': '81', 'Att. Position': '52', 'Vision': '60', 'Penalties': '48', 'Composure': '72'}, 'Defending': {'Defensive awareness': '79', 'Standing tackle': '83', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '15', 'GK Kicking': '9', 'GK Positioning': '14', 'GK Reflexes': '6'}}"
emerson-palmieri-dos-santos,"{'Attacking': {'Crossing': '78', 'Finishing': '51', 'Heading accuracy': '60', 'Short passing': '77', 'Volleys': '51'}, 'Skills': {'Dribbling': '79', 'Curve': '81', 'FK Accuracy': '80', 'Long passing': '73', 'Ball control': '80'}, 'Movement': {'Acceleration': '78', 'Sprint speed': '75', 'Agility': '71', 'Reactions': '75', 'Balance': '74'}, 'Power': {'Shot power': '80', 'Jumping': '71', 'Stamina': '72', 'Strength': '59', 'Long shots': '75'}, 'Mentality': {'Aggression': '66', 'Interceptions': '76', 'Att. Position': '70', 'Vision': '67', 'Penalties': '55', 'Composure': '77'}, 'Defending': {'Defensive awareness': '74', 'Standing tackle': '75', 'Sliding tackle': '75'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '15', 'GK Kicking': '8', 'GK Positioning': '7', 'GK Reflexes': '14'}}"
edson-alvarez,"{'Attacking': {'Crossing': '64', 'Finishing': '57', 'Heading accuracy': '82', 'Short passing': '78', 'Volleys': '63'}, 'Skills': {'Dribbling': '68', 'Curve': '42', 'FK Accuracy': '40', 'Long passing': '74', 'Ball control': '75'}, 'Movement': {'Acceleration': '67', 'Sprint speed': '68', 'Agility': '60', 'Reactions': '77', 'Balance': '68'}, 'Power': {'Shot power': '74', 'Jumping': '81', 'Stamina': '90', 'Strength': '86', 'Long shots': '40'}, 'Mentality': {'Aggression': '86', 'Interceptions': '83', 'Att. Position': '56', 'Vision': '65', 'Penalties': '65', 'Composure': '74'}, 'Defending': {'Defensive awareness': '83', 'Standing tackle': '83', 'Sliding tackle': '79'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '11', 'GK Kicking': '10', 'GK Positioning': '7', 'GK Reflexes': '6'}}"
james-ward-prowse,"{'Attacking': {'Crossing': '90', '+2': '72', 'Heading accuracy': '59', 'Short passing': '84', '+1': '52'}, 'Skills': {'+1': '72', 'Curve': '92', 'FK Accuracy': '94', 'Long passing': '83', 'Ball control': '80'}, 'Movement': {'Acceleration': '63', '+1': '53', 'Agility': '72', 'Reactions': '73', 'Balance': '76'}, 'Power': {'Shot power': '81', '+1': '66', 'Stamina': '92', '+2': '62', 'Long shots': '75'}, 'Mentality': {'Aggression': '75', '+1': '78', '+2': '79'}, 'Defending': {'+2': '64', '+1': '71', 'Sliding tackle': '63'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '12', 'GK Kicking': '10', 'GK Positioning': '15', 'GK Reflexes': '15'}}"
mohammed-kudus,"{'Attacking': {'Crossing': '64', 'Finishing': '76', 'Heading accuracy': '52', 'Short passing': '77', 'Volleys': '68'}, 'Skills': {'Dribbling': '86', 'Curve': '67', 'FK Accuracy': '48', 'Long passing': '73', 'Ball control': '83'}, 'Movement': {'Acceleration': '92', 'Sprint speed': '88', 'Agility': '85', 'Reactions': '73', 'Balance': '92'}, 'Power': {'Shot power': '78', 'Jumping': '73', 'Stamina': '79', 'Strength': '76', 'Long shots': '68'}, 'Mentality': {'Aggression': '68', 'Interceptions': '59', 'Att. Position': '77', 'Vision': '75', 'Penalties': '64', 'Composure': '76'}, 'Defending': {'Defensive awareness': '60', 'Standing tackle': '66', 'Sliding tackle': '46'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '12', 'GK Kicking': '7', 'GK Positioning': '7', 'GK Reflexes': '10'}}"
lucas-tolentino-coelho-de-lima,"{'Attacking': {'Crossing': '72', 'Finishing': '78', 'Heading accuracy': '68', 'Short passing': '82', 'Volleys': '74'}, 'Skills': {'Dribbling': '86', 'Curve': '77', 'FK Accuracy': '74', 'Long passing': '78', 'Ball control': '85'}, 'Movement': {'Acceleration': '71', 'Sprint speed': '73', 'Agility': '75', 'Reactions': '81', 'Balance': '76'}, 'Power': {'Shot power': '77', 'Jumping': '77', 'Stamina': '79', 'Strength': '75', 'Long shots': '77'}, 'Mentality': {'Aggression': '76', 'Interceptions': '71', 'Att. Position': '80', 'Vision': '82', 'Penalties': '75', 'Composure': '88'}, 'Defending': {'Defensive awareness': '67', 'Standing tackle': '72', 'Sliding tackle': '63'}, 'Goalkeeping': {'GK Diving': '14', 'GK Handling': '9', 'GK Kicking': '12', 'GK Positioning': '11', 'GK Reflexes': '11'}}"
tomas-soucek,"{'Attacking': {'Crossing': '68', 'Finishing': '70', 'Heading accuracy': '82', 'Short passing': '75', 'Volleys': '59'}, 'Skills': {'Dribbling': '72', 'Curve': '63', 'FK Accuracy': '53', 'Long passing': '75', 'Ball control': '75'}, 'Movement': {'Acceleration': '51', 'Sprint speed': '60', 'Agility': '49', 'Reactions': '78', 'Balance': '48'}, 'Power': {'Shot power': '73', 'Jumping': '83', 'Stamina': '87', 'Strength': '83', 'Long shots': '70'}, 'Mentality': {'Aggression': '77', 'Interceptions': '81', 'Att. Position': '74', 'Vision': '72', 'Penalties': '70', 'Composure': '73'}, 'Defending': {'Defensive awareness': '79', 'Standing tackle': '82', 'Sliding tackle': '77'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '13', 'GK Kicking': '5', 'GK Positioning': '6', 'GK Reflexes': '8'}}"
