Player,PlayerData
jose-pedro-malheiro-de-sa,"{'Attacking': {'Crossing': '18', 'Finishing': '15', 'Heading accuracy': '14', 'Short passing': '48', 'Volleys': '17'}, 'Skills': {'Dribbling': '17', 'Curve': '12', 'FK Accuracy': '21', 'Long passing': '42', 'Ball control': '19'}, 'Movement': {'Acceleration': '52', 'Sprint speed': '53', 'Agility': '62', 'Reactions': '77', 'Balance': '40'}, 'Power': {'Shot power': '53', 'Jumping': '72', 'Stamina': '34', 'Strength': '75', 'Long shots': '18'}, 'Mentality': {'Aggression': '35', 'Interceptions': '18', 'Att. Position': '17', 'Vision': '50', 'Penalties': '11', 'Composure': '45'}, 'Defending': {'Defensive awareness': '14', 'Standing tackle': '19', 'Sliding tackle': '15'}, 'Goalkeeping': {'GK Diving': '80', 'GK Handling': '75', 'GK Kicking': '70', 'GK Positioning': '78', 'GK Reflexes': '81'}}"
nelson-cabral-semedo,"{'Attacking': {'Crossing': '75', 'Finishing': '50', 'Heading accuracy': '58', 'Short passing': '75', 'Volleys': '42'}, 'Skills': {'Dribbling': '77', 'Curve': '63', 'FK Accuracy': '34', 'Long passing': '65', 'Ball control': '79'}, 'Movement': {'Acceleration': '82', 'Sprint speed': '81', 'Agility': '80', 'Reactions': '76', 'Balance': '76'}, 'Power': {'Shot power': '73', 'Jumping': '75', 'Stamina': '78', 'Strength': '69', 'Long shots': '57'}, 'Mentality': {'Aggression': '81', 'Interceptions': '76', 'Att. Position': '72', 'Vision': '64', 'Penalties': '38', 'Composure': '78'}, 'Defending': {'Defensive awareness': '73', 'Standing tackle': '78', 'Sliding tackle': '76'}, 'Goalkeeping': {'GK Diving': '16', 'GK Handling': '12', 'GK Kicking': '10', 'GK Positioning': '14', 'GK Reflexes': '12'}}"
maximilian-kilman,"{'Attacking': {'Crossing': '54', 'Finishing': '36', 'Heading accuracy': '68', 'Short passing': '75', 'Volleys': '36'}, 'Skills': {'Dribbling': '65', 'Curve': '45', 'FK Accuracy': '39', 'Long passing': '76', 'Ball control': '70'}, 'Movement': {'Acceleration': '56', 'Sprint speed': '69', 'Agility': '50', 'Reactions': '78', 'Balance': '49'}, 'Power': {'Shot power': '51', 'Jumping': '76', 'Stamina': '68', 'Strength': '85', 'Long shots': '43'}, 'Mentality': {'Aggression': '73', 'Interceptions': '77', 'Att. Position': '46', 'Vision': '65', 'Penalties': '48', 'Composure': '72'}, 'Defending': {'Defensive awareness': '77', 'Standing tackle': '79', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '11', 'GK Kicking': '5', 'GK Positioning': '9', 'GK Reflexes': '12'}}"
craig-dawson,"{'Attacking': {'Crossing': '65', 'Finishing': '49', 'Heading accuracy': '81', 'Short passing': '67', 'Volleys': '29'}, 'Skills': {'Dribbling': '48', 'Curve': '45', 'FK Accuracy': '24', 'Long passing': '65', 'Ball control': '63'}, 'Movement': {'Acceleration': '46', 'Sprint speed': '42', 'Agility': '50', 'Reactions': '78', 'Balance': '48'}, 'Power': {'Shot power': '57', 'Jumping': '79', 'Stamina': '67', 'Strength': '78', 'Long shots': '30'}, 'Mentality': {'Aggression': '79', 'Interceptions': '80', 'Att. Position': '56', 'Vision': '51', 'Penalties': '66', 'Composure': '69'}, 'Defending': {'Defensive awareness': '79', 'Standing tackle': '79', 'Sliding tackle': '79'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '8', 'GK Kicking': '7', 'GK Positioning': '7', 'GK Reflexes': '5'}}"
tote-antonio-gomes,"{'Attacking': {'Crossing': '64', 'Finishing': '42', 'Heading accuracy': '66', 'Short passing': '69', 'Volleys': '42'}, 'Skills': {'Dribbling': '63', 'Curve': '48', 'FK Accuracy': '48', 'Long passing': '68', 'Ball control': '66'}, 'Movement': {'Acceleration': '75', 'Sprint speed': '79', 'Agility': '64', 'Reactions': '77', 'Balance': '61'}, 'Power': {'Shot power': '55', 'Jumping': '82', 'Stamina': '66', 'Strength': '81', 'Long shots': '49'}, 'Mentality': {'Aggression': '74', 'Interceptions': '78', 'Att. Position': '58', 'Vision': '65', 'Penalties': '45', 'Composure': '72'}, 'Defending': {'Defensive awareness': '76', 'Standing tackle': '78', 'Sliding tackle': '76'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '6', 'GK Kicking': '12', 'GK Positioning': '5', 'GK Reflexes': '10'}}"
rayan-ait-nouri,"{'Attacking': {'Crossing': '74', 'Finishing': '50', 'Heading accuracy': '62', 'Short passing': '70', 'Volleys': '48'}, 'Skills': {'Dribbling': '80', 'Curve': '72', 'FK Accuracy': '58', 'Long passing': '66', 'Ball control': '78'}, 'Movement': {'Acceleration': '82', 'Sprint speed': '81', 'Agility': '77', 'Reactions': '70', 'Balance': '74'}, 'Power': {'Shot power': '61', 'Jumping': '75', 'Stamina': '76', 'Strength': '61', 'Long shots': '48'}, 'Mentality': {'Aggression': '67', 'Interceptions': '71', 'Att. Position': '67', 'Vision': '67', 'Penalties': '42', 'Composure': '71'}, 'Defending': {'Defensive awareness': '71', 'Standing tackle': '75', 'Sliding tackle': '74'}, 'Goalkeeping': {'GK Diving': '15', 'GK Handling': '11', 'GK Kicking': '8', 'GK Positioning': '14', 'GK Reflexes': '12'}}"
joao-victor-gomes-da-silva,"{'Attacking': {'Crossing': '62', 'Finishing': '59', 'Heading accuracy': '69', 'Short passing': '78', 'Volleys': '49'}, 'Skills': {'Dribbling': '72', 'Curve': '60', 'FK Accuracy': '63', 'Long passing': '75', 'Ball control': '75'}, 'Movement': {'Acceleration': '68', 'Sprint speed': '71', 'Agility': '72', 'Reactions': '68', 'Balance': '77'}, 'Power': {'Shot power': '75', 'Jumping': '73', 'Stamina': '76', 'Strength': '70', 'Long shots': '69'}, 'Mentality': {'Aggression': '72', 'Interceptions': '79', 'Att. Position': '62', 'Vision': '71', 'Penalties': '69', 'Composure': '69'}, 'Defending': {'Defensive awareness': '75', 'Standing tackle': '77', 'Sliding tackle': '78'}, 'Goalkeeping': {'GK Diving': '7', 'GK Handling': '14', 'GK Kicking': '10', 'GK Positioning': '14', 'GK Reflexes': '13'}}"
mario-lemina,"{'Attacking': {'Crossing': '71', 'Finishing': '59', 'Heading accuracy': '68', 'Short passing': '79', 'Volleys': '66'}, 'Skills': {'Dribbling': '76', 'Curve': '77', 'FK Accuracy': '66', 'Long passing': '78', 'Ball control': '77'}, 'Movement': {'Acceleration': '67', 'Sprint speed': '68', 'Agility': '69', 'Reactions': '76', 'Balance': '68'}, 'Power': {'Shot power': '80', 'Jumping': '76', 'Stamina': '77', 'Strength': '76', 'Long shots': '73'}, 'Mentality': {'Aggression': '79', 'Interceptions': '77', 'Att. Position': '69', 'Vision': '72', 'Penalties': '68', 'Composure': '78'}, 'Defending': {'Defensive awareness': '76', 'Standing tackle': '77', 'Sliding tackle': '71'}, 'Goalkeeping': {'GK Diving': '12', 'GK Handling': '9', 'GK Kicking': '15', 'GK Positioning': '8', 'GK Reflexes': '16'}}"
pedro-lomba-neto,"{'Attacking': {'Crossing': '73', 'Finishing': '75', 'Heading accuracy': '49', 'Short passing': '75', 'Volleys': '65'}, 'Skills': {'Dribbling': '82', 'Curve': '68', 'FK Accuracy': '56', 'Long passing': '62', 'Ball control': '79'}, 'Movement': {'Acceleration': '88', 'Sprint speed': '87', 'Agility': '85', 'Reactions': '74', 'Balance': '85'}, 'Power': {'Shot power': '76', 'Jumping': '70', 'Stamina': '67', 'Strength': '60', 'Long shots': '73'}, 'Mentality': {'Aggression': '55', 'Interceptions': '41', 'Att. Position': '75', 'Vision': '76', 'Penalties': '62', 'Composure': '66'}, 'Defending': {'Defensive awareness': '32', 'Standing tackle': '23', 'Sliding tackle': '17'}, 'Goalkeeping': {'GK Diving': '6', 'GK Handling': '13', 'GK Kicking': '7', 'GK Positioning': '12', 'GK Reflexes': '6'}}"
matheus-santos-carneiro-da-cunha,"{'Attacking': {'Crossing': '75', 'Finishing': '76', 'Heading accuracy': '67', 'Short passing': '78', 'Volleys': '73'}, 'Skills': {'Dribbling': '84', 'Curve': '77', 'FK Accuracy': '64', 'Long passing': '70', 'Ball control': '82'}, 'Movement': {'Acceleration': '78', 'Sprint speed': '84', 'Agility': '83', 'Reactions': '79', 'Balance': '71'}, 'Power': {'Shot power': '82', 'Jumping': '79', 'Stamina': '78', 'Strength': '72', 'Long shots': '75'}, 'Mentality': {'Aggression': '70', 'Interceptions': '41', 'Att. Position': '78', 'Vision': '77', 'Penalties': '74', 'Composure': '80'}, 'Defending': {'Defensive awareness': '41', 'Standing tackle': '41', 'Sliding tackle': '39'}, 'Goalkeeping': {'GK Diving': '8', 'GK Handling': '7', 'GK Kicking': '13', 'GK Positioning': '13', 'GK Reflexes': '11'}}"
hee-chan-hwang,"{'Attacking': {'Crossing': '68', 'Finishing': '79', 'Heading accuracy': '61', 'Short passing': '73', 'Volleys': '79'}, 'Skills': {'Dribbling': '78', 'Curve': '63', 'FK Accuracy': '52', 'Long passing': '67', 'Ball control': '74'}, 'Movement': {'Acceleration': '88', 'Sprint speed': '79', 'Agility': '87', 'Reactions': '80', 'Balance': '76'}, 'Power': {'Shot power': '75', 'Jumping': '82', 'Stamina': '77', 'Strength': '73', 'Long shots': '73'}, 'Mentality': {'Aggression': '68', 'Interceptions': '37', 'Att. Position': '80', 'Vision': '76', 'Penalties': '72', 'Composure': '78'}, 'Defending': {'Defensive awareness': '39', 'Standing tackle': '36', 'Sliding tackle': '25'}, 'Goalkeeping': {'GK Diving': '11', 'GK Handling': '7', 'GK Kicking': '10', 'GK Positioning': '11', 'GK Reflexes': '15'}}"
